name,08/31/2023,05/31/2023,02/28/2023,11/30/2022,08/31/2022,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001
TotalAssets,"51,245,305,000","50,128,275,000","47,727,289,000","47,115,774,000","47,263,390,000","46,095,198,000","44,317,837,000","43,674,743,000","43,175,843,000","42,124,884,000","39,985,401,000","38,268,311,000","37,078,593,000","35,057,319,000","33,503,430,000","33,170,712,000","29,789,880,000","28,156,360,000","27,390,208,000","26,706,412,000","24,449,083,000","23,250,793,000","23,132,979,000","22,974,153,000","22,689,890,000","21,135,592,000","20,078,773,000","20,443,741,000","20,629,201,000","19,191,047,000","18,147,778,000","17,993,875,000","18,266,058,000","17,308,727,000","16,991,565,000","17,630,033,000","17,930,452,000","17,002,384,000","16,357,209,000","16,515,938,000","16,867,049,000","16,523,758,000","16,358,730,000","16,408,020,000","16,665,415,000","15,535,915,000","15,808,096,000","15,290,845,000","15,731,510,000","14,903,969,000","13,893,673,000","12,868,874,000","12,835,253,000","11,917,658,000","11,890,088,000","12,184,819,000","12,255,734,000","11,827,664,000","10,557,359,000","10,932,055,000","12,398,525,000","11,917,405,000","10,908,314,000","10,747,500,000","10,747,162,000","10,049,016,000","9,554,359,000","9,214,573,000","9,418,080,000","9,011,171,000","8,124,652,000","8,123,180,000","8,957,352,000","9,080,128,000","9,342,839,000","8,912,221,000","7,987,679,000","8,671,928,000","7,518,997,000","6,703,266,000","6,459,240,000","6,367,207,000","5,851,495,000","5,648,016,000","5,478,948,000","5,434,962,000","5,199,070,000","5,422,671,000"
	CurrentAssets,"23,381,931,000","23,380,073,000","21,060,958,000","20,672,460,000","21,610,871,000","21,007,740,000","19,185,130,000","18,621,652,000","19,666,511,000","21,144,858,000","19,560,720,000","18,626,094,000","17,749,756,000","16,146,236,000","15,405,293,000","15,606,104,000","15,450,601,000","14,141,660,000","13,833,300,000","13,540,408,000","13,585,559,000","12,336,872,000","12,284,948,000","12,303,841,000","12,097,289,000","11,205,735,000","10,764,002,000","11,368,406,000","11,923,087,000","11,576,011,000","10,678,800,000","10,623,048,000","11,579,394,000","11,069,521,000","11,007,808,000","11,576,245,000","11,904,442,000","11,134,693,000","10,633,880,000","11,291,459,000","11,844,178,000","12,078,919,000","12,016,949,000","12,013,526,000","12,587,931,000","11,458,026,000","11,554,680,000","10,992,719,000","11,471,183,000","11,147,260,000","10,279,277,000","9,469,710,000","9,563,625,000","8,843,390,000","8,774,452,000","8,929,311,000","8,990,514,000","8,624,826,000","7,526,948,000","7,830,612,000","9,159,128,000","8,613,550,000","7,600,468,000","7,579,079,000","7,971,178,000","8,039,689,000","7,557,337,000","7,202,921,000","7,353,821,000","6,923,162,000","6,147,996,000","5,847,859,000","6,685,267,000","7,066,794,000","7,346,048,000","6,913,488,000","6,096,389,000","6,913,974,000","5,882,620,000","5,252,370,000","5,037,211,000","4,972,545,000","4,502,631,000","4,275,151,000","4,061,088,000","4,074,592,000","3,859,055,000","4,073,543,000"
		CashCashEquivalentsAndShortTermInvestments,"9,049,607,000","8,539,928,000","6,242,976,000","5,903,798,000","7,893,806,000","6,707,890,000","5,472,147,000","5,644,085,000","8,172,468,000","10,013,813,000","9,170,096,000","8,677,151,000","8,509,639,000","6,445,937,000","5,440,099,000","5,813,840,000","6,130,166,000","4,772,496,000","4,468,000,000","4,366,906,000","5,064,552,000","3,932,106,000","3,598,497,000","3,682,393,000","4,129,871,000","3,384,847,000","3,241,364,000","4,079,569,000","4,908,484,000","3,500,747,000","3,037,479,000","3,075,921,000","4,363,214,000","4,028,572,000","4,064,019,000","4,474,806,000","4,923,907,000","4,051,546,000","3,682,980,000","4,529,792,000","5,634,410,000","5,940,571,000","5,636,490,000","5,681,241,000","6,642,787,000","5,630,897,000","5,571,853,000","5,096,544,000","5,706,007,000","5,261,349,000","4,682,736,000","4,163,616,000","4,841,279,000","4,320,205,000","4,122,074,000","4,005,119,000","4,549,566,000","4,011,918,000","2,991,450,000","2,796,078,000","3,623,042,000","3,354,648,000","2,657,845,000","2,621,797,000","3,545,674,000","3,378,044,000","3,141,946,000","2,736,381,000","3,419,939,000","2,986,115,000","2,346,794,000","1,966,644,000","2,947,450,000","3,195,428,000","3,466,659,000","2,865,236,000","2,838,246,000","3,840,386,000","2,979,513,000","2,329,651,000","2,332,161,000","1,962,194,000","1,684,576,000","1,473,643,000","1,316,976,000","1,113,496,000","1,131,431,000","1,129,517,000"
			CashAndCashEquivalents,"9,045,032,000","8,535,446,000","6,238,787,000","5,899,703,000","7,889,833,000","6,703,568,000","5,466,116,000","5,637,117,000","8,168,174,000","10,009,380,000","9,166,578,000","8,594,003,000","8,415,330,000","6,442,261,000","5,436,456,000","5,810,537,000","6,126,853,000","4,769,158,000","4,464,889,000","4,363,790,000","5,061,360,000","3,928,845,000","3,595,079,000","3,681,711,000","4,126,860,000","3,382,208,000","3,238,862,000","4,077,058,000","4,905,609,000","3,497,878,000","3,034,659,000","3,073,193,000","4,360,766,000","4,026,189,000","4,061,400,000","4,472,347,000","4,921,305,000","4,048,859,000","3,680,274,000","4,527,198,000","5,631,885,000","5,938,085,000","5,636,086,000","5,678,892,000","6,640,526,000","5,628,659,000","5,568,746,000","5,091,906,000","5,701,078,000","5,256,684,000","4,677,544,000","4,160,452,000","4,838,292,000","4,312,111,000","4,114,751,000","4,000,063,000","4,541,662,000","4,002,459,000","2,978,000,000","2,782,961,000","3,602,760,000","3,326,423,000","2,584,139,000","2,472,373,000","3,314,396,000","3,093,634,000","2,959,939,000","2,437,530,000","3,066,988,000","2,793,716,000","2,034,034,000","1,685,997,000","2,483,990,000","2,773,031,000","3,060,203,000","2,273,522,000","2,552,958,000","3,514,647,000","2,853,615,000","2,329,651,000","2,332,161,000","1,962,194,000","1,684,576,000","1,473,643,000","1,316,976,000","1,113,496,000","1,131,431,000","1,129,517,000"
			OtherShortTermInvestments,"4,575,000","4,482,000","4,189,000","4,095,000","3,973,000","4,322,000","6,031,000","6,968,000","4,294,000","4,433,000","3,518,000","83,148,000","94,309,000","3,676,000","3,643,000","3,303,000","3,313,000","3,338,000","3,111,000","3,116,000","3,192,000","3,261,000","3,418,000","682,000","3,011,000","2,639,000","2,502,000","2,511,000","2,875,000","2,869,000","2,820,000","2,728,000","2,448,000","2,383,000","2,619,000","2,459,000","2,602,000","2,687,000","2,706,000","2,594,000","2,525,000","2,486,000","404,000","2,349,000","2,261,000","2,238,000","3,107,000","4,638,000","4,929,000","4,665,000","5,192,000","3,164,000","2,987,000","8,094,000","7,323,000","5,056,000","7,904,000","9,459,000","13,450,000","13,117,000","20,282,000","28,225,000","73,706,000","149,424,000","231,278,000","284,410,000","182,007,000","298,851,000","352,951,000","192,399,000","312,760,000","280,647,000","463,460,000","422,397,000","406,456,000","591,714,000","285,288,000","325,739,000","125,898,000",,,,,,,,,
		Receivables,"12,227,186,000","12,582,660,000","12,499,168,000","12,610,353,000","11,776,775,000","12,219,074,000","11,590,876,000","11,120,401,000","9,728,212,000","9,473,441,000","8,725,392,000","8,547,711,000","7,846,892,000","8,345,601,000","8,517,949,000","8,577,386,000","8,095,071,000","8,134,147,000","8,151,411,000","8,023,057,000","7,496,368,000","7,446,699,000","7,511,301,000","7,457,955,000","6,885,257,000","6,741,725,000","6,563,893,000","6,469,008,000","6,222,399,000","6,440,478,000","6,006,554,000","6,025,645,000","5,725,424,000","5,548,135,000","5,426,178,000","5,654,728,000","5,663,334,000","5,570,061,000","5,318,684,000","5,232,580,000","4,846,574,000","4,850,285,000","4,975,902,000","4,989,470,000","4,480,711,000","4,679,437,000","4,774,758,000","4,815,097,000","4,621,792,000","4,696,165,000","3,072,103,000","4,201,415,000","3,662,425,000","3,516,350,000","3,589,902,000","2,503,615,000","3,361,785,000","3,744,511,000","3,626,058,000","4,144,507,000","4,515,395,000","4,458,368,000","4,147,364,000","4,198,528,000","3,699,334,000","3,957,770,000","3,736,406,000","3,807,606,000","3,266,661,000","3,330,865,000","3,197,981,000","3,286,439,000","3,106,613,000","3,325,653,000","3,275,685,000","3,314,359,000","2,677,081,000","2,638,908,000","2,505,467,000","2,490,364,000","2,245,407,000","2,401,393,000","2,325,883,000","2,290,795,000","2,144,344,000","2,363,676,000","2,351,821,000","2,551,127,000"
			AccountsReceivable,"12,227,186,000","12,582,660,000","12,499,168,000","12,610,353,000","11,776,775,000","12,219,074,000","11,590,876,000","11,120,401,000","9,728,212,000","9,473,441,000","8,725,392,000","8,547,711,000","7,846,892,000","7,677,366,000","8,517,949,000","8,577,386,000","8,095,071,000","8,134,147,000","8,151,411,000","8,023,057,000","4,996,454,000","4,986,652,000","5,030,698,000","4,981,084,000","4,569,214,000","4,474,415,000","4,452,252,000","4,298,605,000","4,072,180,000","4,303,642,000","3,986,141,000","4,061,037,000","3,840,920,000","3,717,048,000","3,688,052,000","3,779,792,000","3,859,567,000","3,804,826,000","3,588,189,000","3,506,187,000","3,333,126,000","3,375,047,000","3,518,104,000","3,501,506,000","3,080,877,000","3,222,310,000","3,355,991,000","3,325,556,000","3,236,059,000","4,696,165,000","3,072,103,000","4,201,415,000","3,662,425,000","1,165,857,000","1,118,919,000","3,794,814,000","3,361,785,000","3,744,511,000","3,626,058,000","4,144,507,000","4,515,395,000","4,458,368,000","4,147,364,000","4,198,528,000","3,699,334,000","3,957,770,000","3,736,406,000","3,807,606,000","3,266,661,000","3,330,865,000","1,957,297,000","1,878,071,000","1,752,937,000","1,884,160,000","1,816,354,000","1,825,284,000","1,662,211,000","1,475,889,000","1,457,191,000","1,486,133,000","1,416,153,000","1,460,229,000","1,392,494,000","1,377,302,000","1,330,642,000","1,426,113,000","1,385,721,000","1,534,348,000"
				GrossAccountsReceivable,,"12,582,660,000","12,524,905,000","12,634,970,000",,"12,244,969,000","11,618,730,000","11,152,922,000",,"9,509,472,000","8,764,872,000","8,586,026,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-26,770,000","-25,737,000","-24,617,000",,"-25,895,000","-27,854,000","-32,521,000",,"-36,031,000","-39,480,000","-38,315,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,"668,235,000",,,,,,,"2,499,914,000","2,460,047,000","2,480,603,000","2,476,871,000","2,316,043,000","2,267,310,000","2,111,641,000","2,170,403,000","2,150,219,000","2,136,836,000","2,020,413,000","1,964,608,000","1,884,504,000","1,831,087,000","1,738,126,000","1,874,936,000","1,803,767,000","1,765,235,000","1,730,495,000","1,726,393,000","1,513,448,000","1,475,238,000","1,457,798,000","1,487,964,000","1,399,834,000","1,457,127,000","1,418,767,000","1,489,541,000","1,385,733,000",,,,,"2,350,493,000","2,470,983,000",,,,,,,,,,,,,,,,"1,240,684,000","1,408,368,000","1,353,676,000","1,441,493,000","1,459,331,000","1,489,075,000","1,014,870,000","1,163,019,000","1,048,276,000","1,004,231,000","829,254,000","941,164,000","933,389,000","913,493,000","813,702,000","937,563,000","966,100,000","1,016,779,000"
