name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003
TotalAssets,"33,104,700,000","32,915,200,000","33,123,800,000","33,245,700,000","31,728,700,000","33,022,600,000","33,911,500,000","33,624,800,000","45,994,800,000","44,410,600,000","44,649,900,000","43,582,600,000","44,233,200,000","43,423,300,000","44,291,200,000","43,751,500,000","43,139,500,000","42,237,000,000","41,089,300,000","43,443,100,000","42,361,300,000","32,427,900,000","31,843,000,000","32,405,200,000","30,058,900,000","29,567,700,000","29,709,128,000","30,283,836,000","29,804,213,000","30,287,195,000","30,075,948,000","30,586,091,000","30,842,082,000","30,800,356,000","31,562,466,000","30,673,129,000","30,617,173,000","29,668,385,000","29,714,689,000","29,348,585,000","28,728,795,000","29,481,540,000","28,946,607,000","28,169,623,000","27,243,589,000","27,254,868,000","27,115,445,000","26,774,000,000","26,779,755,000","26,697,375,000","26,397,018,000","26,845,334,000","26,115,330,000","26,238,814,000","25,841,796,000","25,665,578,000","24,822,474,000","23,820,644,000","24,514,586,000","25,354,315,000","26,212,032,000","26,446,415,000","26,750,316,000","26,568,380,000","25,772,955,000","25,461,049,000","25,165,148,000","25,023,450,000","24,532,416,000","24,680,684,000","25,365,453,000","25,412,444,000","24,456,763,000","24,321,974,000","24,503,896,000","23,638,294,000","23,349,181,000","23,704,277,000","23,728,319,000"
	TotalInvestments,"9,390,300,000","9,346,400,000","9,061,200,000","8,945,900,000","8,790,000,000","9,470,000,000","10,712,400,000","11,224,500,000","10,640,000,000","9,521,300,000","17,908,000,000","17,408,900,000","18,454,500,000","17,561,900,000","18,454,500,000","18,378,300,000","18,006,800,000","17,315,600,000","16,343,300,000","16,404,300,000","15,948,100,000","14,346,900,000","13,296,800,000","11,676,600,000","12,488,400,000","12,328,100,000","12,511,047,000","13,149,713,000","13,194,171,000","13,485,925,000","14,315,897,000","15,043,538,000","15,002,943,000","15,237,693,000","15,450,108,000","16,020,080,000","16,060,689,000","15,723,679,000","15,961,199,000","16,160,659,000","15,918,564,000","16,487,393,000","15,885,722,000","15,836,935,000","15,262,751,000","15,198,607,000","14,026,165,000","14,995,816,000","14,728,754,000","14,852,332,000","13,505,478,000","15,068,433,000","14,692,469,000","14,541,129,000","13,157,832,000","14,373,844,000","13,448,159,000","11,878,046,000","12,066,792,000","13,662,396,000","13,527,337,000","12,600,762,000","12,664,027,000","12,383,275,000","11,673,609,000","11,905,875,000","10,232,535,000","11,583,673,000","10,437,359,000","10,471,552,000","10,693,155,000","11,922,477,000","11,976,934,000","10,755,971,000","11,123,740,000","10,925,805,000","10,508,033,000","10,864,776,000","9,529,341,000"
		EquityInvestments,"259,600,000","280,500,000","281,300,000","302,600,000","311,000,000","371,700,000","445,700,000","422,300,000","305,400,000","293,200,000","404,100,000","384,400,000","376,300,000","349,300,000","388,500,000","406,900,000","392,200,000","388,400,000","378,800,000","385,400,000","385,800,000","358,500,000","368,000,000","403,300,000","413,900,000","415,900,000","421,361,000","450,617,000","434,506,000","403,702,000","500,057,000","522,903,000","523,786,000","530,509,000","499,407,000","521,707,000","490,756,000","462,658,000","458,358,000","464,636,000","455,779,000","475,765,000","475,806,000","12,484,446,000","11,614,366,000","11,708,877,000","11,554,975,000","11,382,000,000","11,119,094,000","11,242,444,000","11,079,506,000",,"11,127,335,000","11,003,931,000","10,479,759,000","10,467,473,000","9,854,127,000","8,990,974,000","9,066,139,000","9,551,427,000","10,407,290,000","10,421,002,000","10,762,416,000","10,598,311,000","9,994,835,000","10,129,634,000","9,859,688,000","9,992,703,000","9,597,046,000","9,593,565,000","9,654,879,000","9,784,410,000","9,996,420,000","9,712,908,000","9,704,889,000","9,594,015,000","9,128,497,000","9,415,470,000","9,185,278,000"
		NetLoan,"302,700,000","305,500,000","295,600,000","304,400,000","293,500,000","280,700,000","256,500,000","227,300,000","177,900,000","147,900,000","754,300,000","771,100,000","790,100,000","795,100,000","815,000,000","804,600,000","783,100,000","758,100,000","759,600,000","757,900,000","720,100,000","682,200,000","670,200,000","685,000,000","661,700,000","641,200,000","662,566,000","635,180,000","660,534,000","913,320,000","1,195,114,000","1,277,972,000","1,312,486,000","1,302,014,000","1,320,888,000","1,302,403,000","1,297,986,000","1,307,637,000","1,338,710,000","1,320,053,000","1,318,120,000","1,342,942,000","1,364,620,000","1,356,297,000","1,356,058,000","1,367,543,000","1,363,879,000","1,362,134,000","1,368,889,000","1,383,343,000","1,377,106,000",,"1,432,395,000","1,462,151,000","1,484,434,000","1,505,509,000","56,548,000","1,553,213,000","1,564,790,000","1,559,561,000","1,542,358,000","1,527,455,000","1,490,733,000","1,465,489,000","1,414,829,000","1,345,471,000","58,733,000","1,319,815,000","59,149,000","60,044,000","61,043,000","1,201,519,000","1,169,068,000","64,182,000","1,118,758,000","1,105,939,000","1,064,760,000","1,044,337,000","68,185,000"
			LoansReceivable,,,,,,,,,,,,,,,,,,,"-400,000",,,,"-1,000,000",,,,"-2,304,000","-2,520,000","-2,582,000","-2,582,000","-2,582,000","-3,399,000","-3,399,000","-3,399,000","-3,399,000","-4,482,000","-4,482,000","-4,482,000","-4,482,000","-6,997,000","-6,997,000","-6,997,000","-6,997,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			MortgageAndConsumerloans,"302,700,000","305,500,000","295,600,000","304,400,000","293,500,000","280,700,000","256,500,000","227,300,000","177,900,000","147,900,000","754,300,000","771,100,000","790,100,000","795,100,000","815,000,000","804,600,000","783,100,000","758,100,000","759,600,000","757,900,000","720,100,000","682,200,000","670,200,000","648,100,000","624,000,000","603,300,000","624,033,000","595,067,000","620,185,000","872,196,000","1,151,256,000","1,233,230,000","1,267,033,000","1,255,459,000","1,272,616,000","1,253,424,000","1,248,101,000","1,257,162,000","1,287,032,000","1,268,056,000","1,266,168,000","1,290,003,000","1,311,682,000","1,302,373,000","1,302,609,000","1,313,232,000","1,309,687,000","1,307,569,000","1,313,326,000","1,327,438,000","1,320,964,000",,"1,376,226,000","1,405,876,000","1,428,027,000","1,449,108,000",,"1,495,420,000","1,506,694,000","1,502,086,000","1,486,138,000",,,,,,,,,,,,,,,,,,
			PolicyLoans,,,,,,,,,,,,,,,,,,,,,,,,"36,900,000","37,700,000","37,900,000","38,533,000","40,113,000","40,349,000","41,124,000","43,858,000","44,742,000","45,453,000","46,555,000","48,272,000","48,979,000","49,885,000","50,475,000","51,678,000","51,997,000","51,952,000","52,939,000","52,938,000","53,924,000","53,449,000","54,311,000","54,192,000","54,565,000","55,563,000","55,905,000","56,142,000",,"56,169,000","56,275,000","56,407,000","56,401,000","56,548,000","57,793,000","58,096,000","57,475,000","56,220,000",,,,,,,,,,,,,,,,,,
		LongTermEquityInvestment,,,,,,,,,,,"0","0","1,670,800,000","1,937,300,000","2,020,100,000","2,077,000,000","2,086,700,000","2,057,700,000","1,685,400,000","1,599,500,000","1,305,200,000","1,042,000,000","746,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,,,,,"0","0","1,670,800,000","1,937,300,000","2,020,100,000","2,077,000,000","2,086,700,000","2,057,700,000","1,685,400,000","1,599,500,000","1,305,200,000","1,042,000,000","746,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"6,897,500,000","6,716,900,000","6,439,200,000","6,404,700,000","6,488,300,000","7,032,300,000","7,463,100,000","7,867,800,000","6,721,600,000","6,721,200,000","13,782,200,000","13,344,500,000","12,847,400,000","11,892,400,000","12,724,900,000","12,687,000,000","12,586,300,000","12,178,500,000","11,630,300,000","11,721,400,000","11,641,100,000","9,365,200,000","9,946,700,000","9,999,000,000","9,778,300,000","9,720,500,000","9,799,885,000","10,316,189,000","10,242,480,000","9,489,438,000","10,724,278,000","11,061,894,000","11,188,550,000","11,634,836,000","11,608,420,000","12,089,304,000","12,173,082,000","12,162,178,000","11,762,333,000","12,420,262,000","12,194,955,000","12,383,582,000","12,472,563,000","251,495,000","504,924,000","383,716,000","441,383,000","508,375,000","447,013,000","435,612,000","358,702,000",,"416,815,000","436,398,000","453,469,000","445,684,000","521,651,000","664,272,000","703,402,000","620,434,000","472,215,000","652,305,000","410,878,000","319,475,000","263,945,000","430,770,000","314,114,000","271,155,000","781,164,000","817,943,000","977,233,000","936,548,000","811,446,000","978,881,000","300,093,000","225,851,000","314,776,000","404,969,000","275,878,000"
