name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"12,839,851,000","12,616,022,000","12,431,120,000","12,038,932,000","11,984,971,000","11,972,029,000","11,898,187,000","11,679,695,000","11,755,264,000","10,579,883,000","10,357,483,000","10,433,386,000","10,311,172,000","10,601,946,000","9,844,559,000","9,219,709,000","9,069,602,000","8,891,483,000","8,662,288,000","8,108,043,000","8,152,452,000","8,058,361,000","7,796,064,000","7,783,301,000","7,535,013,000","7,298,810,000","7,100,674,000","6,977,062,000","6,955,780,000","6,994,702,000","6,664,530,000","6,644,024,000","6,557,811,000","6,356,658,000","6,414,518,000","6,571,061,000","6,485,003,000","6,088,843,000","5,869,841,000","5,461,222,000","5,192,534,000","5,174,475,000","5,184,625,000","4,893,511,000","4,885,204,000","4,608,592,000","4,319,490,000","4,116,301,000","4,154,774,000","3,893,298,000","3,818,915,000","3,579,305,000","3,267,048,000","3,225,017,000","3,246,032,000","3,169,015,000","3,112,922,000","3,048,724,000","3,055,542,000","3,165,144,000","3,109,139,000","2,848,497,000","2,745,700,000","2,514,150,000","2,326,347,000","2,177,781,000","2,130,876,000","2,040,236,000","2,037,235,000","1,847,828,000","1,780,600,000","1,603,990,000","1,558,481,000","1,431,250,000","1,420,352,000","1,391,589,000","1,350,270,000","1,226,956,000","1,214,847,000","1,218,096,000","1,179,874,000","1,178,607,000","1,030,006,000","1,016,194,000","1,042,912,000","1,036,562,000","1,029,289,000","997,000,000","953,550,000","869,617,000","858,988,000","858,790,000","771,982,000","768,158,000","768,150,000","815,565,000","747,541,000","726,338,000","699,825,000","722,735,000","724,117,000","694,059,000","555,200,000","544,800,000","563,600,000","545,200,000","537,900,000","541,100,000","547,700,000","549,600,000","526,700,000","522,200,000","554,100,000","559,600,000","502,000,000","527,700,000","581,300,000","570,800,000","562,700,000","558,200,000","594,700,000","590,700,000","594,700,000","605,300,000","638,500,000","620,600,000","612,500,000","597,200,000","603,500,000","599,600,000","615,200,000","612,800,000","566,600,000","569,500,000","563,300,000","537,900,000","464,500,000","448,300,000","538,400,000","511,800,000","400,600,000"
	CurrentAssets,"2,899,555,000","2,665,942,000","2,528,058,000","2,432,568,000","2,411,614,000","2,272,815,000","2,128,765,000","2,061,815,000","2,042,081,000","2,573,493,000","2,522,470,000","2,643,018,000","2,517,135,000","2,774,491,000","2,025,771,000","2,272,184,000","2,127,153,000","1,924,644,000","1,836,144,000","1,998,615,000","2,018,126,000","1,960,205,000","1,934,655,000","2,024,483,000","1,789,273,000","1,787,443,000","1,928,190,000","1,696,890,000","1,707,622,000","1,662,590,000","1,619,613,000","1,590,740,000","1,599,342,000","1,630,172,000","1,587,826,000","1,590,130,000","1,530,670,000","1,434,171,000","1,365,020,000","1,308,557,000","1,243,801,000","1,214,164,000","1,157,974,000","1,135,832,000","1,132,010,000","1,152,861,000","1,059,119,000","1,080,537,000","1,083,132,000","1,022,826,000","974,492,000","930,937,000","984,945,000","996,281,000","969,430,000","960,588,000","912,305,000","941,744,000","954,586,000","1,039,945,000","1,028,353,000","950,898,000","952,204,000","845,559,000","778,928,000","712,679,000","684,063,000","659,455,000","658,529,000","599,706,000","556,307,000","517,400,000","517,844,000","479,241,000","461,940,000","449,512,000","442,951,000","397,532,000","382,066,000","388,597,000","393,391,000","395,382,000","350,569,000","366,269,000","386,532,000","390,722,000","379,347,000","388,667,000","379,254,000","317,905,000","303,100,000","303,178,000","274,148,000","262,717,000","256,101,000","296,949,000","290,319,000","281,270,000","267,840,000","288,326,000","307,405,000","288,021,000","248,500,000","245,100,000","261,400,000","262,100,000","247,000,000","259,200,000","268,700,000","274,000,000","249,300,000","258,800,000","285,900,000","275,800,000","254,000,000","267,300,000","320,900,000","299,400,000","302,100,000","279,100,000","317,500,000","311,400,000","319,500,000","321,700,000","349,400,000","332,600,000","319,100,000","300,200,000","311,700,000","309,800,000","317,700,000","316,900,000","319,500,000","323,700,000","316,200,000","291,900,000","267,400,000","250,700,000","338,300,000","315,500,000","202,800,000"
		CashCashEquivalentsAndShortTermInvestments,"605,587,000","399,873,000","345,386,000","309,944,000","348,653,000","340,304,000","346,772,000","358,676,000","390,644,000","1,123,660,000","1,212,822,000","1,304,838,000","1,130,975,000","1,253,382,000","393,030,000","735,376,000","567,912,000","368,065,000","353,975,000","518,721,000","557,693,000","556,776,000","646,300,000","736,415,000","516,483,000","570,233,000","717,259,000","445,469,000","456,195,000","386,940,000","381,005,000","328,034,000","326,588,000","406,587,000","377,615,000","369,613,000","282,771,000","265,335,000","295,203,000","254,878,000","207,614,000","177,335,000","156,227,000","168,104,000","168,472,000","224,459,000","174,955,000","223,764,000","203,110,000","161,674,000","168,853,000",,"235,385,000","260,928,000","251,350,000","207,127,000","142,944,000","140,747,000","91,210,000","170,964,000","151,659,000","124,607,000","180,981,000","83,442,000","86,690,000","66,503,000","58,220,000","58,505,000","53,923,000","48,123,000","43,788,000","47,640,000","60,581,000","45,456,000","48,975,000","32,410,000","35,538,000","26,665,000","22,886,000","24,553,000","34,796,000","28,595,000","21,803,000","24,101,000","24,000,000","21,791,000","22,354,000","14,374,000","14,979,000","13,990,000","15,298,000","15,488,000","11,683,000","11,804,000","15,400,000","18,721,000","18,045,000","18,102,000","16,853,000","14,862,000","17,684,000","12,801,000","700,000","2,600,000","10,600,000","2,800,000","3,100,000","7,200,000","4,200,000","3,300,000","7,000,000","3,300,000","16,900,000","5,400,000","7,200,000","18,900,000","67,000,000","49,100,000","40,500,000","34,200,000","31,700,000","29,200,000","59,100,000","25,700,000","43,900,000","47,400,000","34,900,000","52,700,000","48,400,000","39,300,000","86,900,000","40,500,000","68,600,000","82,800,000","84,400,000","53,500,000","46,500,000","116,100,000","175,000,000","173,500,000","59,900,000"
			CashAndCashEquivalents,"605,587,000","399,873,000","345,386,000","309,944,000","348,653,000","340,304,000","346,772,000","358,676,000","390,644,000","1,123,660,000","1,212,822,000","1,304,838,000","1,130,975,000","1,253,382,000","393,030,000","735,376,000","567,912,000","368,065,000","353,975,000","518,721,000","557,693,000","556,776,000","646,300,000","736,415,000","516,483,000","570,233,000","717,259,000","445,469,000","456,195,000","386,940,000","381,005,000","328,034,000","326,588,000","406,587,000","377,615,000","369,613,000","282,771,000","265,335,000","295,203,000","254,878,000","207,614,000","177,335,000","156,227,000","162,851,000","163,595,000","219,304,000","170,392,000","218,274,000","196,593,000","155,009,000","163,208,000",,"230,793,000","255,632,000","246,356,000","200,963,000","137,402,000","135,752,000","86,980,000","166,498,000","141,608,000","114,708,000","170,139,000","72,557,000","76,316,000","57,404,000","49,091,000","51,108,000","44,511,000","38,993,000","35,545,000","40,082,000","53,350,000","38,807,000","37,582,000","23,541,000","26,539,000","17,658,000","14,313,000","16,809,000","26,808,000","21,270,000","13,483,000","18,269,000","15,422,000","12,360,000","14,139,000","7,943,000","7,806,000","7,207,000","7,187,000","6,942,000","3,394,000","4,822,000","8,636,000","9,602,000","7,505,000","8,577,000","9,768,000","6,024,000","6,673,000","1,321,000","700,000","2,600,000","10,600,000","2,800,000","3,100,000","7,200,000","4,200,000","3,300,000","7,000,000","3,300,000","16,900,000","5,400,000","7,200,000","18,900,000","67,000,000","49,100,000","40,500,000","34,200,000","31,700,000","29,200,000","59,100,000","25,700,000","43,900,000","47,400,000","34,900,000","52,700,000","48,400,000","39,300,000","86,900,000","40,500,000","68,600,000","82,800,000","84,400,000","53,500,000","46,500,000","116,100,000","175,000,000","173,500,000","59,900,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,253,000","4,877,000","5,155,000","4,563,000","5,490,000","6,517,000","6,665,000","5,645,000",,"4,592,000","5,296,000","4,994,000","6,164,000","5,542,000","4,995,000","4,230,000","4,466,000","10,051,000","9,899,000","10,842,000","10,885,000","10,374,000","9,099,000","9,129,000","7,397,000","9,412,000","9,130,000","8,243,000","7,558,000","7,231,000","6,649,000","11,393,000","8,869,000","8,999,000","9,007,000","8,573,000","7,744,000","7,988,000","7,325,000","8,320,000","5,832,000","8,578,000","9,431,000","8,215,000","6,431,000","7,173,000","6,783,000","8,111,000","8,546,000","8,289,000","6,982,000","6,764,000","9,119,000","10,540,000","9,525,000","7,085,000","8,838,000","11,011,000","11,480,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"936,909,000","901,506,000","919,335,000","876,460,000","885,080,000","854,457,000","829,213,000","768,386,000","754,045,000","678,467,000","597,472,000","614,773,000","620,160,000","712,195,000","744,760,000","761,961,000","757,522,000","763,156,000","732,839,000","714,929,000","710,956,000","684,617,000","668,176,000","640,815,000","642,263,000","603,900,000","592,326,000","595,143,000","596,589,000","606,888,000","603,295,000","610,019,000","619,080,000","592,301,000","585,462,000","593,452,000","594,151,000","592,407,000","536,701,000","532,092,000","521,547,000","529,182,000","507,850,000","492,864,000","482,799,000","468,321,000","438,245,000","425,011,000","439,865,000","434,517,000","399,913,000","390,113,000","367,127,000","356,187,000","331,383,000","349,184,000","356,830,000","376,898,000","406,012,000","438,143,000","442,566,000","430,178,000","395,631,000","377,934,000","367,322,000","347,571,000","328,762,000","317,679,000","315,538,000","289,957,000","269,395,000","240,043,000","246,505,000","232,763,000","217,329,000","214,920,000","218,649,000","195,247,000","189,010,000","190,601,000","190,829,000","197,573,000","175,230,000","181,415,000","197,070,000","196,925,000","181,031,000","204,083,000","196,676,000","145,546,000","139,568,000","136,706,000","124,813,000","116,807,000","112,756,000","155,095,000","153,046,000","148,617,000","139,199,000","156,342,000","165,124,000","154,960,000","134,700,000","135,100,000","135,100,000","140,200,000","126,200,000","135,000,000","141,700,000","143,300,000","118,800,000","127,800,000","133,100,000","131,600,000","115,700,000","118,600,000","129,900,000","123,200,000","108,100,000","112,900,000","114,800,000","112,700,000","107,100,000","120,600,000","126,100,000","122,500,000","112,500,000","111,000,000","112,000,000","112,700,000","99,600,000","108,200,000","86,100,000","103,100,000","90,700,000","102,200,000","76,600,000","70,100,000","92,600,000","76,000,000","75,300,000"
			AccountsReceivable,"936,909,000","901,506,000","919,335,000","876,460,000","885,080,000","854,457,000","829,213,000","768,386,000","754,045,000","678,467,000","597,472,000","614,773,000","620,160,000","712,195,000","744,760,000","761,961,000","757,522,000","763,156,000","732,839,000","714,929,000","710,956,000","684,617,000","668,176,000","640,815,000","642,263,000","603,900,000","592,326,000","595,143,000","596,589,000","606,888,000","603,295,000","610,019,000","619,080,000","592,301,000","585,462,000","593,452,000","594,151,000","592,407,000","536,701,000","532,092,000","521,547,000","529,182,000","507,850,000","492,864,000","482,799,000","468,321,000","438,245,000","425,011,000","439,865,000","434,517,000","399,913,000",,"367,127,000","356,187,000","331,383,000","349,184,000","356,830,000","376,898,000","406,012,000","438,143,000","442,566,000","430,178,000","395,631,000","377,934,000","367,322,000","347,571,000","328,762,000","317,679,000","315,538,000","289,957,000","269,395,000","240,043,000","246,505,000","232,763,000","217,329,000","214,920,000","218,649,000","195,247,000","189,010,000","190,601,000","190,829,000","197,573,000","175,230,000","181,415,000","197,070,000","196,925,000","181,031,000","204,083,000","196,676,000","145,546,000",,,,"116,807,000","112,756,000","155,095,000","153,046,000","148,617,000","139,199,000","156,342,000","165,124,000","154,960,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"951,209,000","914,806,000","933,435,000","888,460,000","896,280,000","865,357,000","840,413,000","780,486,000","766,145,000","691,067,000",,"627,373,000","631,860,000","724,095,000",,,,,"742,139,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-14,300,000","-13,300,000","-14,100,000","-12,000,000","-11,200,000","-10,900,000","-11,200,000","-12,100,000","-12,100,000","-12,600,000",,"-12,600,000","-11,700,000","-11,900,000",,,,,"-9,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"1,107,824,000","1,117,051,000","1,044,284,000","1,025,130,000","966,609,000","866,472,000","769,175,000","738,688,000","711,620,000","604,321,000","559,171,000","584,753,000","621,518,000","654,298,000","624,567,000","623,675,000","634,138,000","640,580,000","624,744,000","620,149,000","614,390,000","596,312,000","540,504,000","546,876,000","541,213,000","529,927,000","492,104,000","537,227,000","536,971,000","548,777,000","514,451,000","541,994,000","541,919,000","506,086,000","495,896,000","526,674,000","538,287,000","483,448,000","452,848,000","449,133,000","438,912,000","434,044,000","428,935,000","407,898,000","415,610,000","393,259,000","380,471,000","363,838,000","364,317,000","351,424,000","335,253,000","332,431,000","315,747,000","305,960,000","311,542,000","312,536,000","325,472,000","340,779,000","349,509,000","362,897,000","357,115,000","326,770,000","301,679,000","313,267,000","265,469,000","244,187,000","236,783,000","229,937,000","235,205,000","207,809,000","193,099,000","189,462,000","179,876,000","172,687,000","168,523,000","167,615,000","164,069,000","151,784,000","143,359,000","145,285,000","140,536,000","142,285,000","129,451,000","135,420,000","142,064,000","146,425,000","152,525,000","146,454,000","146,445,000","136,994,000","129,365,000","130,034,000","113,717,000","110,168,000","102,396,000","99,945,000","97,026,000","90,960,000","89,830,000","96,754,000","105,577,000","101,650,000","85,100,000","80,500,000","87,900,000","93,300,000","94,400,000","92,100,000","97,600,000","101,900,000","101,500,000","102,400,000","109,400,000","107,800,000","100,600,000","98,000,000","93,800,000","91,500,000","91,900,000","96,300,000","99,700,000","91,000,000","91,000,000","98,600,000","104,900,000","100,900,000","94,400,000","86,600,000","95,000,000","100,800,000","102,600,000","103,700,000","102,500,000","103,300,000","105,600,000","104,600,000","66,000,000","59,800,000","59,000,000","52,400,000","61,600,000"
