name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalAssets,"20,806,197,000","20,174,895,000","20,457,764,000","20,164,770,000","19,768,777,000","19,869,627,000","19,902,016,000","19,478,967,000","19,316,625,000","19,120,532,000","19,199,144,000","19,144,611,000","19,351,490,000","19,891,336,000","19,121,051,000","19,060,467,000","18,932,575,000","18,639,983,000","18,380,200,000","18,662,119,000","18,671,008,000","18,646,447,000","18,414,821,000","18,177,837,000","17,943,745,000","17,978,421,000","17,867,271,000","17,588,657,000","17,395,067,000","17,043,390,000","16,931,305,000","16,781,979,000","16,320,476,000","16,263,748,000","16,176,723,000","15,881,178,000","15,657,951,000","15,570,239,000","15,328,143,000","15,133,810,000","14,972,940,000","15,187,364,000","11,160,078,000","8,968,566,000","8,412,045,000","8,241,059,000","8,482,390,000","8,488,657,000","7,942,742,000","7,881,762,000","7,821,488,000","7,674,402,000","7,704,844,000","7,508,134,000","7,457,605,000","7,946,420,000","7,574,318,000","7,273,442,000","7,173,374,000","7,091,197,000","6,921,776,000","7,120,103,000","6,736,484,000","6,632,699,000","6,542,810,000","6,424,049,000","5,813,186,000","5,591,197,000","5,272,440,000","5,169,452,000","5,165,060,000","5,133,101,000","5,114,706,000","5,065,269,000","5,068,281,000","5,099,962,000","5,004,903,000","4,943,735,000","4,909,582,000","4,965,864,000","4,934,775,000","5,004,230,000","4,950,835,000","4,919,810,000","4,871,197,000","4,639,430,000","4,664,289,000","4,729,468,000","4,491,444,000","4,444,777,000","4,397,225,000","4,330,237,000","4,269,597,000","4,180,116,000","4,154,662,000","4,216,000,000","4,134,800,000","4,134,000,000","4,030,204,000","3,958,600,000","3,765,200,000","1,447,500,000","1,317,650,000","1,047,700,000","880,700,000","749,200,000","711,909,000","698,200,000","571,600,000","481,600,000","477,200,000","417,300,000","409,700,000","406,800,000","390,000,000","368,400,000","349,700,000","312,300,000"
	CurrentAssets,"986,025,000","412,411,000","771,060,000","524,084,000","296,443,000","511,657,000","596,139,000","487,480,000","519,455,000","260,646,000","362,502,000","214,349,000","449,499,000","903,325,000","161,838,000","368,926,000","365,128,000","227,954,000","249,680,000","315,723,000","384,371,000","304,537,000","234,592,000","250,588,000","326,807,000","400,887,000","362,048,000","264,828,000","321,315,000","299,866,000","535,405,000","451,320,000","200,095,000","327,230,000","634,702,000","565,296,000","548,664,000","504,085,000","406,694,000","239,207,000","233,058,000","568,419,000","2,808,399,000","713,984,000","431,954,000","321,136,000","690,329,000","759,027,000","360,234,000","476,932,000","479,769,000","407,141,000","583,775,000","330,633,000","316,367,000","1,090,166,000","483,923,000","288,846,000","259,305,000","319,542,000",,,"210,393,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"769,622,000","254,466,000","613,189,000","200,999,000","152,522,000","343,457,000","420,251,000","322,294,000","297,036,000","129,298,000","216,976,000","87,530,000","322,817,000","777,995,000","39,687,000","246,425,000","243,576,000","62,999,000","91,659,000","55,887,000","101,565,000","137,244,000","67,088,000","36,042,000","53,477,000","121,705,000","214,994,000","65,899,000","182,306,000","97,541,000","400,507,000","318,557,000","65,126,000","194,928,000","509,460,000","440,028,000","425,741,000","386,190,000","281,541,000","112,910,000","59,431,000","458,753,000","2,733,618,000","664,133,000","358,263,000","248,242,000","616,890,000","690,049,000","360,234,000","291,800,000","306,426,000","229,111,000","373,721,000","123,297,000","105,691,000","777,456,000","483,923,000","288,846,000","65,706,000","286,679,000","114,329,000","458,984,000","21,222,000","310,971,000","396,745,000","396,678,000","145,556,000","186,882,000","43,349,000","85,635,000","54,372,000","58,374,000","17,422,000","17,112,000","14,657,000","46,793,000","14,769,000","13,641,000","19,021,000","27,453,000","51,661,000","57,752,000","23,596,000","14,169,000","22,102,000","12,882,000","122,951,000","279,600,000","22,673,000","65,345,000","73,967,000","44,521,000","40,747,000","17,544,000","16,422,000",,,,"16,386,000",,,,"3,188,000",,,,"920,000",,,,,,,,,,,
			CashAndCashEquivalents,"769,622,000","254,466,000","613,189,000","200,999,000","152,522,000","343,457,000","420,251,000","322,294,000","297,036,000","129,298,000","216,976,000","87,530,000","322,817,000","777,995,000","39,687,000","246,425,000","243,576,000","62,999,000","91,659,000","55,887,000","101,565,000","137,244,000","67,088,000","36,042,000","53,477,000","121,705,000","214,994,000","65,899,000","182,306,000","97,541,000","400,507,000","318,557,000","65,126,000","194,928,000","509,460,000","440,028,000","425,741,000","386,190,000","281,541,000","112,910,000","59,431,000","458,753,000","2,733,618,000","664,133,000","358,263,000","248,242,000","616,890,000","690,049,000","360,234,000","291,800,000","306,426,000","229,111,000","373,721,000","123,297,000","105,691,000","777,456,000","483,923,000","288,846,000","65,706,000","286,679,000","114,329,000","398,510,000","21,222,000","234,451,000","358,188,000","356,435,000","145,556,000","186,882,000","43,349,000","85,635,000","54,372,000","58,374,000","17,422,000","17,112,000","14,657,000","46,793,000","14,769,000","13,641,000","19,021,000","27,453,000","51,661,000","57,752,000","23,596,000","14,169,000","22,102,000","12,882,000","122,951,000","279,600,000","22,673,000","65,345,000","73,967,000","44,521,000","40,747,000","17,544,000","16,422,000",,,,"16,386,000",,,,"3,188,000",,,,"920,000",,,,,,,,,,,
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"223,121,000","240,276,000","169,655,000",,"207,660,000","106,982,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"360,234,000",,,,,,,"554,335,000","243,647,000","119,191,000",,"79,019,000","7,347,000","398,510,000",,"234,451,000","358,188,000","356,435,000","145,556,000","186,882,000","43,349,000","85,635,000","54,372,000","58,374,000","17,422,000","17,112,000","14,657,000","46,793,000","14,769,000","13,641,000","19,021,000","27,453,000","51,661,000","57,752,000","23,596,000","14,169,000","22,102,000","12,882,000","122,951,000","279,600,000","22,673,000","65,345,000","73,967,000","44,521,000","40,747,000","17,544,000","16,422,000",,,,"16,386,000",,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,474,000",,"76,520,000","38,557,000","40,243,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,,,,,,"19,734,000","18,594,000","18,190,000",,,"18,159,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccountsReceivable,,,,,,"19,734,000","18,594,000","18,190,000",,,"18,159,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"39,027,000","36,347,000","36,815,000","36,958,000","36,252,000","34,512,000","33,757,000","33,440,000","32,350,000","30,914,000","30,811,000","31,949,000","33,805,000","34,904,000","34,224,000","34,172,000","35,084,000","32,747,000","31,816,000","34,132,000","34,474,000","33,130,000","32,686,000","33,477,000","33,654,000","32,167,000","32,071,000","32,640,000","33,624,000","31,964,000","30,077,000","30,875,000","31,290,000","29,514,000","29,617,000","29,604,000","29,538,000","27,232,000","26,672,000","27,868,000","27,886,000","27,313,000","24,748,000",,,,,,,,,,,,,,,,,,"72,348,000","82,048,000",,"57,474,000","50,812,000","46,631,000","54,567,000","51,603,000","48,770,000","43,108,000","47,225,000","62,670,000","54,163,000","53,044,000","52,076,000","42,210,000","37,065,000","62,165,000","42,892,000","48,192,000","26,225,000","32,161,000","32,010,000","38,365,000","45,102,000","42,583,000","47,181,000","37,237,000","38,053,000","39,842,000","39,696,000","43,301,000","26,976,000","26,786,000","23,625,000",,,,,,,,,,,,,,,,,,,,,,,
