name,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,01/31/1989,01/31/1988,01/31/1987,01/31/1986
TotalAssets,"5,195,000,000","5,363,000,000","5,494,000,000","5,133,000,000","4,901,000,000","4,860,000,000","6,026,000,000","6,031,000,000","10,392,000,000","10,546,000,000","11,571,000,000","11,161,000,000","10,880,000,000","9,439,000,000","10,125,000,000","10,630,000,000","10,618,000,000","10,998,000,000","8,090,000,000","7,829,000,000","7,620,000,000","7,749,000,000","8,149,000,000","7,816,000,000","7,763,000,000","7,882,000,000","8,170,000,000","7,663,000,000","7,541,000,000","7,426,000,000","8,493,000,000","7,969,000,000","6,804,000,000","6,638,000,000","7,544,000,000","7,149,000,000","6,870,000,000","6,663,000,000","7,198,000,000","6,636,000,000","6,072,000,000","5,776,000,000","6,019,000,000","6,427,000,000","6,589,000,000","6,616,000,000","6,108,000,000","6,517,000,000","6,500,000,000","7,015,000,000","6,451,000,000","6,722,000,000","6,592,000,000","7,173,000,000","6,935,000,000","7,185,000,000","6,680,000,000","6,972,000,000","7,081,000,000","7,236,000,000","7,034,000,000","7,437,000,000","7,336,000,000","7,572,000,000","7,034,000,000","7,093,000,000","6,627,000,000","6,189,000,000","6,051,594,000","6,346,000,000","5,801,677,000","5,760,355,000","5,701,690,000","6,089,000,000","7,501,035,000","6,945,665,000","6,696,609,000","7,873,000,000","7,275,747,000","7,180,222,000","7,110,000,000","7,246,000,000","6,146,816,000","6,138,456,000","6,079,000,000","4,719,000,000","4,156,741,000","4,001,939,000","3,863,625,000","4,088,122,000","4,009,031,000","3,816,719,000","3,860,592,000","4,087,689,000","3,887,600,000","4,027,700,000","4,282,100,000","4,549,700,000","4,288,200,000","4,136,900,000","4,249,000,000","4,300,800,000","4,237,400,000","4,071,500,000","3,982,200,000","4,120,000,000","4,277,400,000","3,888,900,000","3,716,100,000","5,266,600,000","5,116,900,000","4,857,700,000","4,469,500,000","4,570,100,000","4,555,800,000","4,197,800,000","4,049,700,000","4,135,100,000","4,214,800,000","4,051,500,000","3,942,600,000","3,846,500,000","4,081,500,000","3,750,100,000","3,494,900,000","3,418,900,000","3,536,400,000","3,151,500,000","2,906,500,000","2,871,900,000","2,994,600,000","2,657,900,000","2,469,900,000","2,418,500,000","2,416,800,000","2,145,500,000","1,587,900,000","1,377,100,000","1,211,500,000"
	CurrentAssets,"1,893,000,000","2,080,000,000","2,266,000,000","1,948,000,000","1,754,000,000","1,752,000,000","3,009,000,000","2,985,000,000","4,514,000,000","4,612,000,000","5,579,000,000","4,927,000,000","4,505,000,000","2,849,000,000","3,245,000,000","2,926,000,000","2,653,000,000","2,947,000,000","3,260,000,000","2,933,000,000","2,715,000,000","2,890,000,000","3,293,000,000","2,930,000,000","2,957,000,000","3,152,000,000","3,465,000,000","2,886,000,000","2,960,000,000","2,991,000,000","4,156,000,000","3,564,000,000","2,498,000,000","2,318,000,000","3,232,000,000","2,849,000,000","2,699,000,000","2,585,000,000","3,150,000,000","2,580,000,000","2,098,000,000","1,904,000,000","2,205,000,000","2,485,000,000","2,716,000,000","2,816,000,000","2,368,000,000","2,616,000,000","2,652,000,000","3,164,000,000","2,592,000,000","2,805,000,000","2,687,000,000","3,250,000,000","2,914,000,000","3,133,000,000","2,616,000,000","2,867,000,000","2,739,000,000","2,821,000,000","2,600,000,000","2,919,000,000","2,792,000,000","3,222,000,000","2,570,000,000","2,771,000,000","2,892,000,000","2,552,000,000","2,449,269,000","2,784,000,000","2,248,007,000","2,253,951,000","2,245,528,000","2,684,000,000","4,083,920,000","3,553,454,000","3,302,784,000","4,433,000,000","3,795,119,000","3,639,782,000","3,546,000,000","3,606,000,000","2,670,735,000","2,585,245,000","2,504,000,000","2,682,000,000","2,092,953,000","1,900,788,000","1,819,927,000","2,067,798,000","2,051,804,000","1,934,145,000","2,002,653,000","2,246,277,000","2,001,400,000","2,074,000,000","1,998,800,000","2,318,200,000","1,922,700,000","1,896,700,000","2,014,800,000","2,031,200,000","1,790,100,000","1,452,300,000","1,386,700,000","1,545,100,000","1,672,600,000","1,383,100,000","1,235,200,000","2,800,000,000","3,016,900,000","2,759,500,000","2,438,900,000","2,547,700,000","2,519,900,000","2,228,800,000","2,135,900,000","2,220,600,000","2,293,100,000","1,952,500,000","1,886,300,000","1,784,100,000","1,999,000,000","1,697,900,000","1,590,600,000","1,604,300,000","1,774,500,000","1,499,100,000","1,367,800,000","1,365,000,000","1,530,200,000","1,281,000,000","1,187,700,000","1,163,700,000","1,227,400,000","1,023,600,000","544,600,000","469,200,000","416,300,000"
		CashCashEquivalentsAndShortTermInvestments,"790,000,000","1,046,000,000","1,232,000,000","295,000,000","452,000,000","651,000,000","1,979,000,000","1,441,000,000","1,988,000,000","2,807,000,000","3,903,000,000","2,622,000,000","2,611,000,000","957,000,000","1,499,000,000","340,000,000","853,000,000","1,146,000,000","1,413,000,000","348,000,000","843,000,000","1,032,000,000","1,515,000,000","735,000,000","1,360,000,000","1,555,000,000","1,934,000,000","654,000,000","1,273,000,000","1,267,000,000","2,548,000,000","1,311,000,000","830,000,000","699,000,000","1,681,000,000","745,000,000","1,147,000,000","912,000,000","1,519,000,000","425,000,000","551,000,000","382,000,000","773,000,000","547,000,000","1,193,000,000","1,286,000,000","935,000,000","498,000,000","1,035,000,000","1,557,000,000","1,130,000,000","1,300,000,000","1,188,000,000","1,804,000,000","968,000,000","1,550,000,000","936,000,000","1,173,000,000","377,000,000","978,000,000","759,000,000","1,018,000,000","218,000,000","1,193,000,000","194,000,000","500,000,000","178,000,000","651,000,000","722,416,000","1,208,000,000","155,413,000","719,096,000","686,236,000","1,161,000,000","2,135,204,000","2,099,684,000","1,945,407,000","3,129,000,000","1,818,391,000","2,239,727,000","2,243,000,000","2,262,000,000","885,377,000","1,167,038,000","1,255,000,000","1,375,000,000","317,867,000","327,467,000","288,946,000","563,547,000","6,174,000","321,503,000","484,091,000","817,268,000","173,300,000","490,300,000","491,400,000","870,300,000","64,800,000","498,900,000","687,900,000","746,400,000","37,000,000","22,500,000","57,500,000","312,800,000","56,700,000","33,100,000","24,500,000","1,645,700,000","274,900,000","262,600,000","60,000,000","242,800,000","58,500,000","108,300,000","159,100,000","320,600,000","171,900,000","63,400,000","60,500,000","41,200,000","22,700,000","17,000,000","17,600,000","33,700,000","10,100,000","13,100,000","14,400,000","13,200,000","16,100,000","11,600,000","20,100,000","21,700,000","16,700,000","15,300,000","48,000,000","3,300,000","12,900,000"
			CashAndCashEquivalents,"790,000,000","1,046,000,000","1,232,000,000","295,000,000","452,000,000","651,000,000","1,979,000,000","1,441,000,000","1,988,000,000","2,807,000,000","3,903,000,000","2,622,000,000","2,611,000,000","957,000,000","1,499,000,000","340,000,000","853,000,000","1,146,000,000","1,413,000,000","348,000,000","843,000,000","1,032,000,000","1,515,000,000","735,000,000","1,360,000,000","1,555,000,000","1,934,000,000","654,000,000","1,273,000,000","1,267,000,000","2,548,000,000","1,311,000,000","780,000,000","649,000,000","1,681,000,000","745,000,000","1,147,000,000","912,000,000","1,519,000,000","425,000,000","551,000,000","382,000,000","773,000,000","547,000,000","1,193,000,000","1,286,000,000","935,000,000","498,000,000","1,035,000,000","1,557,000,000","1,130,000,000","1,300,000,000","1,188,000,000","1,804,000,000","968,000,000","1,550,000,000","936,000,000","1,173,000,000","377,000,000","978,000,000","759,000,000","1,018,000,000","218,000,000","1,193,000,000","194,000,000","500,000,000","178,000,000","651,000,000","722,416,000","1,208,000,000","155,413,000","719,096,000","686,236,000","1,161,000,000","2,135,204,000","2,099,684,000","1,945,407,000","3,129,000,000","1,818,391,000","2,239,727,000","2,243,000,000","2,262,000,000","885,377,000","1,167,038,000","1,255,000,000","1,375,000,000","317,867,000","327,467,000","288,946,000","563,547,000","6,174,000","321,503,000","484,091,000","817,268,000","173,300,000","490,300,000","491,400,000","870,300,000","64,800,000","498,900,000","687,900,000","746,400,000","37,000,000","22,500,000","57,500,000","312,800,000","56,700,000","33,100,000","24,500,000","1,645,700,000","274,900,000","262,600,000","60,000,000","242,800,000","58,500,000","108,300,000","159,100,000","320,600,000","171,900,000","63,400,000","60,500,000","41,200,000","22,700,000","17,000,000","17,600,000","33,700,000","10,100,000","13,100,000","14,400,000","13,200,000","16,100,000","11,600,000","20,100,000","21,700,000","16,700,000","15,300,000","48,000,000","3,300,000","12,900,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000,000","50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"153,000,000","145,000,000","226,000,000","242,000,000","184,000,000","167,000,000","240,000,000","242,000,000","230,000,000","221,000,000","269,000,000","297,000,000","268,000,000","229,000,000","306,000,000","295,000,000","283,000,000","274,000,000","367,000,000","321,000,000","310,000,000","274,000,000","310,000,000","285,000,000","245,000,000","213,000,000","294,000,000","325,000,000","266,000,000","249,000,000","261,000,000","283,000,000","257,000,000","239,000,000","252,000,000","274,000,000","233,000,000","216,000,000","244,000,000","245,000,000","197,000,000","175,000,000","203,000,000","225,000,000","175,000,000","158,000,000","218,000,000","298,000,000","241,000,000","205,000,000","232,000,000","209,000,000","199,000,000","219,000,000","252,000,000","230,000,000","198,000,000","236,000,000","352,000,000","331,000,000","320,000,000","355,000,000","462,000,000","275,000,000","155,000,000","176,000,000","178,000,000","138,000,000","126,802,000","182,000,000","170,792,000","120,378,000","123,270,000","128,000,000","134,575,000","101,442,000","123,113,000","110,000,000","345,059,000","105,689,000","120,000,000","151,000,000","112,110,000","81,467,000","78,000,000","79,000,000","127,152,000","79,167,000","82,191,000","93,745,000","122,359,000","102,812,000","77,166,000","108,794,000","129,700,000","72,800,000","72,100,000","77,700,000","101,500,000","81,100,000","81,600,000","83,400,000","113,400,000","91,500,000","80,100,000","69,300,000","104,400,000","96,300,000","69,400,000","77,500,000","1,312,900,000","1,262,200,000","1,252,500,000","1,292,400,000","1,219,400,000","1,120,000,000","1,066,900,000","1,056,900,000","1,002,700,000","864,700,000","842,500,000","837,400,000","789,700,000","752,000,000","726,700,000","735,800,000","743,300,000","672,100,000","644,700,000","670,300,000","684,500,000","637,600,000","600,900,000","596,200,000","583,700,000","531,500,000","95,100,000","72,900,000","62,100,000"
			AccountsReceivable,"153,000,000","145,000,000","226,000,000","242,000,000","184,000,000","167,000,000","240,000,000","242,000,000","230,000,000","221,000,000","269,000,000","297,000,000","268,000,000","229,000,000","306,000,000","295,000,000","283,000,000","274,000,000","367,000,000","321,000,000","310,000,000","274,000,000","310,000,000","285,000,000","245,000,000","213,000,000","294,000,000","325,000,000","266,000,000","249,000,000","261,000,000","283,000,000","257,000,000","239,000,000","252,000,000","274,000,000","233,000,000","216,000,000","244,000,000","245,000,000","197,000,000","175,000,000","203,000,000","225,000,000","175,000,000","158,000,000","218,000,000","298,000,000","241,000,000","205,000,000","232,000,000","209,000,000","199,000,000","219,000,000","252,000,000","230,000,000","198,000,000","236,000,000","352,000,000","331,000,000","320,000,000","355,000,000","462,000,000","275,000,000","155,000,000","176,000,000","178,000,000","138,000,000","126,802,000","182,000,000","170,792,000","120,378,000","123,270,000","128,000,000","134,575,000","101,442,000","123,113,000","110,000,000","345,059,000","105,689,000","120,000,000","151,000,000","112,110,000","81,467,000","78,000,000","79,000,000","127,152,000","79,167,000","82,191,000",,,"102,812,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"818,000,000","771,000,000","709,000,000","1,269,000,000","971,000,000","820,000,000","709,000,000","1,149,000,000","1,473,000,000","1,397,000,000","1,273,000,000","1,865,000,000","1,476,000,000","1,491,000,000","1,287,000,000","2,032,000,000","1,329,000,000","1,357,000,000","1,248,000,000","1,963,000,000","1,315,000,000","1,350,000,000","1,240,000,000","1,715,000,000","1,118,000,000","1,147,000,000","1,096,000,000","1,651,000,000","1,204,000,000","1,266,000,000","1,122,000,000","1,620,000,000","1,106,000,000","1,139,000,000","1,036,000,000","1,485,000,000","1,075,000,000","1,219,000,000","1,165,000,000","1,643,000,000","1,127,000,000","1,115,000,000","1,004,000,000","1,446,000,000","1,057,000,000","1,100,000,000","997,000,000","1,537,000,000","1,104,000,000","1,075,000,000","1,032,000,000","1,083,000,000","1,098,000,000","1,037,000,000","1,426,000,000","1,091,000,000","1,213,000,000","1,182,000,000","1,648,000,000","1,220,000,000","1,224,000,000","1,251,000,000","1,792,000,000","1,468,000,000","1,816,000,000","1,770,000,000","2,175,000,000","1,493,000,000","1,352,836,000","1,160,000,000","1,612,796,000","1,175,934,000","1,187,717,000","1,142,000,000","1,561,651,000","1,122,241,000","1,003,173,000","943,000,000","1,387,599,000","1,074,861,000","955,000,000","966,000,000","1,410,174,000","1,090,290,000","919,000,000","966,000,000","1,343,329,000","1,153,581,000","1,129,994,000","1,157,140,000","1,581,682,000","1,214,807,000","1,244,768,000","1,150,829,000","1,518,600,000","1,238,400,000","1,270,200,000","1,218,500,000","1,664,200,000","1,235,700,000","1,152,900,000","1,101,900,000","1,540,300,000","1,155,700,000","1,091,100,000","1,007,300,000","1,361,100,000","1,116,100,000","1,011,000,000","959,000,000","1,288,000,000","1,081,600,000","985,500,000","870,400,000","1,092,200,000","867,300,000","803,500,000","733,700,000","1,002,200,000","904,400,000","874,000,000","803,700,000","1,081,700,000","826,500,000","760,600,000","730,100,000","919,500,000","718,500,000","615,200,000","585,200,000","745,600,000","562,000,000","513,200,000","482,100,000","564,100,000","407,000,000","353,700,000","361,500,000","320,300,000"
			RawMaterials,"180,000,000","160,000,000","171,000,000","203,000,000","232,000,000","193,000,000","188,000,000","208,000,000","228,000,000","173,000,000","200,000,000","233,000,000","217,000,000","144,000,000","135,000,000","178,000,000","197,000,000","132,000,000","141,000,000","189,000,000","172,000,000","125,000,000","119,000,000","166,000,000","145,000,000","98,000,000","114,000,000","152,000,000","142,000,000","109,000,000","108,000,000","155,000,000","143,000,000","95,000,000","94,000,000","125,000,000","108,000,000","81,000,000","92,000,000","125,000,000","118,000,000","77,000,000","88,000,000","120,000,000","107,000,000","71,000,000","71,000,000","88,000,000","105,000,000","75,000,000","76,000,000","99,000,000","63,000,000","64,000,000","73,000,000","82,000,000","59,000,000","81,000,000","93,000,000","127,000,000","97,000,000","111,000,000","161,000,000","232,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,"638,000,000","611,000,000","538,000,000","1,066,000,000","739,000,000","627,000,000","521,000,000","941,000,000","1,245,000,000","1,224,000,000","1,073,000,000","1,632,000,000","1,259,000,000","1,347,000,000","1,152,000,000","1,854,000,000","1,132,000,000","1,225,000,000","1,107,000,000","1,774,000,000","1,143,000,000","1,225,000,000","1,121,000,000","1,549,000,000","973,000,000","1,049,000,000","982,000,000","1,499,000,000","1,062,000,000","1,157,000,000","1,014,000,000","1,465,000,000","963,000,000","1,044,000,000","942,000,000","1,360,000,000","967,000,000","1,138,000,000","1,073,000,000","1,518,000,000","1,009,000,000","1,038,000,000","916,000,000","1,326,000,000","950,000,000","1,029,000,000","926,000,000","1,449,000,000","999,000,000","1,000,000,000","956,000,000","984,000,000","1,035,000,000","973,000,000","1,353,000,000","1,009,000,000","1,154,000,000","1,101,000,000","1,555,000,000","1,093,000,000","1,127,000,000","1,140,000,000","1,631,000,000","1,236,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
