name,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,10/31/2012,07/31/2012,04/30/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,12/31/1989,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalAssets,"15,318,000,000","14,688,000,000","15,803,000,000","17,021,000,000","15,419,000,000","15,251,000,000","17,504,000,000","20,102,000,000","18,579,000,000","17,705,000,000","19,067,000,000","21,202,000,000","17,412,000,000","15,605,000,000","15,591,000,000","16,926,000,000","14,978,000,000","14,550,000,000","12,901,000,000","15,000,000,000","11,993,000,000","12,082,000,000","13,049,000,000","14,785,000,000","13,444,000,000","12,955,000,000","13,856,000,000","14,542,000,000","13,254,000,000","12,901,000,000","13,519,000,000","15,150,000,000","13,566,000,000","13,719,000,000","15,256,000,000","15,762,000,000","14,349,000,000","13,911,000,000","14,013,000,000","15,068,000,000","13,284,000,000","14,331,000,000","17,556,000,000","15,849,000,000","16,011,000,000","16,005,000,000","22,748,000,000","18,829,000,000","18,673,000,000","17,849,000,000","22,352,000,000","17,362,000,000","17,956,000,000","18,302,000,000","21,100,000,000","17,191,000,000","16,214,000,000","15,826,000,000","20,647,000,000","17,522,000,000","13,231,000,000","12,758,000,000","15,474,000,000","12,237,000,000","13,142,000,000","13,570,000,000","15,386,000,000","12,407,000,000","11,269,000,000","11,864,000,000","13,242,000,000","10,259,000,000","9,899,000,000","10,294,000,000","11,622,000,000","8,644,000,000","8,550,000,000","8,652,000,000","10,083,000,000","7,730,000,000","7,152,000,000","7,663,000,000","8,861,000,000","6,886,000,000","7,255,000,000","7,375,000,000","7,502,000,000","5,521,000,000","4,809,000,000","4,839,587,000","4,781,964,000","3,644,187,000","3,260,850,000","2,995,342,000","3,772,100,000","2,608,200,000","2,343,800,000","2,512,500,000","2,857,300,000","2,208,900,000","1,967,300,000","2,056,300,000","2,389,700,000","1,820,400,000","1,720,700,000","1,734,300,000","2,576,000,000","2,064,400,000","1,978,600,000","1,890,800,000","2,758,200,000","1,901,500,000","1,558,000,000","1,507,100,000","2,008,600,000","1,270,900,000","1,004,700,000","952,500,000","1,168,800,000","672,600,000","570,500,000","439,100,000","636,700,000","429,200,000","377,400,000","337,200,000","396,000,000","214,900,000","195,600,000","185,500,000","234,400,000","177,300,000","165,300,000","191,600,000","139,900,000","140,300,000","87,600,000","31,900,000"
	CurrentAssets,"8,304,000,000","7,762,000,000","8,802,000,000","9,922,000,000","8,344,000,000","8,315,000,000","10,539,000,000","13,520,000,000","12,040,000,000","11,268,000,000","12,540,000,000","14,551,000,000","10,683,000,000","8,996,000,000","8,857,000,000","10,175,000,000","8,192,000,000","8,014,000,000","8,870,000,000","10,901,000,000","8,771,000,000","8,930,000,000","9,829,000,000","11,405,000,000","10,078,000,000","9,656,000,000","10,516,000,000","11,021,000,000","9,694,000,000","9,282,000,000","9,886,000,000","11,735,000,000","10,245,000,000","10,396,000,000","11,729,000,000","12,063,000,000","10,611,000,000","10,118,000,000","10,485,000,000","11,234,000,000","9,414,000,000","10,006,000,000","11,846,000,000","10,184,000,000","10,316,000,000","10,297,000,000","15,909,000,000","11,501,000,000","11,293,000,000","10,473,000,000","14,829,000,000","9,959,000,000","10,388,000,000","10,566,000,000","13,267,000,000","9,215,000,000","8,410,000,000","8,192,000,000","12,318,000,000","9,328,000,000","7,733,000,000","7,342,000,000","10,477,000,000","7,448,000,000","8,306,000,000","9,081,000,000","10,670,000,000","7,887,000,000","6,878,000,000","7,985,000,000","9,694,000,000","6,842,000,000","6,605,000,000","6,903,000,000","8,332,000,000","5,596,000,000","5,602,000,000","5,724,000,000","7,144,000,000","4,886,000,000","4,366,000,000","4,867,000,000","6,053,000,000","4,217,000,000","4,384,000,000","4,611,000,000","4,904,000,000","3,503,000,000","2,851,000,000","2,928,663,000","3,652,700,000","2,676,345,000","2,454,453,000","2,238,460,000","3,108,800,000","2,055,300,000","1,877,500,000","2,063,100,000","2,471,700,000","1,870,800,000","1,629,700,000","1,710,300,000","2,048,100,000","1,481,100,000","1,382,000,000","1,385,000,000","2,242,800,000","1,734,000,000","1,653,300,000","1,560,500,000","2,432,200,000","1,601,500,000","1,279,200,000","1,240,700,000","1,688,100,000","1,018,800,000","798,200,000","764,600,000","998,500,000","561,500,000","474,800,000","304,900,000","511,700,000","334,600,000","311,800,000","273,100,000","336,900,000","166,000,000","150,500,000","139,600,000","193,400,000","140,500,000","136,000,000","163,400,000","113,000,000","111,400,000","74,600,000","28,400,000"
		CashCashEquivalentsAndShortTermInvestments,"1,093,000,000","1,030,000,000","1,874,000,000","932,000,000","840,000,000","640,000,000","2,936,000,000","3,465,000,000","4,340,000,000","4,338,000,000","5,494,000,000","5,681,000,000","5,305,000,000","3,919,000,000","2,229,000,000","1,205,000,000","1,609,000,000","1,561,000,000","1,980,000,000","1,304,000,000","2,330,000,000","2,633,000,000","3,133,000,000","3,340,000,000","3,490,000,000","3,599,000,000","3,921,000,000","3,118,000,000","3,451,000,000","3,065,000,000","3,281,000,000","3,347,000,000","3,495,000,000","3,739,000,000","3,888,000,000","3,138,000,000","3,080,000,000","3,066,000,000","2,901,000,000","2,170,000,000","1,910,000,000","908,000,000","309,000,000","680,000,000","1,386,000,000","1,199,000,000","2,392,000,000","2,120,000,000","2,228,000,000","1,125,000,000","927,000,000","845,000,000","1,444,000,000","1,916,000,000","657,000,000","672,000,000","543,000,000","509,000,000","594,000,000","544,000,000","1,543,000,000","1,502,000,000","1,614,000,000","1,511,000,000","2,802,000,000","3,793,000,000","2,715,000,000","2,668,000,000","2,326,000,000","3,732,000,000","3,097,000,000","2,825,000,000","2,606,000,000","3,348,000,000","2,513,000,000","1,969,000,000","2,070,000,000","2,600,000,000","1,827,000,000","1,734,000,000","1,466,000,000","1,914,000,000","1,156,000,000","1,119,000,000","1,245,000,000","1,855,000,000","843,000,000","961,000,000","466,000,000","746,879,000","728,796,000","845,021,000","765,387,000","750,723,000","514,800,000","473,400,000","510,900,000","785,800,000","409,400,000","491,600,000","397,300,000","520,100,000","122,100,000","101,400,000","94,900,000","89,800,000","43,200,000","30,700,000","20,600,000","86,400,000","107,000,000","43,700,000","51,700,000","144,700,000","20,500,000","47,400,000","10,200,000","59,900,000","75,000,000","43,900,000","95,500,000","7,100,000","13,900,000","9,100,000","69,800,000","112,800,000","48,000,000","16,300,000","20,100,000","27,100,000","6,100,000","1,400,000","19,100,000","33,200,000","800,000","600,000","2,600,000","100,000"
			CashAndCashEquivalents,"1,093,000,000","1,030,000,000","1,874,000,000","932,000,000","840,000,000","640,000,000","2,936,000,000","3,465,000,000","4,340,000,000","4,278,000,000","5,494,000,000","5,136,000,000","5,305,000,000","3,919,000,000","2,229,000,000","1,205,000,000","1,289,000,000","1,561,000,000","1,980,000,000","1,228,000,000","1,865,000,000","1,848,000,000","1,101,000,000","1,103,000,000","1,365,000,000","1,651,000,000","2,240,000,000","1,341,000,000","1,861,000,000","1,845,000,000","1,976,000,000","1,697,000,000","1,800,000,000","2,173,000,000","2,432,000,000","1,929,000,000","2,141,000,000","2,569,000,000","2,678,000,000","2,170,000,000","1,910,000,000","908,000,000","309,000,000","680,000,000","1,386,000,000","1,199,000,000","2,392,000,000","2,040,000,000","2,208,000,000","1,103,000,000","925,000,000","843,000,000","1,239,000,000","1,826,000,000","564,000,000","668,000,000","535,000,000","498,000,000","569,000,000","544,000,000","1,475,000,000","1,438,000,000","1,319,000,000","1,390,000,000","1,366,000,000","1,205,000,000","1,202,000,000","1,104,000,000","772,000,000","681,000,000","812,000,000","798,000,000","604,000,000","470,000,000","2,435,000,000","1,962,000,000","2,070,000,000","2,600,000,000","1,827,000,000","1,734,000,000","1,466,000,000","1,914,000,000","1,156,000,000","1,119,000,000","1,245,000,000","1,855,000,000","843,000,000","961,000,000","466,000,000","746,879,000","728,796,000","845,021,000","765,387,000","750,723,000","514,800,000","473,400,000","510,900,000","785,800,000","409,400,000","491,600,000","397,300,000","520,100,000","122,100,000","101,400,000","94,900,000","89,800,000","43,200,000","30,700,000","20,600,000","86,400,000","107,000,000","43,700,000","51,700,000","144,700,000","20,500,000","47,400,000","10,200,000","59,900,000","75,000,000","43,900,000","95,500,000","7,100,000","13,900,000","9,100,000","69,800,000","112,800,000","48,000,000","16,300,000","20,100,000","27,100,000","6,100,000","1,400,000","19,100,000","33,200,000","800,000","600,000","2,600,000","100,000"
				CashFinancial,,,,,,,"1,352,000,000",,,,"1,935,000,000",,,,"561,000,000",,,,"570,000,000",,,,"577,000,000",,,,"709,000,000",,,,"768,000,000",,,,"772,000,000",,,,"973,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,"1,584,000,000",,,,"3,559,000,000",,,,"1,668,000,000",,,,"1,410,000,000",,,,"524,000,000",,,,"1,531,000,000",,,,"1,208,000,000",,,,"1,660,000,000",,,,"1,705,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,"0",,"0",,"60,000,000",,"545,000,000","0",,,"0","320,000,000","0","0","76,000,000","465,000,000","785,000,000","2,032,000,000","2,237,000,000","2,125,000,000","1,948,000,000","1,681,000,000","1,777,000,000","1,590,000,000","1,220,000,000","1,305,000,000","1,650,000,000","1,695,000,000","1,566,000,000","1,456,000,000","1,209,000,000","939,000,000","497,000,000","223,000,000",,,,"0","0","0","0","0","80,000,000","20,000,000","22,000,000","2,000,000","2,000,000","205,000,000","90,000,000","93,000,000","4,000,000","8,000,000","11,000,000","25,000,000",,"68,000,000","64,000,000","295,000,000","121,000,000","1,436,000,000","2,588,000,000","1,513,000,000","1,564,000,000","1,554,000,000","3,051,000,000","2,285,000,000","2,027,000,000","2,002,000,000","2,878,000,000","78,000,000","7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"856,000,000","860,000,000","1,141,000,000","1,050,000,000","840,000,000","804,000,000","1,042,000,000","1,016,000,000","883,000,000","850,000,000","1,061,000,000","1,028,000,000","906,000,000","749,000,000","1,149,000,000","1,056,000,000","966,000,000","833,000,000","1,015,000,000","921,000,000","915,000,000","860,000,000","1,049,000,000","971,000,000","965,000,000","1,011,000,000","1,347,000,000","1,174,000,000","926,000,000","1,097,000,000","1,162,000,000","1,061,000,000","1,025,000,000","995,000,000","1,280,000,000","1,066,000,000","1,005,000,000","871,000,000","1,308,000,000","1,123,000,000","1,188,000,000","937,000,000","2,250,000,000","2,135,000,000","1,846,000,000","2,288,000,000","3,212,000,000","1,945,000,000","1,742,000,000","2,348,000,000","2,793,000,000","1,720,000,000","1,579,000,000","2,020,000,000","2,630,000,000","1,770,000,000","1,427,000,000","1,868,000,000","2,638,000,000","1,785,000,000","533,000,000","549,000,000","739,000,000","554,000,000","476,000,000","548,000,000","1,112,000,000","483,000,000","409,000,000","506,000,000","883,000,000","389,000,000","350,000,000","375,000,000","742,000,000","328,000,000","371,000,000","343,000,000","682,000,000","302,000,000","305,000,000","312,000,000","579,000,000","239,000,000","243,000,000","247,000,000","387,000,000","236,000,000","193,000,000","209,031,000","427,113,000","201,375,000","202,207,000","189,301,000","383,500,000","178,500,000","145,700,000","132,400,000","278,500,000","140,700,000","75,600,000","95,700,000","185,900,000","101,500,000","84,400,000","79,600,000","217,100,000","222,800,000","227,500,000","121,400,000","191,900,000","116,500,000","100,000,000","84,400,000","150,000,000","87,800,000","67,300,000","52,900,000","86,200,000","37,600,000","40,200,000","38,000,000","74,000,000","27,000,000","17,000,000","16,000,000","36,800,000","19,600,000","11,700,000","8,700,000","16,100,000","9,400,000","8,000,000","11,500,000","6,500,000","8,200,000","6,800,000","3,400,000"
			AccountsReceivable,"856,000,000","860,000,000","1,141,000,000","1,050,000,000","840,000,000","804,000,000","1,042,000,000","1,016,000,000","883,000,000","850,000,000","1,061,000,000","1,028,000,000","906,000,000","749,000,000","1,149,000,000","1,056,000,000","966,000,000","833,000,000","1,015,000,000","921,000,000","915,000,000","860,000,000","1,049,000,000","971,000,000","965,000,000","1,011,000,000","1,347,000,000","1,174,000,000","926,000,000","1,097,000,000","1,162,000,000","1,061,000,000","1,025,000,000","995,000,000","1,280,000,000","1,066,000,000","1,005,000,000","871,000,000","1,308,000,000","1,123,000,000","1,188,000,000","937,000,000",,,,,,,,,,,,,,,,"1,868,000,000","2,638,000,000","1,785,000,000","533,000,000","549,000,000","739,000,000","554,000,000","476,000,000","548,000,000","1,112,000,000","483,000,000","409,000,000","506,000,000","883,000,000","389,000,000","350,000,000","375,000,000","742,000,000","328,000,000","371,000,000","343,000,000","678,000,000","302,000,000","302,000,000","312,000,000","579,000,000","239,000,000","243,000,000","247,000,000","387,000,000","236,000,000","193,000,000","209,031,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"874,000,000","878,000,000","1,171,000,000","1,070,000,000","861,000,000","829,000,000","1,081,000,000","1,040,000,000","907,000,000","875,000,000","1,099,000,000","1,058,000,000","934,000,000","778,000,000","1,173,000,000",,,,"1,038,000,000",,,,"1,086,000,000",,,,"1,399,000,000",,,,"1,211,000,000",,,,"1,339,000,000",,,,"1,308,000,000","1,123,000,000",,"937,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
