name,ttm,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989
OperatingCashFlow,"505,000,000","38,000,000","230,000,000","94,000,000","143,000,000","173,000,000","253,000,000","348,000,000","150,000,000","185,000,000","245,000,000","289,000,000","192,000,000","91,000,000","215,000,000","322,000,000","115,000,000","72,000,000","223,000,000","305,000,000","146,000,000","126,000,000","70,000,000","348,000,000","112,000,000","102,000,000","194,000,000","276,000,000","41,000,000","128,000,000","76,000,000","287,000,000","14,000,000","147,000,000","233,000,000","305,000,000","-42,000,000","112,000,000","259,000,000","189,000,000","108,000,000","93,000,000","169,800,000","202,500,000","77,100,000","87,600,000","174,300,000","186,200,000","91,500,000","64,000,000","127,500,000","221,700,000","81,200,000","96,600,000","120,500,000","218,800,000","87,900,000","117,800,000","148,100,000","226,700,000","11,500,000","104,700,000","136,700,000","199,300,000","69,600,000","128,400,000","77,400,000","170,800,000","30,600,000","76,200,000","100,600,000","177,500,000","31,900,000","34,000,000","52,700,000","230,900,000","32,200,000","80,200,000","57,800,000","192,800,000","16,800,000","38,600,000","65,000,000","166,500,000","-27,400,000","38,900,000","31,100,000","177,300,000","-1,600,000","43,200,000","4,800,000","158,200,000","-13,300,000","81,300,000","16,600,000","168,600,000","-14,100,000","69,900,000","46,300,000","127,700,000","-19,100,000","58,100,000","49,900,000","109,900,000","-5,800,000","66,000,000","23,700,000","143,900,000","-9,600,000","25,000,000","47,800,000","110,800,000","-3,000,000","15,400,000","20,900,000","146,600,000","-29,600,000","59,400,000","33,400,000","142,100,000","-35,600,000","81,000,000","41,100,000","152,900,000","-74,100,000","73,000,000","24,200,000","117,900,000","-29,100,000","43,200,000","24,200,000","129,000,000","-40,100,000","21,300,000","13,300,000","111,300,000","-26,600,000","27,400,000"
	CashFlowFromContinuingOperatingActivities,"505,000,000","38,000,000","230,000,000","94,000,000","143,000,000","173,000,000","253,000,000","348,000,000","150,000,000","185,000,000","245,000,000","289,000,000","192,000,000","91,000,000","215,000,000","322,000,000","115,000,000","72,000,000","223,000,000","305,000,000","146,000,000","126,000,000","70,000,000","348,000,000","112,000,000","102,000,000","194,000,000","276,000,000","41,000,000","128,000,000","76,000,000","287,000,000","14,000,000","147,000,000","233,000,000","305,000,000","-42,000,000","112,000,000","259,000,000","189,000,000","108,000,000","93,000,000","169,800,000","202,500,000","77,100,000","87,600,000","174,300,000","186,200,000","91,500,000","64,000,000","127,500,000","221,700,000","81,200,000","96,600,000","120,500,000","218,800,000","87,900,000","117,800,000","148,100,000","226,700,000","11,500,000","104,700,000","136,700,000","199,300,000","69,700,000","128,300,000","77,300,000","156,100,000","29,200,000","75,400,000","101,500,000","195,600,000","31,900,000","34,000,000","52,700,000","230,900,000","32,200,000","80,200,000","57,800,000","192,800,000","16,800,000","38,600,000","65,000,000","166,500,000","-27,400,000","38,900,000","31,100,000","177,300,000","-1,600,000","43,200,000","4,800,000","158,200,000","-13,300,000","81,300,000","16,600,000","168,600,000","-14,100,000","69,900,000","46,300,000","127,700,000","-19,100,000","58,100,000","49,900,000","109,900,000","-5,800,000","66,000,000","23,700,000","143,900,000","-9,600,000","25,000,000","47,800,000","110,800,000","-3,000,000","15,400,000","20,900,000","146,600,000","-29,600,000","59,400,000","33,400,000","142,100,000","-35,600,000","81,000,000","41,100,000","152,900,000","-74,100,000","73,000,000","24,200,000","117,900,000","-29,100,000","43,200,000","24,200,000","129,000,000","-40,100,000","21,300,000","13,300,000","111,300,000","-26,600,000","27,400,000"
		NetIncomeFromContinuingOperations,"765,000,000","231,000,000","207,000,000","100,000,000","227,000,000","249,000,000","151,000,000","259,000,000","236,000,000","192,000,000","120,000,000","219,000,000","240,000,000","324,000,000","128,000,000","231,000,000","282,000,000","186,000,000","159,000,000","227,000,000","249,000,000","200,000,000","110,000,000","190,000,000","239,000,000","178,000,000","145,000,000","182,000,000","198,000,000","144,000,000","522,000,000","189,000,000","200,000,000","156,000,000","141,000,000","185,000,000","208,000,000","150,000,000","133,000,000","177,000,000","206,000,000","143,000,000","113,000,000","157,500,000",,,,"133,100,000",,,"165,900,000","140,700,000","154,000,000","111,400,000","72,500,000","107,900,000","147,200,000","121,400,000","80,200,000","123,400,000","143,200,000","88,200,000","99,300,000","116,100,000","129,300,000","95,300,000","66,300,000","105,100,000","123,900,000","93,700,000","77,900,000","120,500,000","108,600,000","13,000,000","57,400,000","96,100,000","102,600,000","51,900,000","58,100,000","80,500,000","88,300,000","31,100,000","57,900,000","70,000,000","81,000,000","36,100,000","51,400,000","57,300,000","80,100,000","39,200,000","54,100,000","56,200,000","80,100,000","42,600,000","51,900,000","54,800,000","72,900,000","38,400,000","48,200,000","49,300,000","67,300,000","37,200,000","44,100,000","45,600,000","60,900,000","34,400,000","39,700,000","41,600,000","55,700,000","32,000,000","36,500,000","38,200,000","53,100,000","32,200,000","33,700,000","37,700,000","49,100,000","28,100,000","30,400,000","38,700,000","62,500,000","29,500,000","32,500,000","37,300,000","51,200,000","35,200,000","31,600,000","34,300,000","52,700,000","27,800,000","27,000,000","38,100,000","43,900,000","36,200,000","24,600,000","31,200,000","-4,700,000","29,900,000"
		OperatingGainsLosses,,,,,,,,,,,"0","0","0","-127,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-36,500,000","0","200,000","-1,700,000",,,,,"-3,300,000","-20,200,000",,,"-200,000","-200,000",,,"400,000","-300,000","-11,200,000","100,000","-7,800,000","16,900,000","3,900,000","60,000,000","11,300,000",,,,,,,,,,,,"-6,700,000","-7,600,000","-15,400,000","7,700,000","-6,200,000","-3,400,000","-5,700,000","-4,700,000","-8,500,000","100,000","-3,900,000","-1,700,000","-6,800,000","6,800,000","1,300,000","-6,300,000","-5,500,000","-600,000","-3,200,000","-4,700,000",,,,,,,,,,,,"1,600,000","-200,000","200,000",,,,,,,,,,,,,,,"-1,200,000","0",,
			GainLossOnSaleOfBusiness,,,,,,,"0","0","0","0","0","0","0","-127,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"0","200,000","-1,700,000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"81,000,000","21,000,000","21,000,000","20,000,000","19,000,000","20,000,000","19,000,000","20,000,000","21,000,000","19,000,000","19,000,000","19,000,000","20,000,000","19,000,000","19,000,000","19,000,000","18,000,000","18,000,000","20,000,000","16,000,000","18,000,000","18,000,000","16,000,000","17,000,000","16,000,000","15,000,000","16,000,000","14,000,000","13,000,000","15,000,000","16,000,000","13,000,000","14,000,000","13,000,000","13,000,000","13,000,000","12,000,000","13,000,000","14,000,000","12,000,000","12,000,000","12,000,000","14,900,000","12,500,000","12,100,000","11,500,000","11,300,000","11,900,000","12,800,000","13,000,000","13,100,000","14,200,000","14,200,000","14,500,000","15,200,000","15,200,000","14,200,000","14,400,000","14,900,000","13,500,000","13,300,000","13,300,000","13,600,000","12,700,000","12,900,000","12,800,000","12,200,000","11,100,000","10,500,000","10,200,000","11,700,000","6,300,000","12,000,000","14,000,000","14,200,000","14,900,000","14,800,000","14,100,000","14,300,000","14,300,000","14,300,000","13,100,000","13,500,000","13,800,000","13,900,000","13,800,000","14,600,000","13,800,000","13,300,000","13,300,000","15,500,000","16,100,000","16,500,000","15,900,000","17,200,000","14,500,000","14,900,000","15,400,000","14,000,000","13,100,000","14,000,000","13,900,000","12,700,000","12,400,000","13,300,000","12,600,000","12,600,000","12,600,000","12,800,000","12,000,000","11,500,000","11,900,000","11,500,000","11,100,000","8,400,000","12,100,000","11,900,000","11,100,000","9,400,000","9,200,000","9,300,000","8,700,000","9,200,000","9,000,000","8,600,000","8,300,000","7,500,000","8,100,000","7,300,000","6,700,000","7,500,000","5,800,000","6,300,000","5,900,000","8,200,000","7,400,000","4,700,000","5,100,000"
			DepreciationAndAmortization,"81,000,000","21,000,000","21,000,000","20,000,000","19,000,000","20,000,000","19,000,000","20,000,000","21,000,000","19,000,000","19,000,000","19,000,000","20,000,000","19,000,000","19,000,000","19,000,000","18,000,000","18,000,000","20,000,000","16,000,000","18,000,000","18,000,000","16,000,000","17,000,000","16,000,000","15,000,000","16,000,000","14,000,000","13,000,000","15,000,000","16,000,000","13,000,000","14,000,000","13,000,000","13,000,000","13,000,000","12,000,000","13,000,000","14,000,000","12,000,000","12,000,000","12,000,000","14,900,000","12,500,000","12,100,000","11,500,000","11,300,000","11,900,000","12,800,000","13,000,000","13,100,000","14,200,000","14,200,000","14,500,000","15,200,000","15,200,000","14,200,000","14,400,000","14,900,000","13,500,000","13,300,000","13,300,000","13,600,000","12,700,000","12,900,000","12,800,000","12,200,000","11,100,000","10,500,000","10,200,000","11,700,000","6,300,000","12,000,000","14,000,000","14,200,000","14,900,000","14,800,000","14,100,000","14,300,000","14,300,000","14,300,000","13,100,000","13,500,000","13,800,000","13,900,000","13,800,000","14,600,000","13,800,000","13,300,000","13,300,000","15,500,000","16,100,000","16,500,000","15,900,000","17,200,000","14,500,000","14,900,000","15,400,000","14,000,000","13,100,000","14,000,000","13,900,000","12,700,000","12,400,000","13,300,000","12,600,000","12,600,000","12,600,000","12,800,000","12,000,000","11,500,000","11,900,000","11,500,000","11,100,000","8,400,000","12,100,000","11,900,000","11,100,000","9,400,000","9,200,000","9,300,000","8,700,000","9,200,000","9,000,000","8,600,000","8,300,000","7,500,000","8,100,000","7,300,000","6,700,000","7,500,000","5,800,000","6,300,000","5,900,000","8,200,000","7,400,000","4,700,000","5,100,000"
		DeferredTax,"6,000,000","12,000,000","3,000,000","2,000,000","-11,000,000","3,000,000","-8,000,000","20,000,000","-36,000,000","13,000,000","3,000,000","3,000,000","-16,000,000","-43,000,000","9,000,000","21,000,000","18,000,000","-9,000,000","25,000,000","5,000,000","-16,000,000","20,000,000","-37,000,000","-22,000,000","-7,000,000","-3,000,000","1,000,000","-4,000,000","4,000,000","-11,000,000","-2,000,000","20,000,000","-10,000,000","2,000,000","14,000,000","10,000,000","-19,000,000","1,000,000","17,000,000","-16,000,000","-18,000,000","12,000,000","-2,800,000","-13,600,000","14,000,000","28,400,000","17,000,000","19,300,000","19,500,000","-2,800,000","-33,500,000","55,300,000","9,500,000","700,000","-21,500,000","24,700,000","12,700,000","-4,900,000","10,200,000","4,900,000","7,500,000","-10,600,000","-9,600,000","9,500,000","9,900,000","-4,800,000","-5,000,000","-500,000","2,200,000","-3,700,000","-21,300,000","-900,000","-7,800,000","-3,000,000","29,200,000","-12,500,000","-9,700,000","-12,000,000","9,200,000","-6,300,000","2,100,000","-6,000,000","13,900,000","-9,300,000","0","-19,600,000","-14,500,000","-11,200,000","-10,000,000","-7,300,000","-5,000,000","-5,500,000","-16,200,000","-13,300,000","-17,100,000","-13,600,000","-6,100,000","-14,200,000","1,000,000","-10,500,000","-10,500,000","-5,000,000","8,400,000","3,300,000","3,000,000","4,300,000","5,700,000","-1,500,000","3,800,000","2,000,000","9,100,000","3,500,000","7,000,000","6,400,000","1,600,000","12,900,000","2,100,000","2,300,000","1,800,000","-500,000","4,900,000","200,000","3,100,000","-1,400,000","-400,000","-700,000","700,000","200,000","3,300,000","900,000","-300,000","1,300,000","1,600,000","1,400,000","-1,500,000","3,600,000","7,900,000","5,900,000"
			DeferredIncomeTax,"6,000,000","12,000,000","3,000,000","2,000,000","-11,000,000","3,000,000","-8,000,000","20,000,000","-36,000,000","13,000,000","3,000,000","3,000,000","-16,000,000","-43,000,000","9,000,000","21,000,000","18,000,000","-9,000,000","25,000,000","5,000,000","-16,000,000","20,000,000","-37,000,000","-22,000,000","-7,000,000","-3,000,000","1,000,000","-4,000,000","4,000,000","-11,000,000","-2,000,000","20,000,000","-10,000,000","2,000,000","14,000,000","10,000,000","-19,000,000","1,000,000","17,000,000","-16,000,000","-18,000,000","12,000,000","-2,800,000","-13,600,000","14,000,000","28,400,000","17,000,000","19,300,000","19,500,000","-2,800,000","-33,500,000","55,300,000","9,500,000","700,000","-21,500,000","24,700,000","12,700,000","-4,900,000","10,200,000","4,900,000","7,500,000","-10,600,000","-9,600,000","9,500,000","9,900,000","-4,800,000","-5,000,000","-500,000","2,200,000","-3,700,000","-21,300,000","-900,000","-7,800,000","-3,000,000","29,200,000","-12,500,000","-9,700,000","-12,000,000","9,200,000","-6,300,000","2,100,000","-6,000,000","13,900,000","-9,300,000","0","-19,600,000","-14,500,000","-11,200,000","-10,000,000","-7,300,000","-5,000,000","-5,500,000","-16,200,000","-13,300,000","-17,100,000","-13,600,000","-6,100,000","-14,200,000","1,000,000","-10,500,000","-10,500,000","-5,000,000","8,400,000","3,300,000","3,000,000","4,300,000","5,700,000","-1,500,000","3,800,000","2,000,000","9,100,000","3,500,000","7,000,000","6,400,000","1,600,000","12,900,000","2,100,000","2,300,000","1,800,000","-500,000","4,900,000","200,000","3,100,000","-1,400,000","-400,000","-700,000","700,000","200,000","3,300,000","900,000","-300,000","1,300,000","1,600,000","1,400,000","-1,500,000","3,600,000","7,900,000","5,900,000"
