name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
OperatingCashFlow,"-4,742,000,000","-192,000,000","-934,000,000","-2,422,000,000","-1,194,000,000","-88,000,000","1,351,000,000","-2,312,000,000","1,331,000,000","1,255,000,000","-1,612,000,000","-779,000,000"
	CashFlowFromContinuingOperatingActivities,"-4,742,000,000","-192,000,000","-934,000,000","-2,422,000,000","-1,194,000,000","-88,000,000","1,351,000,000","-2,312,000,000","1,331,000,000","1,255,000,000","-1,612,000,000","-779,000,000"
		NetIncomeFromContinuingOperations,"761,000,000","824,000,000","102,000,000","28,000,000","-193,000,000","-113,000,000","111,000,000","39,000,000","634,000,000","13,000,000","-769,000,000","94,000,000"
		OperatingGainsLosses,"959,000,000","-80,000,000","65,000,000","229,000,000","745,000,000","488,000,000","330,000,000","416,000,000","-826,000,000","-578,000,000","-367,000,000","-223,000,000"
			GainLossOnInvestmentSecurities,"973,000,000","-80,000,000","91,000,000","217,000,000","745,000,000","485,000,000","346,000,000","473,000,000","-761,000,000","-570,000,000","-296,000,000","-224,000,000"
		DepreciationAmortizationDepletion,"1,861,000,000","614,000,000","605,000,000","470,000,000","172,000,000","605,000,000","602,000,000","589,000,000","1,265,000,000","1,340,000,000","1,346,000,000","1,370,000,000"
			DepreciationAndAmortization,"1,861,000,000","614,000,000","605,000,000","470,000,000","172,000,000","605,000,000","602,000,000","589,000,000","1,265,000,000","1,340,000,000","1,346,000,000","1,370,000,000"
				Depreciation,"1,835,000,000","771,000,000","605,000,000","464,000,000","152,000,000","605,000,000","602,000,000","589,000,000","1,265,000,000","1,340,000,000","1,346,000,000","1,370,000,000"
				AmortizationCashFlow,,,"5,000,000","6,000,000",,,,,,,,
					AmortizationOfIntangibles,,,"5,000,000","6,000,000",,,,,,,,
		DeferredTax,"253,000,000","222,000,000","-33,000,000","272,000,000","-208,000,000","-400,000,000","-307,000,000","-1,000,000","-62,000,000","-19,000,000","-123,000,000","129,000,000"
			DeferredIncomeTax,"253,000,000","222,000,000","-33,000,000","272,000,000","-208,000,000","-400,000,000","-307,000,000","-1,000,000","-62,000,000","-19,000,000","-123,000,000","129,000,000"
		AssetImpairmentCharge,,,,"0","0","0","0","8,000,000","44,000,000","492,000,000","1,000,000","11,000,000"
		UnrealizedGainLossOnInvestmentSecurities,,,,,"2,000,000","5,000,000","20,000,000","77,000,000","179,000,000","-119,000,000","23,000,000","-186,000,000"
		OtherNonCashItems,"-1,577,000,000","-197,000,000","-240,000,000","-1,047,000,000","-93,000,000","12,000,000","1,190,000,000","-2,301,000,000","645,000,000","445,000,000","-121,000,000","-450,000,000"
		ChangeInWorkingCapital,"-6,560,000,000","-1,161,000,000","-1,433,000,000","-2,347,000,000","-1,619,000,000","-685,000,000","-595,000,000","-1,139,000,000","-548,000,000","-319,000,000","-1,602,000,000","-1,524,000,000"
			ChangeInReceivables,"370,000,000","622,000,000","676,000,000","-718,000,000","-210,000,000","138,000,000","-78,000,000","-409,000,000","-117,000,000","363,000,000","-453,000,000","-338,000,000"
				ChangesInAccountReceivables,"370,000,000","785,000,000","513,000,000","-718,000,000","-210,000,000","138,000,000","-78,000,000","-409,000,000","-117,000,000","363,000,000","-453,000,000","-338,000,000"
			ChangeInInventory,"-16,000,000","-44,000,000","168,000,000","-62,000,000","-78,000,000","-170,000,000","82,000,000","-39,000,000","-33,000,000","-46,000,000","50,000,000","-12,000,000"
			ChangeInPayablesAndAccruedExpense,"-968,000,000","-209,000,000","-1,516,000,000","353,000,000","404,000,000","349,000,000","36,000,000","-11,000,000","203,000,000","-54,000,000","208,000,000","276,000,000"
				ChangeInPayable,,,,,,"349,000,000","36,000,000","-11,000,000","203,000,000","-54,000,000","208,000,000","276,000,000"
					ChangeInTaxPayable,,,,,,,,,,,,"74,000,000"
						ChangeInIncomeTaxPayable,,,,,,,,,,,,"74,000,000"
					ChangeInAccountPayable,,,,,,"349,000,000","36,000,000","-11,000,000","203,000,000","-54,000,000","208,000,000","276,000,000"
			ChangeInOtherCurrentAssets,,,,,,,,,,,,"-169,000,000"
			ChangeInOtherWorkingCapital,"-5,946,000,000","-1,530,000,000","-761,000,000","-1,920,000,000","-1,735,000,000","-1,002,000,000","-635,000,000","-680,000,000","-601,000,000","-582,000,000","-1,407,000,000","-1,450,000,000"
InvestingCashFlow,"2,574,000,000","-48,000,000","219,000,000","1,233,000,000","1,170,000,000","297,000,000","404,000,000","643,000,000","533,000,000","267,000,000","1,839,000,000","669,000,000"
	CashFlowFromContinuingInvestingActivities,"2,574,000,000","-48,000,000","219,000,000","1,233,000,000","1,170,000,000","297,000,000","404,000,000","643,000,000","533,000,000","267,000,000","1,839,000,000","669,000,000"
		CapitalExpenditureReported,"-2,225,000,000","-676,000,000","-660,000,000","-599,000,000","-290,000,000","-390,000,000","-410,000,000","-243,000,000","-367,000,000","-337,000,000","-382,000,000","-535,000,000"
		NetInvestmentPurchaseAndSale,"-173,000,000","-34,000,000","-53,000,000","-43,000,000","-43,000,000","-72,000,000","-63,000,000","-7,000,000","-34,000,000","-69,000,000","-31,000,000","-55,000,000"
			PurchaseOfInvestment,"-5,151,000,000","-1,173,000,000","-2,030,000,000","-1,059,000,000","-889,000,000","-1,130,000,000","-1,193,000,000","-773,000,000","-1,362,000,000","-1,599,000,000","-2,939,000,000","-26,000,000"
			SaleOfInvestment,"4,978,000,000","1,139,000,000","1,977,000,000","1,016,000,000","846,000,000","1,058,000,000","1,130,000,000","766,000,000","1,328,000,000","1,530,000,000","2,908,000,000","-29,000,000"
		NetOtherInvestingChanges,"4,972,000,000","662,000,000","932,000,000","1,875,000,000","1,503,000,000","759,000,000","877,000,000","893,000,000","934,000,000","673,000,000","2,252,000,000","1,259,000,000"
FinancingCashFlow,"1,567,000,000","229,000,000","523,000,000","414,000,000","401,000,000","-979,000,000","-635,000,000","226,000,000","-446,000,000","-1,683,000,000","208,000,000","-286,000,000"
	CashFlowFromContinuingFinancingActivities,"1,567,000,000","229,000,000","523,000,000","414,000,000","401,000,000","-979,000,000","-635,000,000","226,000,000","-446,000,000","-1,683,000,000","208,000,000","-286,000,000"
		NetIssuancePaymentsOfDebt,"2,360,000,000","577,000,000","869,000,000","452,000,000","462,000,000","-927,000,000","-2,316,000,000","686,000,000","848,000,000","-1,208,000,000","963,000,000","-221,000,000"
			NetLongTermDebtIssuance,"1,625,000,000","347,000,000","1,323,000,000","-14,000,000","-31,000,000","-47,000,000","-1,314,000,000","-16,000,000","-32,000,000","129,000,000","-34,000,000","-521,000,000"
				LongTermDebtIssuance,"1,799,000,000","438,000,000","1,353,000,000","5,000,000","3,000,000","4,000,000","2,000,000","0","1,000,000","150,000,000","1,000,000","750,000,000"
				LongTermDebtPayments,"-174,000,000","-91,000,000","-30,000,000","-19,000,000","-34,000,000","-51,000,000","-1,316,000,000","-16,000,000","-33,000,000","-21,000,000","-35,000,000","-1,271,000,000"
			NetShortTermDebtIssuance,"735,000,000","230,000,000","-454,000,000","466,000,000","493,000,000","-880,000,000","-1,002,000,000","702,000,000","880,000,000","-1,337,000,000","997,000,000","300,000,000"
				ShortTermDebtIssuance,"757,000,000","0","500,000,000","257,000,000",,,,"362,000,000",,,"997,000,000","20,000,000"
				ShortTermDebtPayments,"-22,000,000","230,000,000","-954,000,000","209,000,000","493,000,000","-880,000,000","-1,002,000,000",,"0","-340,000,000","0",
		NetCommonStockIssuance,,"-268,000,000","-231,000,000",,,,,,,,,
			CommonStockPayments,,"-268,000,000","-231,000,000",,,,,,,,,
		CashDividendsPaid,"-277,000,000","-92,000,000","-93,000,000","-46,000,000","-46,000,000","-47,000,000","-46,000,000","-459,000,000","-457,000,000","-458,000,000","-458,000,000","-328,000,000"
			CommonStockDividendPaid,"-277,000,000","-92,000,000","-93,000,000","-46,000,000","-46,000,000","-47,000,000","-46,000,000",,,"-458,000,000","-458,000,000",
		NetOtherFinancingCharges,"-17,000,000","12,000,000","-22,000,000","8,000,000","-15,000,000","-5,000,000","1,727,000,000","-1,000,000","-837,000,000","-17,000,000","-297,000,000","263,000,000"
EndCashPosition,"325,000,000","325,000,000","336,000,000","528,000,000","1,303,000,000","926,000,000","1,696,000,000","576,000,000","2,019,000,000","601,000,000","762,000,000","327,000,000"
	ChangesInCash,"-601,000,000","-11,000,000","-192,000,000","-775,000,000","377,000,000","-770,000,000","1,120,000,000","-1,443,000,000","1,418,000,000","-161,000,000","435,000,000","-396,000,000"
	BeginningCashPosition,"926,000,000","336,000,000","528,000,000","1,303,000,000","926,000,000","1,696,000,000","576,000,000","2,019,000,000","601,000,000","762,000,000","327,000,000","723,000,000"
CapitalExpenditure,"-2,225,000,000","-676,000,000","-660,000,000","-599,000,000","-290,000,000","-390,000,000","-410,000,000","-243,000,000","-367,000,000","-337,000,000","-382,000,000","-535,000,000"
IssuanceOfDebt,"2,556,000,000","438,000,000","1,853,000,000","262,000,000","3,000,000","4,000,000","2,000,000","362,000,000","881,000,000","-847,000,000","998,000,000","770,000,000"
RepaymentOfDebt,"-196,000,000","139,000,000","-984,000,000","190,000,000","459,000,000","-931,000,000","-2,318,000,000","324,000,000","-33,000,000","-361,000,000","-35,000,000","-991,000,000"
RepurchaseOfCapitalStock,,"-268,000,000","-231,000,000",,,,,,,,,
FreeCashFlow,"-6,967,000,000","-868,000,000","-1,594,000,000","-3,021,000,000","-1,484,000,000","-478,000,000","941,000,000","-2,555,000,000","964,000,000","918,000,000","-1,994,000,000","-1,314,000,000"
