institutionid,scoredate,scoretype,aspectname,scorevalue,ticker,companyname
4075849,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,61,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Climate Change Governance,0,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Climate Risk Management,40,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Climate Strategy Impacts,100,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Climate-Related Management Incentives,0,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Coverage of Environmental Management Policy,100,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),90,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,EMS: Certification/ Audit/ Verification,88,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,EP - Biological Oxygen Demand,0,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,EP - Electricity Purchased,90,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Emissions Reduction Targets,100,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Energy Use,90,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Environmental Reporting - Coverage,100,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Environmental Reporting - Materiality,18,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Financial Opportunities Arising from Climate Change,0,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Financial Risks of Climate Change,25,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Hazardous Waste,20,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),50,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Low-Carbon Products,60,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Sustainability Reporting Assurance,70,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Volatile Organic Compounds Emissions,0,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Waste Disposal,20,A,"Agilent Technologies, Inc."
4075849,2013-09-12,Question,Water Use,46,A,"Agilent Technologies, Inc."
