institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4065191,2015-03-13,S&P Global ESG Score,S&P Global ESG Score,44,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Centralized Data Collection System,0,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Climate Change Governance,47,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Climate Risk Management,47,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Climate Strategy Impacts,47,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Climate-Related Management Incentives,47,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Coverage of Environmental Management Policy,34,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Direct Greenhouse Gas Emissions (Scope 1),10,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,EMS: Certification/ Audit/ Verification,28,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,EP - Electricity Purchased,22,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Emissions Reduction Targets,33,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Energy Use,24,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Environmental Reporting - Coverage,54,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Environmental Reporting - Materiality,24,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Environmental Reporting - Quantitative Data,60,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Financial Opportunities Arising from Climate Change,9,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Financial Risks of Climate Change,10,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Indirect Greenhouse Gas Emissions (Scope 2),41,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Indirect Greenhouse Gas Emissions (Scope 3),22,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Low-Carbon Products,30,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Specific Fuel Consumption for Cargo Transport,31,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Specific Fuel Consumption for Passenger Transport,31,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Specific NOx Emissions for Cargo Transport,0,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Specific NOx Emissions for Passenger Transport,18,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Sustainability Reporting Assurance,0,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Waste Disposal,16,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Water Use,35,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Access to Medicine Strategy Reporting,0,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Airline Industry Engagement,42,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Analysis of Customer Value,26,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Analysis of Risks,100,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Anti-Competitive Practices,0,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Antitrust Compliance,75,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Antitrust Policy,85,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Audit Conflict of Interest,100,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Availability of Data to the Customer Center,23,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Biofuels,28,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Board Diversity Policy,60,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Board Effectiveness,48,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Board Gender Diversity,0,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Board Type,100,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Brand Metrics Used,21,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Branding Strategies,25,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,CEO-to-Employee Pay Ratio,0,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Codes of Conduct,100,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Codes of Conduct: Coverage,75,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Codes of Conduct: Systems/ Procedures,56,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Complaints Management,16,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Corporate Governance Policy,88,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Corruption & Bribery,40,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Coverage of Antitrust Policy,85,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Crisis Preparedness,47,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Critical Supplier Identification,18,001045,AAL,American Airlines Group Inc.
4065191,2015-03-13,Question,Customer Feedback Process,60,001045,AAL,American Airlines Group Inc.
