institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4004205,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,47,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Alternative Substances to PVC,19,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Centralized Data Collection System,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Climate Change Governance,43,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Climate Risk Management,29,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Climate Strategy Impacts,25,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Climate-Related Management Incentives,48,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Coverage of Environmental Management Policy,33,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),60,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,EMS: Certification/ Audit/ Verification,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,EP - Electricity Purchased,60,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Elements of Assurance Provision,26,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Emissions Reduction Targets,44,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,End of Life Cycle Responsibility,40,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Energy Use,25,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Environmental Labels & Declarations,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Environmental Reporting - Coverage,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Environmental Reporting - Materiality,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Financial Opportunities Arising from Climate Change,14,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Financial Risks of Climate Change,11,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Fostering Proper Use and Recycling,30,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),17,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Life Cycle Assessment,65,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Life Cycle Research Projects,48,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Low-Carbon Products,30,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Management,61,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,PVC Usage Reduction Targets,48,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Perfluorocarbons Emissions,37,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Process Allowing Assurance Provision,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Product Design Criteria,80,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Remanufacturing,16,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Responsibilities and Management System,40,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Revenues From Products Containing Heavy Metals,48,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Scope of Assurance Provision,36,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Structure for Tracking of After-Sale Life Cycle Informati,12,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Sustainability Reporting Assurance,22,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Use of PVC,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Volatile Organic Compounds Emissions,26,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Waste Disposal,60,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Water Use,60,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Access to Medicine Strategy Reporting,50,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Analysis of Customer Value,36,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Analysis of Risks,80,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Anti-Competitive Practices,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Antitrust Compliance,50,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Antitrust Policy,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Audit Conflict of Interest,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Availability of Data to the Customer Center,59,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Board Effectiveness,70,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Board Gender Diversity,8,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Board Type,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Brand Metrics Used,16,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Breaches of Customer Privacy: Complaints,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Codes of Conduct,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Codes of Conduct: Coverage,50,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Corporate Governance Policy,80,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Corruption & Bribery,60,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Coverage of Antitrust Policy,60,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Crisis Preparedness,24,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Critical Supplier Identification,44,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Customer Feedback Process,40,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Customer Privacy Information,88,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Customer Satisfaction Measurement,30,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,ESG Integration in SCM Strategy,10,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Environmental Innovation,52,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Open Innovation,28,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Opportunities,27,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Privacy Policy,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Privacy Policy: Coverage,66,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Privacy Policy: Systems/ Procedures,40,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Process Innovations,20,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Product Innovations,21,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Quality Management & Audits of Distribution Networks,30,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,R&D Core or Basic Research,29,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,R&D Development Stages,29,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,R&D Ideation or Applied Research,32,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,R&D Launch,29,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,R&D Post-Launch,31,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,R&D Spending,40,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Reporting on breaches,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Responsibilities and Committees,75,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Responsibility Risk & Crisis Management,48,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Responsibility for Data Privacy,48,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Risk Response Strategy,80,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Risks Correlation,39,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Sensitivity Analysis & Stress Testing,70,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Social Innovation,12,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Stakeholder Perception Analysis,24,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Supplier Risk Management Measures,40,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Supply Chain Risk Exposure,23,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Supply Chain Transparency & Reporting,60,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,System Vulnerability,70,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Total Brand-Related Expenses,50,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Transparency of Executive Compensation,100,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Access Through Education,50,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Access for Disabled People,70,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,23,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Board Commitment (Freedom of Expression and Privacy),17,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Business and Human Rights,13,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,CEO Compensation - Success Metrics,20,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Corporate Citizenship Strategy,36,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Employee Awareness (Freedom of Expression and Privacy),29,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Employee Turnover Rate,47,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Human Capital Performance Indicators,19,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,26,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Investment for Reducing the Digital Divide,48,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Measuring Benefits,48,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Percentage of Performance Related Compensation for each E,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Performance Measurement,36,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Personal and Organizational Learning and Development,20,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Philanthropic Contributions,36,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Principles for Digital Inclusion,10,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Social Reporting - Assurance,22,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Social Reporting - Coverage,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Social Reporting - Materiality,0,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Social Reporting - Quantitative Data,36,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Stakeholder Engagement Governance,16,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Stakeholder Engagement Implementation,15,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Stakeholder Engagement Review,28,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Strategy for Remote Areas,20,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Structures and Processes (Freedom of Expression and Priva,17,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Trend of Employee Wellbeing,19,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Type of Performance Appraisal,25,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Type of Philanthropic Activities,48,001690,AAPL,Apple Inc.
4004205,2013-09-12,Question,Workforce Breakdown: Gender,9,001690,AAPL,Apple Inc.
4004205,2013-09-12,Dimension,Economic Governance Dimension,58,001690,AAPL,Apple Inc.
4004205,2013-09-12,Dimension,Environmental Dimension,47,001690,AAPL,Apple Inc.
4004205,2013-09-12,Dimension,Social Dimension,32,001690,AAPL,Apple Inc.
4004205,2013-09-12,Criteria,Climate Strategy,38,001690,AAPL,Apple Inc.
4004205,2013-09-12,Criteria,Environmental Policy & Management Systems,61,001690,AAPL,Apple Inc.
