institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4558282,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,78,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Chemical Oxygen Demand,73,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Climate Change Governance,90,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Climate Risk Management,100,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Climate Strategy Impacts,100,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Climate-Related Management Incentives,100,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Coverage of Environmental Management Policy,100,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),80,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,EMS: Certification/ Audit/ Verification,73,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,EP - Biological Oxygen Demand,47,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,EP - Electricity Purchased,80,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Emissions Reduction Targets,100,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Energy Use,80,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Environmental Reporting - Coverage,100,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Environmental Reporting - Materiality,50,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Financial Risks of Climate Change,20,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Hazardous Waste,80,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),80,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),100,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Low-Carbon Products,0,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,NOx Emissions,80,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,SOx Emissions,80,016101,ABBV,AbbVie Inc.
4558282,2013-09-12,Question,Sustainability Reporting Assurance,100,016101,ABBV,AbbVie Inc.
