institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4819787,2021-03-25,S&P Global ESG Score,S&P Global ESG Score,26,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Climate Risk Management,42,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Climate Strategy Impacts,42,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Climate-Related Management Incentives,33,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Coverage of Environmental Management Policy,0,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Direct Greenhouse Gas Emissions (Scope 1),18,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,EMS: Certification/ Audit/ Verification,17,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Emissions Reduction Targets,33,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Energy Consumption,22,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Environmental Reporting - Coverage,0,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Environmental Violations,36,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Financial Opportunities Arising from Climate Change,35,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Financial Risks of Climate Change,35,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Indirect Greenhouse Gas Emissions (Scope 2),21,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Indirect Greenhouse Gas Emissions (Scope 3),31,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Low-Carbon Products,29,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Packaging Commitment,0,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Packaging Materials,25,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Plastic Packaging,19,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Return on Environmental Investments,28,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Sustainability Reporting Assurance,0,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Waste Disposal,21,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Water Consumption,21,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Anti-Competitive Practices,34,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Board Average Tenure,100,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Board Diversity Policy,100,037460,ABNB,"Airbnb, Inc."
4819787,2021-03-25,Question,Board Effectiveness,56,037460,ABNB,"Airbnb, Inc."
