institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4004092,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,82,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Climate Change Governance,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Climate Risk Management,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Climate Strategy Impacts,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Climate-Related Management Incentives,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Coverage of Environmental Management Policy,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,EMS: Certification/ Audit/ Verification,68,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,EP - Biological Oxygen Demand,0,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,EP - Electricity Purchased,80,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Emissions Reduction Targets,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Energy Use,90,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Environmental Reporting - Coverage,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Environmental Reporting - Materiality,50,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Financial Risks of Climate Change,20,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Hazardous Waste,80,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Low-Carbon Products,0,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Sustainability Reporting Assurance,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Volatile Organic Compounds Emissions,21,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Waste Disposal,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Water Use,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Analysis of Risks,100,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Audit Conflict of Interest,86,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Board Effectiveness,60,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Board Gender Diversity,88,001078,ABT,Abbott Laboratories
4004092,2013-09-12,Question,Board Type,100,001078,ABT,Abbott Laboratories
