institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4142760,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,60,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Centralized Data Collection System,85,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Climate Change Governance,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Climate Risk Management,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Climate Strategy Impacts,25,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Climate-Related Management Incentives,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Corporate Environmental Policy,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Corporate Environmental Policy: Areas,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),70,143357,ACN,Accenture plc
4142760,2013-09-12,Question,EMS: Certification/ Audit/ Verification,30,143357,ACN,Accenture plc
4142760,2013-09-12,Question,EP - Electricity Purchased,68,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Emissions Reduction Targets,71,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Energy Use,70,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Environmental Reporting - Coverage,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Environmental Reporting - Materiality,74,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Financial Risks of Climate Change,,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),44,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),49,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Low-Carbon Products,30,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Sustainability Reporting Assurance,25,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Waste Disposal,10,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Water Use,5,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Access to Medicine Strategy Reporting,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Analysis of Customer Value,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Analysis of Risks,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Anti-Competitive Practices,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Antitrust Compliance,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Antitrust Policy,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Audit Conflict of Interest,90,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Auditing Back-up System,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Availability of Data to the Customer Center,,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Board Effectiveness,48,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Board Gender Diversity,58,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Board Type,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Brand Metrics Used,15,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Breaches of Customer Privacy: Complaints,25,143357,ACN,Accenture plc
4142760,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Codes of Conduct,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Codes of Conduct: Coverage,75,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Corporate Governance Policy,88,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Corruption & Bribery,80,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Coverage of Antitrust Policy,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Crisis Preparedness,50,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Critical Supplier Identification,76,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Customer Feedback Process,40,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Customer Privacy Information,88,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Customer Satisfaction Measurement,36,143357,ACN,Accenture plc
4142760,2013-09-12,Question,ESG Integration in SCM Strategy,42,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Environmental Innovation,48,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Incentives for Reporting Errors,17,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Insurance,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Open Innovation,17,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Open Platform,63,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Opportunities,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Privacy Policy,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Privacy Policy: Coverage,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Privacy Policy: Systems/ Procedures,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Process Innovations,45,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Product Innovations,33,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Quality Management & Audits of Distribution Networks,,143357,ACN,Accenture plc
4142760,2013-09-12,Question,R&D Core or Basic Research,35,143357,ACN,Accenture plc
4142760,2013-09-12,Question,R&D Development Stages,30,143357,ACN,Accenture plc
4142760,2013-09-12,Question,R&D Ideation or Applied Research,38,143357,ACN,Accenture plc
4142760,2013-09-12,Question,R&D Launch,37,143357,ACN,Accenture plc
4142760,2013-09-12,Question,R&D Post-Launch,41,143357,ACN,Accenture plc
4142760,2013-09-12,Question,R&D Spending,40,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Reporting on breaches,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Responsibilities and Committees,75,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Responsibility Risk & Crisis Management,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Responsibility for Data Privacy,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Risk Response Strategy,80,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Risks Correlation,40,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Sensitivity Analysis & Stress Testing,70,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Social Innovation,34,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Software Vulnerability,45,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Stakeholder Perception Analysis,18,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Supplier Risk Management Measures,34,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Supply Chain Risk Exposure,25,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Supply Chain Transparency & Reporting,40,143357,ACN,Accenture plc
4142760,2013-09-12,Question,System Vulnerability,45,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Total Brand-Related Expenses,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Transparency of Executive Compensation,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Access Through Education,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Access for Disabled People,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,45,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Board Commitment (Freedom of Expression and Privacy),27,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Business and Human Rights,40,143357,ACN,Accenture plc
4142760,2013-09-12,Question,CEO Compensation - Success Metrics,60,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Corporate Citizenship Strategy,60,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,80,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Employee Awareness (Freedom of Expression and Privacy),30,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Employee Turnover Rate,,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Human Capital Performance Indicators,40,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Investment for Reducing the Digital Divide,63,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Measuring Benefits,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Percentage of Performance Related Compensation for each E,60,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Performance Measurement,17,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Personal and Organizational Learning and Development,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Philanthropic Contributions,80,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Principles for Digital Inclusion,50,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Simplified Versions,31,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Social Reporting - Assurance,25,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Social Reporting - Coverage,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Social Reporting - Materiality,32,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Social Reporting - Quantitative Data,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Special Pricing Policy,63,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Strategy for Remote Areas,32,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Structures and Processes (Freedom of Expression and Priva,10,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Trend of Employee Wellbeing,33,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Type of Performance Appraisal,40,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Type of Philanthropic Activities,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Workforce Breakdown: Gender,11,143357,ACN,Accenture plc
4142760,2013-09-12,Dimension,Economic Governance Dimension,63,143357,ACN,Accenture plc
4142760,2013-09-12,Dimension,Environmental Dimension,60,143357,ACN,Accenture plc
4142760,2013-09-12,Dimension,Social Dimension,55,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Climate Strategy,62,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Environmental Policy & Management Systems,73,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Environmental Reporting,67,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Operational Eco-Efficiency,42,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Antitrust Policy,70,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Brand Management,28,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Business Ethics,80,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Corporate Governance,80,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Customer Relationship Management,52,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,IT Security & System Availability,70,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Innovation Management,37,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Privacy Protection,85,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Risk & Crisis Management,78,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Supply Chain Management,57,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Corporate Citizenship & Philanthropy,64,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Digital Inclusion,28,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Human Capital Development,76,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Labor Practice Indicators,38,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Social Reporting,64,143357,ACN,Accenture plc
4142760,2013-09-12,Criteria,Talent Attraction & Retention,56,143357,ACN,Accenture plc
4142760,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,55,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Centralized Data Collection System,85,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Climate Change Governance,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Climate Risk Management,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Climate Strategy Impacts,25,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Climate-Related Management Incentives,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Corporate Environmental Policy,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Corporate Environmental Policy: Areas,100,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),70,143357,ACN,Accenture plc
4142760,2013-09-12,Question,EMS: Certification/ Audit/ Verification,30,143357,ACN,Accenture plc
4142760,2013-09-12,Question,EP - Electricity Purchased,68,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Emissions Reduction Targets,71,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Energy Use,70,143357,ACN,Accenture plc
4142760,2013-09-12,Question,Environmental Reporting - Coverage,100,143357,ACN,Accenture plc
