institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4047847,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,46,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Climate Change Governance,90,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Climate Risk Management,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Climate Strategy Impacts,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Climate-Related Management Incentives,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Corporate Environmental Policy,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Corporate Environmental Policy: Areas,67,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,EMS: Certification/ Audit/ Verification,36,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,EP - Electricity Purchased,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Emissions Reduction Targets,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Energy Use,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Environmental Reporting - Coverage,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Environmental Reporting - Materiality,12,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Financial Risks of Climate Change,20,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),66,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Low-Carbon Products,30,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Sustainability Reporting Assurance,15,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Waste Disposal,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Water Use,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Access to Medicine Strategy Reporting,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Analysis of Customer Value,39,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Analysis of Risks,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Anti-Competitive Practices,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Antitrust Compliance,50,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Antitrust Policy,85,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Audit Conflict of Interest,65,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Availability of Data to the Customer Center,23,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Board Effectiveness,70,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Board Gender Diversity,18,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Board Type,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Brand Metrics Used,15,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Breaches of Customer Privacy: Complaints,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Codes of Conduct,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Codes of Conduct: Coverage,25,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Corporate Governance Policy,80,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Corruption & Bribery,60,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Coverage of Antitrust Policy,35,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Crisis Preparedness,50,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Critical Supplier Identification,43,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Customer Feedback Process,40,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Customer Privacy Information,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Customer Satisfaction Measurement,29,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,ESG Integration in SCM Strategy,3,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Environmental Innovation,15,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Incentives for Reporting Errors,27,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,On-demand Strategy,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Open Innovation,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Open Platform,54,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Opportunities,35,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Privacy Policy,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Privacy Policy: Coverage,67,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Privacy Policy: Systems/ Procedures,40,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Process Innovations,30,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Product Innovations,42,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Quality Management & Audits of Distribution Networks,33,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,R&D Core or Basic Research,32,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,R&D Development Stages,22,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,R&D Ideation or Applied Research,21,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,R&D Launch,28,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,R&D Post-Launch,36,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,R&D Spending,40,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Reporting on breaches,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Responsibilities and Committees,75,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Responsibility Risk & Crisis Management,54,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Responsibility for Data Privacy,50,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Risk Response Strategy,80,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Risks Correlation,43,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Sensitivity Analysis & Stress Testing,70,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Social Innovation,13,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Software Vulnerability,10,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Stakeholder Perception Analysis,14,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Supplier Risk Management Measures,7,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Supply Chain Risk Exposure,28,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Supply Chain Transparency & Reporting,20,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,System Vulnerability,58,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Total Brand-Related Expenses,50,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Transparency of Executive Compensation,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Access Through Education,50,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Access for Disabled People,50,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,20,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Board Commitment (Freedom of Expression and Privacy),24,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Business and Human Rights,23,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,CEO Compensation - Success Metrics,80,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Corporate Citizenship Strategy,50,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Employee Awareness (Freedom of Expression and Privacy),32,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Employee Turnover Rate,46,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Human Capital Performance Indicators,40,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,41,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Investment for Reducing the Digital Divide,54,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Measuring Benefits,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Percentage of Performance Related Compensation for each E,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Performance Measurement,18,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Personal and Organizational Learning and Development,50,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Philanthropic Contributions,38,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Principles for Digital Inclusion,11,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Simplified Versions,27,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Social Reporting - Assurance,15,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Social Reporting - Coverage,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Social Reporting - Materiality,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Social Reporting - Quantitative Data,28,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Special Pricing Policy,54,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Strategy for Remote Areas,21,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Structures and Processes (Freedom of Expression and Priva,27,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Trend of Employee Wellbeing,34,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Type of Performance Appraisal,37,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Type of Philanthropic Activities,54,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Workforce Breakdown: Gender,11,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Dimension,Economic Governance Dimension,50,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Dimension,Environmental Dimension,42,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Dimension,Social Dimension,39,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Climate Strategy,70,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Environmental Policy & Management Systems,68,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Environmental Reporting,40,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Operational Eco-Efficiency,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Antitrust Policy,51,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Brand Management,43,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Business Ethics,65,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Corporate Governance,79,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Customer Relationship Management,42,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,IT Security & System Availability,18,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Innovation Management,32,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Privacy Protection,68,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Risk & Crisis Management,64,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Supply Chain Management,46,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Corporate Citizenship & Philanthropy,36,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Digital Inclusion,35,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Human Capital Development,43,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Labor Practice Indicators,38,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Social Reporting,36,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Criteria,Talent Attraction & Retention,45,012540,ADBE,Adobe Inc.
4047847,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,37,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Climate Change Governance,90,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Climate Risk Management,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Climate Strategy Impacts,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Climate-Related Management Incentives,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Corporate Environmental Policy,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Corporate Environmental Policy: Areas,67,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,EMS: Certification/ Audit/ Verification,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,EP - Electricity Purchased,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Emissions Reduction Targets,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Energy Use,0,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Environmental Reporting - Coverage,100,012540,ADBE,Adobe Inc.
4047847,2013-09-12,Question,Environmental Reporting - Materiality,12,012540,ADBE,Adobe Inc.
