institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4113211,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,49,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Centralized Data Collection System,0,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Climate Change Governance,47,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Climate Risk Management,32,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Climate Strategy Impacts,26,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Climate-Related Management Incentives,53,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Coverage of Environmental Management Policy,22,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),60,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,EMS: Certification/ Audit/ Verification,94,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,EP - Electricity Purchased,60,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Elements of Assurance Provision,34,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Emissions Reduction Targets,85,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Energy Use,27,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Environmental Reporting - Coverage,100,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Environmental Reporting - Materiality,38,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Financial Opportunities Arising from Climate Change,19,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Financial Risks of Climate Change,19,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Hazardous Waste,52,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),60,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),17,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Life Cycle Assessment,32,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Life Cycle Research Projects,53,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Low-Carbon Products,25,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,PFC Exhausts,53,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Perfluorocarbons Emissions,38,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Perfluorooctane Sulfonate (PFOS) Replacement,26,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Process Allowing Assurance Provision,100,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Product Design Criteria,30,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Responsibilities and Management System,30,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Scope of Assurance Provision,39,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Solvents,53,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Sustainability Reporting Assurance,25,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Tools / Processes / Systems / Standards / Frameworks used,6,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Ultra-Pure Water Recycling,0,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Ultra-Pure Water Usage,29,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Volatile Organic Compounds Emissions,37,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Wafer Cleaning Process,0,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Waste Disposal,38,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Waste Water Reuse,0,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Waste Water Treatment,0,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Water Consumption,60,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Access to Medicine Strategy Reporting,0,001632,ADI,"Analog Devices, Inc."
4113211,2013-09-12,Question,Analysis of Risks,0,001632,ADI,"Analog Devices, Inc."
