institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4044801,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,40,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Certifications of Agricultural Crops,44,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Climate Change Governance,40,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Climate Risk Management,27,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Climate Strategy Impacts,22,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Climate-Related Management Incentives,44,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Corporate Environmental Policy,100,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Corporate Environmental Policy: Areas,34,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),16,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,EMS: Certification/ Audit/ Verification,,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,EP - Electricity Purchased,15,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Emissions Reduction Targets,38,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Energy Use,21,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Environmental Reporting - Coverage,0,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Environmental Reporting - Materiality,0,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Environmental Reporting - Quantitative Data,33,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Financial Opportunities Arising from Climate Change,13,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Financial Risks of Climate Change,10,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,GMO Labeling,0,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,GMO Statement,11,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),13,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Issues Covered in Environmental Guidelines and Standards,88,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Low-Carbon Products,15,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,MSC Certification,0,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Packaging Commitment,22,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Packaging Materials,44,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Share of Organic Products,44,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Sustainability Reporting Assurance,25,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Sustainable Agriculture Commitment,50,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Tools / Processes / Systems / Standards / Frameworks used,0,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Waste Disposal,20,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Water Consumption,18,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Analysis of Risks,100,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Audit Conflict of Interest,100,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Board Effectiveness,60,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Board Gender Diversity,22,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Board Type,100,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Codes of Conduct,100,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Codes of Conduct: Coverage,50,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Corporate Governance Policy,88,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Corruption & Bribery,60,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Crisis Preparedness,22,001722,ADM,Archer-Daniels-Midland Company
4044801,2013-09-12,Question,Critical Supplier Identification,22,001722,ADM,Archer-Daniels-Midland Company
