institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
1031164,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,37,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Centralized Data Collection System,21,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Climate Change Governance,100,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Climate Risk Management,100,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Climate Strategy Impacts,100,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Climate-Related Management Incentives,0,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Corporate Environmental Policy,44,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Corporate Environmental Policy: Areas,11,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),10,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,EMS: Certification/ Audit/ Verification,21,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,EP - Electricity Purchased,21,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Emissions Reduction Targets,100,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Energy Use,24,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Environmental Reporting - Coverage,0,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Environmental Reporting - Materiality,12,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Financial Opportunities Arising from Climate Change,12,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Financial Risks of Climate Change,11,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),32,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Low-Carbon Products,0,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Sustainability Reporting Assurance,25,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Waste Disposal,15,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Water Use,17,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Access to Medicine Strategy Reporting,0,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Analysis of Customer Value,31,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Analysis of Risks,0,001891,ADP,"Automatic Data Processing, Inc."
1031164,2013-09-12,Question,Anti-Competitive Practices,0,001891,ADP,"Automatic Data Processing, Inc."
