institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4208149,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,68,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,68,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Climate Change Governance,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Climate Change Governance,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Climate Risk Management,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Climate Risk Management,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Climate Strategy Impacts,75,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Climate Strategy Impacts,75,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Climate-Related Management Incentives,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Climate-Related Management Incentives,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Corporate Environmental Policy,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Corporate Environmental Policy,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Corporate Environmental Policy: Areas,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Corporate Environmental Policy: Areas,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,EMS: Certification/ Audit/ Verification,75,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,EMS: Certification/ Audit/ Verification,75,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,EP - Electricity Purchased,68,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,EP - Electricity Purchased,68,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Emissions Reduction Targets,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Emissions Reduction Targets,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Energy Use,80,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Energy Use,80,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Environmental Reporting - Coverage,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Environmental Reporting - Coverage,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Environmental Reporting - Materiality,62,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Environmental Reporting - Materiality,62,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Financial Risks of Climate Change,,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Financial Risks of Climate Change,,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),80,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),80,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),50,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),50,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Low-Carbon Products,30,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Low-Carbon Products,30,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Sustainability Reporting Assurance,25,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Sustainability Reporting Assurance,25,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Waste Disposal,62,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Waste Disposal,62,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Water Use,1,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Water Use,1,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Access to Medicine Strategy Reporting,0,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Access to Medicine Strategy Reporting,0,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Analysis of Customer Value,89,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Analysis of Customer Value,89,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Analysis of Risks,40,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Analysis of Risks,40,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Anti-Competitive Practices,0,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Anti-Competitive Practices,0,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Antitrust Compliance,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Antitrust Compliance,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Antitrust Policy,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Antitrust Policy,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Audit Conflict of Interest,81,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Audit Conflict of Interest,81,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Availability of Data to the Customer Center,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Availability of Data to the Customer Center,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Board Effectiveness,70,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Board Effectiveness,70,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Board Gender Diversity,41,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Board Gender Diversity,41,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Board Type,100,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Board Type,100,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Brand Metrics Used,35,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Brand Metrics Used,35,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,Breaches of Customer Privacy: Complaints,0,001878,ADSK,"Autodesk, Inc."
4208149,2013-09-12,Question,Breaches of Customer Privacy: Complaints,0,,,"Autodesk, Inc., Investment Arm"
4208149,2013-09-12,Question,CEO-to-Employee Pay Ratio,100,001878,ADSK,"Autodesk, Inc."
