institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4007308,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,40,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Approach Towards Biodiversity: Assurance,23,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Approach Towards Biodiversity: Reporting,26,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Ash & Gypsum Waste,19,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Availability Factor of Plants,40,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Biodiversity Commitment,16,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,CO2 Emissions from Operations Covered under the EU Tradin,,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Climate Change Governance,100,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Climate Risk Management,100,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Climate Strategy Impacts,100,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Climate-Related Management Incentives,100,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Coverage of Environmental Management Policy,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),14,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Direct Mercury Emissions,20,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,EMS: Certification/ Audit/ Verification,33,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Efficiency of Generation,15,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Electricity Generation Mix,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Electricity Transmission & Distribution Losses,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Electricity Transmission & Distribution Reliability,40,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Emissions Reduction Targets,85,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Energy Intensity,5,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Environmental Reporting - Coverage,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Environmental Reporting - Materiality,24,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Financial Risks of Climate Change,20,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Follow up EIA / SIA,40,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Frequency of Environmental Performance Reviews,40,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Gas Leakage Rate,24,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Impact of Current Operations,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Impact of Proposed Operations,29,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),15,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),32,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Low-Carbon Products,30,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,NOx Emissions,17,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Near-Miss Reporting,40,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Nuclear Power Plant Performance Indicators (UCF),40,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Public availability of EIA/ SIA results,40,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Responsibility,12,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,SF6 Emissions,24,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,SOx Emissions,15,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Sustainability Reporting Assurance,10,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Tools / Processes / Systems / Standards / Frameworks used,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Waste Disposal,15,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Water Consumption,12,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Access to Medicine Strategy Reporting,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Age of Pipes,,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Analysis of Customer Value,10,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Analysis of Risks,80,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Anti-Competitive Practices,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Antitrust Compliance,40,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Antitrust Policy,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Audit Conflict of Interest,98,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Board Effectiveness,60,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Board Gender Diversity,58,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Board Type,100,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Codes of Conduct,31,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Codes of Conduct: Coverage,30,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,17,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Corporate Governance Policy,88,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Corruption & Bribery,17,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Coverage of Antitrust Policy,0,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Critical Supplier Identification,19,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Current Investment Budget (Electricity & Multi-Utilities),33,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Customer Feedback Process,10,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Customer Satisfaction Measurement,19,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,DSM: Energy Efficiency,21,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,ESG Integration in SCM Strategy,14,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Energy Procurement Attributes,45,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Fuel and Electricity Contracts,14,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Green Electricity,28,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Leakage Measurement,,010860,AEE,Ameren Corporation
4007308,2013-09-12,Question,Leakage Rate,,010860,AEE,Ameren Corporation
