institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4006321,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,56,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Approach Towards Biodiversity: Assurance,50,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Approach Towards Biodiversity: Reporting,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Ash & Gypsum Waste,55,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Availability Factor of Plants,63,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Biodiversity Commitment,41,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,CO2 Emissions from Operations Covered under the EU Tradin,,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Climate Change Governance,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Climate Risk Management,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Climate Strategy Impacts,25,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Climate-Related Management Incentives,40,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Coverage of Environmental Management Policy,78,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),70,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Direct Mercury Emissions,70,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,EMS: Certification/ Audit/ Verification,47,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Efficiency of Generation,45,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Electricity Generation Mix,50,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Electricity Transmission & Distribution Losses,0,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Electricity Transmission & Distribution Reliability,50,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Emissions Reduction Targets,85,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Environmental Reporting - Coverage,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Environmental Reporting - Materiality,56,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Financial Risks of Climate Change,20,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Follow up EIA / SIA,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Frequency of Environmental Performance Reviews,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Gas Leakage Rate,,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Impact of Current Operations,30,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Impact of Proposed Operations,25,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),28,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),33,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Low-Carbon Products,30,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,NOx Emissions,70,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Near-Miss Reporting,50,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Nuclear Power Plant Performance Indicators (UCF),0,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Public availability of EIA/ SIA results,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Responsibility,19,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,SF6 Emissions,31,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,SOx Emissions,60,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Sustainability Reporting Assurance,25,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Tools / Processes / Systems / Standards / Frameworks used,23,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Waste Disposal,47,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Water Consumption,60,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Access to Medicine Strategy Reporting,31,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Analysis of Customer Value,40,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Analysis of Risks,40,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Anti-Competitive Practices,0,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Antitrust Compliance,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Antitrust Policy,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Audit Conflict of Interest,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Board Effectiveness,60,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Board Gender Diversity,38,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Board Type,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Codes of Conduct,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Codes of Conduct: Coverage,50,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Corporate Governance Policy,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Corruption & Bribery,60,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Coverage of Antitrust Policy,75,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Crisis Preparedness,31,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Critical Supplier Identification,85,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Current Investment Budget (Electricity & Multi-Utilities),0,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Customer Feedback Process,10,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Customer Satisfaction Measurement,44,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,DSM: Energy Efficiency,60,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,ESG Integration in SCM Strategy,33,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Energy Procurement Attributes,60,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Fuel and Electricity Contracts,50,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Green Electricity,39,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,70,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Online Services (Utilities),80,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Opportunities,30,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Peak Demand Coverage,20,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Reporting on breaches,0,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Responsibilities and Committees,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Responsibility Risk & Crisis Management (including Water,70,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Revenues from New Business Opportunities,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Risk Response Strategy,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Risks Correlation,40,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Scorecard: Perspectives,90,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Scorecard: Systems,70,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Sensitivity Analysis & Stress Testing (including Water an,80,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Supplier Risk Management Measures,20,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Supply Chain Risk Exposure,40,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Supply Chain Transparency & Reporting,18,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Trading vs Generation,63,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Transparency of Executive Compensation,100,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,20,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Business and Human Rights,0,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,CEO Compensation - Success Metrics,80,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Corporate Citizenship Strategy,50,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,73,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Employee Support Programs,78,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Employee Turnover Rate,75,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Fatalities,50,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Health Management,25,001440,AEP,"American Electric Power Company, Inc."
4006321,2013-09-12,Question,Human Capital Performance Indicators,25,001440,AEP,"American Electric Power Company, Inc."
