institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4055465,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,63,024216,AES,The AES Corporation
4055465,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,63,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Approach Towards Biodiversity: Assurance,83,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Approach Towards Biodiversity: Assurance,83,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Approach Towards Biodiversity: Reporting,35,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Approach Towards Biodiversity: Reporting,35,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Ash & Gypsum Waste,10,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Ash & Gypsum Waste,10,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Availability Factor of Plants,50,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Availability Factor of Plants,50,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Biodiversity Commitment,63,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Biodiversity Commitment,63,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,CO2 Emissions from Operations Covered under the EU Tradin,100,024216,AES,The AES Corporation
4055465,2013-09-12,Question,CO2 Emissions from Operations Covered under the EU Tradin,100,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Climate Change Governance,100,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Climate Change Governance,100,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Climate Risk Management,100,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Climate Risk Management,100,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Climate Strategy Impacts,25,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Climate Strategy Impacts,25,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Climate-Related Management Incentives,40,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Climate-Related Management Incentives,40,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Coverage of Environmental Management Policy,78,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Coverage of Environmental Management Policy,78,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),70,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),70,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Direct Mercury Emissions,63,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Direct Mercury Emissions,63,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,EMS: Certification/ Audit/ Verification,58,024216,AES,The AES Corporation
4055465,2013-09-12,Question,EMS: Certification/ Audit/ Verification,58,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Efficiency of Generation,21,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Efficiency of Generation,21,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Electricity Generation Mix,72,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Electricity Generation Mix,72,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Electricity Transmission & Distribution Losses,75,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Electricity Transmission & Distribution Losses,75,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Electricity Transmission & Distribution Reliability,0,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Electricity Transmission & Distribution Reliability,0,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Emissions Reduction Targets,100,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Emissions Reduction Targets,100,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Environmental Reporting - Coverage,0,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Environmental Reporting - Materiality,0,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Environmental Reporting - Materiality,0,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Exposure of Suppliers to Water Risks,0,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Exposure of Suppliers to Water Risks,0,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Financial Risks of Climate Change,70,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Financial Risks of Climate Change,70,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Follow up EIA / SIA,30,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Follow up EIA / SIA,30,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Frequency of Environmental Performance Reviews,100,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Frequency of Environmental Performance Reviews,100,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Gas Leakage Rate,,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Gas Leakage Rate,,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Impact of Current Operations,30,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Impact of Current Operations,30,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Impact of Proposed Operations,50,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Impact of Proposed Operations,50,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),3,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),3,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),0,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),0,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Low-Carbon Products,70,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Low-Carbon Products,70,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,NOx Emissions,70,024216,AES,The AES Corporation
4055465,2013-09-12,Question,NOx Emissions,70,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Near-Miss Reporting,100,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Near-Miss Reporting,100,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Nuclear Power Plant Performance Indicators (UCF),,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Nuclear Power Plant Performance Indicators (UCF),,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Public availability of EIA/ SIA results,23,024216,AES,The AES Corporation
4055465,2013-09-12,Question,Public availability of EIA/ SIA results,23,,,"The AES Corporation, Asset Management Arm"
4055465,2013-09-12,Question,Quantity & Quality-Related Water Risks,25,024216,AES,The AES Corporation
