institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
103316,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,47,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Corporate Environmental Policy: Areas,66,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),76,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,EMS: Certification/ Audit/ Verification,0,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Early Detection of Risks in Product Development,10,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Emissions from Business Travel,56,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Energy Use,80,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,0,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Environmental Management Systems Database / Information S,25,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Environmental Reporting - Coverage,12,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Environmental Reporting - Materiality,0,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),80,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Investments,0,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Products / Services,16,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Responsible Environmental Business Practices,45,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Risk Training,100,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Sustainability Reporting Assurance,25,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Waste Disposal,70,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Water Use,10,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Audit Conflict of Interest,100,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Board Effectiveness,85,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Board Gender Diversity,14,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Board Type,100,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Brand Evaluation,50,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Brand Management Approach,17,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Brand Metrics Used,20,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Codes of Conduct,100,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Codes of Conduct: Coverage,75,001449,AFL,Aflac Incorporated
103316,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,001449,AFL,Aflac Incorporated
