institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
103330,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,001487,AIG,"American International Group, Inc."
103330,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,,,"American International Group, Inc., Insurance Investments"
103330,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,,,"AIG, Real Estate Arm"
103330,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,,,"American International Group, Inc, Asset Management Arm"
103330,2013-09-12,Question,Corporate Environmental Policy: Areas,13,001487,AIG,"American International Group, Inc."
103330,2013-09-12,Question,Corporate Environmental Policy: Areas,13,,,"American International Group, Inc., Insurance Investments"
103330,2013-09-12,Question,Corporate Environmental Policy: Areas,13,,,"AIG, Real Estate Arm"
103330,2013-09-12,Question,Corporate Environmental Policy: Areas,13,,,"American International Group, Inc, Asset Management Arm"
103330,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),18,001487,AIG,"American International Group, Inc."
103330,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),18,,,"American International Group, Inc., Insurance Investments"
103330,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),18,,,"AIG, Real Estate Arm"
103330,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),18,,,"American International Group, Inc, Asset Management Arm"
103330,2013-09-12,Question,EMS: Certification/ Audit/ Verification,21,001487,AIG,"American International Group, Inc."
103330,2013-09-12,Question,EMS: Certification/ Audit/ Verification,21,,,"American International Group, Inc., Insurance Investments"
103330,2013-09-12,Question,EMS: Certification/ Audit/ Verification,21,,,"AIG, Real Estate Arm"
103330,2013-09-12,Question,EMS: Certification/ Audit/ Verification,21,,,"American International Group, Inc, Asset Management Arm"
103330,2013-09-12,Question,Early Detection of Risks in Product Development,23,001487,AIG,"American International Group, Inc."
103330,2013-09-12,Question,Early Detection of Risks in Product Development,23,,,"American International Group, Inc., Insurance Investments"
103330,2013-09-12,Question,Early Detection of Risks in Product Development,23,,,"AIG, Real Estate Arm"
103330,2013-09-12,Question,Early Detection of Risks in Product Development,23,,,"American International Group, Inc, Asset Management Arm"
103330,2013-09-12,Question,Emissions from Business Travel,11,001487,AIG,"American International Group, Inc."
103330,2013-09-12,Question,Emissions from Business Travel,11,,,"American International Group, Inc., Insurance Investments"
103330,2013-09-12,Question,Emissions from Business Travel,11,,,"AIG, Real Estate Arm"
103330,2013-09-12,Question,Emissions from Business Travel,11,,,"American International Group, Inc, Asset Management Arm"
103330,2013-09-12,Question,Energy Use,22,001487,AIG,"American International Group, Inc."
