institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4090153,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,39,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Corporate Environmental Policy: Areas,0,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),20,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,EMS: Certification/ Audit/ Verification,23,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Early Detection of Risks in Product Development,26,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Emissions from Business Travel,12,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Energy Use,24,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,40,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Environmental Management Systems Database / Information S,14,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Environmental Reporting - Coverage,0,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Environmental Reporting - Materiality,0,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),20,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Investments,23,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Products / Services,25,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Responsible Environmental Business Practices,8,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Risk Training,21,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Sustainability Reporting Assurance,12,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Waste Disposal,15,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Water Use,14,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Audit Conflict of Interest,100,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Board Effectiveness,60,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Board Gender Diversity,27,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Board Type,100,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Brand Evaluation,34,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Brand Management Approach,11,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Brand Metrics Used,20,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Codes of Conduct,100,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Codes of Conduct: Coverage,50,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Corporate Governance Policy,88,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Corruption & Bribery,80,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Customer Data Security & Data Privacy,21,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Customer Feedback Process,20,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Customer Satisfaction Measurement,25,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Digital Strategy,20,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Online Financial Services: Success,11,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Opportunities,17,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Reporting on breaches,0,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Responsibilities and Committees,75,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Risk Governance,77,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Risk Map,4,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Risk Optimization,27,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Risk Review,10,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Risk Strategy,20,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Supplier Risk Management Measures,7,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Supply Chain Risk Exposure,18,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Supply Chain Transparency & Reporting,0,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Transparency of Executive Compensation,100,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Absentee Rate,12,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Absenteeism: Work-Related Stress,18,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Access to Insurance/ Social Value Added,15,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,17,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Business and Human Rights,15,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,CEO Compensation - Success Metrics,40,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Corporate Citizenship Strategy,100,157057,AIZ,"Assurant, Inc."
4090153,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,157057,AIZ,"Assurant, Inc."
