institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
103437,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,41,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,41,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Corporate Environmental Policy: Areas,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Corporate Environmental Policy: Areas,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,EMS: Certification/ Audit/ Verification,28,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,EMS: Certification/ Audit/ Verification,28,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Early Detection of Risks in Product Development,,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Early Detection of Risks in Product Development,,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Emissions from Business Travel,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Emissions from Business Travel,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Energy Use,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Energy Use,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Environmental Management Systems Database / Information S,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Environmental Management Systems Database / Information S,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Environmental Reporting - Coverage,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Environmental Reporting - Materiality,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Environmental Reporting - Materiality,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Investments,20,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Investments,20,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Products / Services,12,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Products / Services,12,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Responsible Environmental Business Practices,71,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Responsible Environmental Business Practices,71,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Risk Training,100,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Risk Training,100,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Sustainability Reporting Assurance,25,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Sustainability Reporting Assurance,25,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Waste Disposal,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Waste Disposal,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Water Use,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Water Use,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Audit Conflict of Interest,100,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Audit Conflict of Interest,100,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Board Effectiveness,70,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Board Effectiveness,70,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Board Gender Diversity,8,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Board Gender Diversity,8,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Board Type,100,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Board Type,100,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Brand Evaluation,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Brand Evaluation,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Brand Management Approach,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Brand Management Approach,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Brand Metrics Used,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Brand Metrics Used,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Codes of Conduct,100,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Codes of Conduct,100,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Codes of Conduct: Coverage,25,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Codes of Conduct: Coverage,25,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Corporate Governance Policy,88,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Corporate Governance Policy,88,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Corruption & Bribery,60,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Corruption & Bribery,60,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Customer Data Security & Data Privacy,,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Customer Data Security & Data Privacy,,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Customer Feedback Process,40,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Customer Feedback Process,40,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Customer Satisfaction Measurement,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Customer Satisfaction Measurement,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Digital Strategy,,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Digital Strategy,,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Online Financial Services: Success,,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Online Financial Services: Success,,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Opportunities,21,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Opportunities,21,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Reporting on breaches,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Reporting on breaches,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Responsibilities and Committees,100,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Responsibilities and Committees,100,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Risk Governance,85,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Risk Governance,85,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Risk Map,76,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Risk Map,76,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Risk Optimization,39,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Risk Optimization,39,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Risk Review,20,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Risk Review,20,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Risk Strategy,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Risk Strategy,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Supplier Risk Management Measures,7,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Supplier Risk Management Measures,7,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Supply Chain Risk Exposure,22,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Supply Chain Risk Exposure,22,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Supply Chain Transparency & Reporting,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Supply Chain Transparency & Reporting,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Transparency of Executive Compensation,100,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Transparency of Executive Compensation,100,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Absentee Rate,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Absentee Rate,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Absenteeism: Work-Related Stress,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Absenteeism: Work-Related Stress,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Access to Insurance/ Social Value Added,0,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Access to Insurance/ Social Value Added,0,,,"Arthur J Gallagher & Co., Asset Management Arm"
103437,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,50,004973,AJG,Arthur J. Gallagher & Co.
103437,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,50,,,"Arthur J Gallagher & Co., Asset Management Arm"
