institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4186103,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,50,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Centralized Data Collection System,100,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Climate Change Governance,100,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Climate Risk Management,100,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Climate Strategy Impacts,25,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Climate-Related Management Incentives,0,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Corporate Environmental Policy,100,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Corporate Environmental Policy: Areas,67,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),20,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,EMS: Certification/ Audit/ Verification,0,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,EP - Electricity Purchased,27,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Emissions Reduction Targets,100,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Energy Use,65,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Environmental Reporting - Coverage,0,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Environmental Reporting - Materiality,24,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Financial Opportunities Arising from Climate Change,,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Financial Risks of Climate Change,,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),76,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),49,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Low-Carbon Products,100,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Sustainability Reporting Assurance,25,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Waste Disposal,10,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Water Use,0,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Access to Medicine Strategy Reporting,0,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Analysis of Customer Value,40,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Analysis of Risks,20,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Anti-Competitive Practices,,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Antitrust Compliance,50,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Antitrust Policy,100,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Audit Conflict of Interest,49,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Auditing Back-up System,57,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Availability of Data to the Customer Center,61,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Board Effectiveness,75,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Board Gender Diversity,100,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Board Type,100,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Brand Metrics Used,30,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Breaches of Customer Privacy: Complaints,0,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Codes of Conduct,89,125595,AKAM,"Akamai Technologies, Inc."
4186103,2013-09-12,Question,Codes of Conduct: Coverage,50,125595,AKAM,"Akamai Technologies, Inc."
