institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4121019,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,46,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Chemical Oxygen Demand,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Climate Change Governance,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Climate Risk Management,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Climate Strategy Impacts,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Climate-Related Management Incentives,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Coverage of Environmental Management Policy,100,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),70,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,EMS: Certification/ Audit/ Verification,90,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,EP - Electricity Purchased,70,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Emissions Reduction Targets,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Energy Use,70,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Environmental Reporting - Coverage,100,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Environmental Reporting - Materiality,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Exposure,100,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Financial Opportunities Arising from Climate Change,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Financial Risks of Climate Change,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Hazardous Substances Commitment,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),70,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Life Cycle Assessment,23,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Life Cycle Research Projects,100,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Low-Carbon Products,0,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,NOx Emissions,68,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Product Design Criteria,30,029751,ALB,Albemarle Corporation
4121019,2013-09-12,Question,Renewable Raw Materials,0,029751,ALB,Albemarle Corporation
