institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4811737,2017-04-19,S&P Global ESG Score,S&P Global ESG Score,32,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Climate Change Governance,31,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Climate Risk Management,31,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Climate Strategy - CDP Alignment,,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Climate Strategy Impacts,31,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Climate-Related Management Incentives,31,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Coverage of Environmental Management Policy,13,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Denominator - Healthcare,,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Direct Greenhouse Gas Emissions (Scope 1),17,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,EMS: Certification/ Audit/ Verification,17,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,EP - Biological Oxygen Demand,9,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,EP - Electricity Purchased,19,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Emissions Reduction Targets,30,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Energy Use,16,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Environmental Reporting - Coverage,0,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Environmental Reporting - Quantitative Data,0,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Financial Opportunities Arising from Climate Change,18,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Financial Risks of Climate Change,15,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Hazardous Waste,16,141384,ALGN,"Align Technology, Inc."
4811737,2017-04-19,Question,Indirect Greenhouse Gas Emissions (Scope 2),15,141384,ALGN,"Align Technology, Inc."
