institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4994468,2015-09-10,S&P Global ESG Score,S&P Global ESG Score,60,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Climate Change Governance,40,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Climate Risk Management,0,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Climate Strategy Impacts,75,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Climate-Related Management Incentives,20,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Coverage of Environmental Management Policy,50,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Direct Greenhouse Gas Emissions (Scope 1),58,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,EMS: Certification/ Audit/ Verification,37,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,EP - Electricity Purchased,50,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Emissions Reduction Targets,94,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Energy Use,48,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Environmental Reporting - Coverage,100,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Environmental Reporting - Materiality,20,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Environmental Reporting - Quantitative Data,100,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Environmental Violations,100,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Financial Opportunities Arising from Climate Change,20,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Financial Risks of Climate Change,0,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Indirect Greenhouse Gas Emissions (Scope 2),70,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Indirect Greenhouse Gas Emissions (Scope 3),0,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Low-Carbon Products,,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Return on Environmental Investments,0,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Specific Fuel Consumption for Cargo Transport,55,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Specific Fuel Consumption for Passenger Transport,66,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Specific NOx Emissions for Cargo Transport,73,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Specific NOx Emissions for Passenger Transport,74,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Sustainability Reporting Assurance,0,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Waste Disposal,12,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Water Use,10,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Access to Medicine Strategy Reporting,0,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Airline Industry Engagement,66,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Anti-Competitive Practices,,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Antitrust Compliance,50,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Antitrust Policy,100,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Biofuels,70,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Board Diversity Policy,40,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Board Effectiveness,76,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Board Gender Diversity,100,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Board Type,100,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Brand Metrics Used,28,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Branding Strategies,63,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,CEO Compensation - Success Metrics,72,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,CEO-to-Employee Pay Ratio,75,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Codes of Conduct,100,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Codes of Conduct: Coverage,50,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Codes of Conduct: Systems/ Procedures,56,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Complaints Management,40,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Corruption & Bribery,20,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Coverage of Antitrust Policy,35,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Critical Supplier Identification,15,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Customer Data Security & Data Privacy,17,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Customer Satisfaction Measurement,60,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Customer Satisfaction Performance,80,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,Delays Exceeding 15 minutes,100,001230,ALK,"Alaska Air Group, Inc."
4994468,2015-09-10,Question,ESG Integration in SCM Strategy,28,001230,ALK,"Alaska Air Group, Inc."
