institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4987299,2014-03-18,S&P Global ESG Score,S&P Global ESG Score,34,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Approach Towards Biodiversity: Assurance,21,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Approach Towards Biodiversity: Reporting,22,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Biodiversity Commitment,14,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Centralized Data Collection System,4,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Climate Change Governance,30,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Climate Risk Management,20,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Climate Strategy Impacts,17,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Climate-Related Management Incentives,33,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Coverage of Environmental Management Policy,3,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Direct Greenhouse Gas Emissions (Scope 1),20,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Dust Emissions,24,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,EMS: Certification/ Audit/ Verification,31,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,EP - Electricity Purchased,11,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Emissions Reduction Targets,32,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Encouraging Sustainable Building,33,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Energy Use,15,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Environmental Reporting - Coverage,0,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Environmental Reporting - Materiality,0,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Environmental Reporting - Quantitative Data,0,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Financial Opportunities Arising from Climate Change,5,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Financial Risks of Climate Change,6,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Impact of Current Operations,0,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Impact of Proposed Operations,22,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),24,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 3),7,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,International Production Standards,33,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Low-Carbon Products,9,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,NOx Emissions,20,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Raw Material Substitution,10,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Responsibility,10,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,SOx Emissions,10,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Sustainability Reporting Assurance,0,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Tools / Processes / Systems / Standards / Frameworks used,0,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Waste Disposal,10,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Water Consumption,11,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Access to Medicine Strategy Reporting,0,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Analysis of Risks,0,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Anti-Competitive Practices,0,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Antitrust Compliance,50,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Antitrust Policy,100,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Audit Conflict of Interest,16,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Board Effectiveness,45,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Board Gender Diversity,33,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Board Type,100,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,CEO-to-Employee Pay Ratio,48,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Codes of Conduct,100,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Codes of Conduct: Coverage,25,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Codes of Conduct: Systems/ Procedures,56,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Corporate Governance Policy,64,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Corruption & Bribery,60,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Coverage of Antitrust Policy,35,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Critical Supplier Identification,9,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Customer Feedback Process,20,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Customer Satisfaction Measurement,6,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,ESG Integration in SCM Strategy,20,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Non-Executive Chairperson/ Lead Director,60,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Opportunities,12,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Reporting on breaches,0,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Responsibilities and Committees,75,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Responsibility Risk & Crisis Management (including Water,26,316056,ALLE,Allegion plc
4987299,2014-03-18,Question,Risk Response Strategy,23,316056,ALLE,Allegion plc
