institutionid,scoredate,scoretype,aspectname,scorevalue,ticker,companyname
103247,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,48,ALL,The Allstate Corporation
103247,2013-09-12,Question,Corporate Environmental Policy: Areas,33,ALL,The Allstate Corporation
103247,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),30,ALL,The Allstate Corporation
103247,2013-09-12,Question,EMS: Certification/ Audit/ Verification,29,ALL,The Allstate Corporation
103247,2013-09-12,Question,Early Detection of Risks in Product Development,100,ALL,The Allstate Corporation
103247,2013-09-12,Question,Emissions from Business Travel,18,ALL,The Allstate Corporation
103247,2013-09-12,Question,Energy Use,34,ALL,The Allstate Corporation
103247,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,40,ALL,The Allstate Corporation
103247,2013-09-12,Question,Environmental Management Systems Database / Information S,25,ALL,The Allstate Corporation
103247,2013-09-12,Question,Environmental Reporting - Coverage,100,ALL,The Allstate Corporation
103247,2013-09-12,Question,Environmental Reporting - Materiality,56,ALL,The Allstate Corporation
103247,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,ALL,The Allstate Corporation
103247,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),30,ALL,The Allstate Corporation
103247,2013-09-12,Question,Investments,70,ALL,The Allstate Corporation
103247,2013-09-12,Question,Products / Services,25,ALL,The Allstate Corporation
103247,2013-09-12,Question,Responsible Environmental Business Practices,27,ALL,The Allstate Corporation
103247,2013-09-12,Question,Risk Training,27,ALL,The Allstate Corporation
103247,2013-09-12,Question,Sustainability Reporting Assurance,25,ALL,The Allstate Corporation
103247,2013-09-12,Question,Waste Disposal,22,ALL,The Allstate Corporation
103247,2013-09-12,Question,Water Use,21,ALL,The Allstate Corporation
103247,2013-09-12,Question,Audit Conflict of Interest,100,ALL,The Allstate Corporation
103247,2013-09-12,Question,Board Effectiveness,60,ALL,The Allstate Corporation
103247,2013-09-12,Question,Board Gender Diversity,50,ALL,The Allstate Corporation
103247,2013-09-12,Question,Board Type,100,ALL,The Allstate Corporation
103247,2013-09-12,Question,Brand Evaluation,45,ALL,The Allstate Corporation
103247,2013-09-12,Question,Brand Management Approach,20,ALL,The Allstate Corporation
103247,2013-09-12,Question,Brand Metrics Used,28,ALL,The Allstate Corporation
