institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4073928,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,53,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,53,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Centralized Data Collection System,85,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Centralized Data Collection System,85,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Climate Change Governance,100,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Climate Change Governance,100,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Climate Risk Management,100,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Climate Risk Management,100,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Climate Strategy Impacts,100,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Climate Strategy Impacts,100,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Climate-Related Management Incentives,100,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Climate-Related Management Incentives,100,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Coverage of Environmental Management Policy,78,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Coverage of Environmental Management Policy,78,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,EMS: Certification/ Audit/ Verification,80,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,EMS: Certification/ Audit/ Verification,80,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,EP - Electricity Purchased,0,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,EP - Electricity Purchased,0,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Elements of Assurance Provision,63,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Elements of Assurance Provision,63,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Emissions Reduction Targets,71,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Emissions Reduction Targets,71,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Energy Use,0,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Energy Use,0,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Environmental Reporting - Coverage,100,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Environmental Reporting - Coverage,100,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Environmental Reporting - Materiality,12,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Environmental Reporting - Materiality,12,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Exposure of Suppliers to Water Risks,0,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Exposure of Suppliers to Water Risks,0,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Financial Risks of Climate Change,10,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Financial Risks of Climate Change,10,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Hazardous Waste,0,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Hazardous Waste,0,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),33,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),33,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Life Cycle Assessment,0,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Life Cycle Assessment,0,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Life Cycle Research Projects,61,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Life Cycle Research Projects,61,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Low-Carbon Products,30,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Low-Carbon Products,30,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,PFC Exhausts,100,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,PFC Exhausts,100,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Perfluorocarbons Emissions,44,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Perfluorocarbons Emissions,44,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Perfluorooctane Sulfonate (PFOS) Replacement,0,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Perfluorooctane Sulfonate (PFOS) Replacement,0,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Process Allowing Assurance Provision,100,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Process Allowing Assurance Provision,100,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Product Design Criteria,20,001704,AMAT,"Applied Materials, Inc."
4073928,2013-09-12,Question,Product Design Criteria,20,,,"Applied Materials, Inc., Asset Management Arm"
4073928,2013-09-12,Question,Quantity & Quality-Related Water Risks,25,001704,AMAT,"Applied Materials, Inc."
