institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4160328,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,78,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Centralized Data Collection System,85,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Climate Change Governance,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Climate Risk Management,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Climate Strategy Impacts,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Climate-Related Management Incentives,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Coverage of Environmental Management Policy,99,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),60,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,EMS: Certification/ Audit/ Verification,74,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,EP - Electricity Purchased,70,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Emissions Reduction Targets,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Energy Use,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Environmental Reporting - Coverage,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Environmental Reporting - Materiality,56,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Financial Risks of Climate Change,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Fostering Proper Use and Recycling,70,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),66,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Life Cycle Assessment,50,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Life Cycle Research Projects,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Low-Carbon Products,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Product Design Criteria,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Responsibilities and Management System,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Sustainability Reporting Assurance,85,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Use of Recycled & Sustainably Sourced Materials,63,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Waste Disposal,90,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Water Use,86,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Access to Medicine Strategy Reporting,0,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Analysis of Risks,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Anti-Competitive Practices,,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Antitrust Compliance,75,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Antitrust Policy,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Audit Conflict of Interest,80,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Board Effectiveness,60,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Board Gender Diversity,8,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Board Type,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,CEO-to-Employee Pay Ratio,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Codes of Conduct,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Codes of Conduct: Coverage,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Corporate Governance Policy,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Corruption & Bribery,40,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Coverage of Antitrust Policy,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Critical Supplier Identification,70,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Customer Feedback Process,80,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Customer Satisfaction Measurement,84,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,ESG Integration in SCM Strategy,36,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Opportunities,60,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Reporting on breaches,25,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Responsibilities and Committees,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Responsibility Risk & Crisis Management (including Water,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Risk Response Strategy,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Risks Correlation,80,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Sensitivity Analysis and Stress Testing (including Water),80,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Supplier Risk Management Measures,23,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Supply Chain Risk Exposure,0,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Supply Chain Transparency & Reporting,10,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Transparency of Executive Compensation,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,50,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Business and Human Rights,0,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,CEO Compensation - Success Metrics,60,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Corporate Citizenship Strategy,70,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Employee Turnover Rate,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Human Capital Performance Indicators,20,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,97,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Measuring Benefits,68,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,50,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Percentage of Performance Related Compensation for each E,80,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Personal and Organizational Learning and Development,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Philanthropic Contributions,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Social Reporting - Assurance,85,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Social Reporting - Coverage,100,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Social Reporting - Materiality,32,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Social Reporting - Quantitative Data,43,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Stakeholder Engagement Governance,68,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Stakeholder Engagement Implementation,60,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Stakeholder Engagement Review,20,100243,AMCR,Amcor plc
4160328,2013-09-12,Question,Trend of Employee Wellbeing,20,100243,AMCR,Amcor plc
