institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4066743,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,68,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,68,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Centralized Data Collection System,100,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Centralized Data Collection System,100,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Climate Change Governance,90,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Climate Change Governance,90,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Climate Risk Management,100,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Climate Risk Management,100,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Climate Strategy Impacts,25,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Climate Strategy Impacts,25,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Climate-Related Management Incentives,40,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Climate-Related Management Incentives,40,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Coverage of Environmental Management Policy,100,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Coverage of Environmental Management Policy,100,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),22,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),22,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,EMS: Certification/ Audit/ Verification,100,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,EMS: Certification/ Audit/ Verification,100,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,EP - Electricity Purchased,70,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,EP - Electricity Purchased,70,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Elements of Assurance Provision,63,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Elements of Assurance Provision,63,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Emissions Reduction Targets,100,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Emissions Reduction Targets,100,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Energy Use,70,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Energy Use,70,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Environmental Reporting - Coverage,100,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Environmental Reporting - Coverage,100,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Environmental Reporting - Materiality,56,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Environmental Reporting - Materiality,56,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Exposure of Suppliers to Water Risks,100,001161,AMD,"Advanced Micro Devices, Inc."
4066743,2013-09-12,Question,Exposure of Suppliers to Water Risks,100,,,"Advanced Micro Devices, Inc., Investment Arm"
4066743,2013-09-12,Question,Financial Opportunities Arising from Climate Change,0,001161,AMD,"Advanced Micro Devices, Inc."
