institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4107063,2014-03-18,S&P Global ESG Score,S&P Global ESG Score,32,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Centralized Data Collection System,0,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Climate Change Governance,32,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Climate Risk Management,21,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Climate Strategy Impacts,18,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Climate-Related Management Incentives,35,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Coverage of Environmental Management Policy,5,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Direct Greenhouse Gas Emissions (Scope 1),11,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,EMS: Certification/ Audit/ Verification,18,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,EP - Electricity Purchased,10,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Elements of Assurance Provision,18,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Emissions Reduction Targets,32,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,End of Life Cycle Responsibility,14,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Energy Use,11,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Environmental Labels & Declarations,9,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Environmental Reporting - Coverage,0,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Environmental Reporting - Materiality,0,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Environmental Reporting - Quantitative Data,0,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Financial Opportunities Arising from Climate Change,8,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Financial Risks of Climate Change,7,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Hazardous Waste,14,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),12,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 3),10,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Life Cycle Assessment,7,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Life Cycle Research Projects,35,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Low-Carbon Products,11,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Process Allowing Assurance Provision,35,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Product Design Criteria,14,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Responsibilities and Management System,21,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Scope of Assurance Provision,27,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Sustainability Reporting Assurance,0,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Tools / Processes / Systems / Standards / Frameworks used,0,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Volatile Organic Compounds Emissions,17,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Waste Disposal,11,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Water Consumption,9,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Analysis of Risks,0,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Audit Conflict of Interest,44,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Board Effectiveness,70,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Board Gender Diversity,62,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Board Type,100,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,CEO-to-Employee Pay Ratio,51,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Codes of Conduct,100,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Codes of Conduct: Coverage,50,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Codes of Conduct: Systems/ Procedures,56,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Corporate Governance Policy,88,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Corruption & Bribery,40,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Crisis Preparedness,18,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Critical Supplier Identification,12,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Customer Feedback Process,20,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Customer Satisfaction Measurement,17,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,ESG Integration in SCM Strategy,0,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Emerging Market Exposure & Strategy,8,001598,AME,"AMETEK, Inc."
4107063,2014-03-18,Question,Emerging Markets - Manufacturing,18,001598,AME,"AMETEK, Inc."
