institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4092820,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,55,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Climate Change Governance,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Climate Risk Management,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Climate Strategy Impacts,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Climate-Related Management Incentives,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Coverage of Environmental Management Policy,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),80,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,EP - Biological Oxygen Demand,0,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Emissions Reduction Targets,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Energy Use,90,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Environmental Reporting - Coverage,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Environmental Reporting - Materiality,24,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Financial Opportunities Arising from Climate Change,0,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Financial Risks of Climate Change,20,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Hazardous Waste,55,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),80,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Low-Carbon Products,0,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Sustainability Reporting Assurance,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Waste Disposal,80,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Water Use,82,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Analysis of Risks,40,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Audit Conflict of Interest,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Board Effectiveness,75,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Board Gender Diversity,18,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Board Type,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Codes of Conduct,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Codes of Conduct: Coverage,75,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Corporate Governance Policy,88,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Corruption & Bribery,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Critical Supplier Identification,75,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Customer Feedback Process,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Customer Satisfaction Measurement,27,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Direct-to-Consumer Marketing,0,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Direct-to-Consumer Marketing: OPDP,80,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Direct-to-Consumer Marketing: Policies,100,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,ESG Integration in SCM Strategy,35,001602,AMGN,Amgen Inc.
4092820,2013-09-12,Question,Environmental Innovation,,001602,AMGN,Amgen Inc.
