institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
113901,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,40,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,40,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,40,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Business Risks: Policies,,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Business Risks: Policies,,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Business Risks: Policies,,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Climate Change Governance,44,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Climate Change Governance,44,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Climate Change Governance,44,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Climate Risk Management,29,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Climate Risk Management,29,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Climate Risk Management,29,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Climate Strategy Impacts,25,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Climate Strategy Impacts,25,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Climate Strategy Impacts,25,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Climate-Related Management Incentives,49,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Climate-Related Management Incentives,49,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Climate-Related Management Incentives,49,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),14,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),14,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),14,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,EMS: Certification/ Audit/ Verification,27,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,EMS: Certification/ Audit/ Verification,27,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,EMS: Certification/ Audit/ Verification,27,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,ESG Products and Services (Financial Services),0,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,ESG Products and Services (Financial Services),0,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,ESG Products and Services (Financial Services),0,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Emissions from Business Travel,22,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Emissions from Business Travel,22,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Emissions from Business Travel,22,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Energy Use,25,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Energy Use,25,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Energy Use,25,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Environmental Management Systems Database / Information S,16,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Environmental Management Systems Database / Information S,16,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Environmental Management Systems Database / Information S,16,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Environmental Reporting - Coverage,0,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Environmental Reporting - Materiality,0,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Environmental Reporting - Materiality,0,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Environmental Reporting - Materiality,0,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Environmental Risk Management,16,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Environmental Risk Management,16,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Environmental Risk Management,16,,,"Ameriprise Financial Inc, Asset Management Arm"
113901,2013-09-12,Question,Financial Opportunities Arising from Climate Change,19,164708,AMP,"Ameriprise Financial, Inc."
113901,2013-09-12,Question,Financial Opportunities Arising from Climate Change,19,,,"Ameriprise Financial Inc., Investment Arm"
113901,2013-09-12,Question,Financial Opportunities Arising from Climate Change,19,,,"Ameriprise Financial Inc, Asset Management Arm"
