institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4290489,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,33,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Approach Towards Biodiversity: Assurance,20,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Approach Towards Biodiversity: Reporting,27,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Biodiversity Commitment,21,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Centralized Data Collection System,14,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Certified Wood,,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Climate Change Governance,37,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Climate Risk Management,25,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Climate Strategy Impacts,21,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Climate-Related Management Incentives,42,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Construction Waste Management,,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,EMS: Certification/ Audit/ Verification,26,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,EP - Electricity Purchased,17,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Energy Efficiency Programs for Real Estate Portfolio,25,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Energy Use,15,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Environmental Reporting - Coverage,0,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Environmental Reporting - Materiality,0,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Financial Opportunities Arising from Climate Change,15,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Financial Risks of Climate Change,12,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Impact of Current Operations,0,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Impact of Proposed Operations,30,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Low-Carbon Products,13,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Quality of Building Materials,,105365,AMT,American Tower Corporation
4290489,2013-09-12,Question,Renewable Energy Consumption,4,105365,AMT,American Tower Corporation
