institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
3001792,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Corporate Environmental Policy: Areas,34,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Corporate Environmental Policy: Areas,34,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),16,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),16,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,EMS: Certification/ Audit/ Verification,23,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,EMS: Certification/ Audit/ Verification,23,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Energy Use,17,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Energy Use,17,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Environmental Reporting - Coverage,0,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Environmental Reporting - Materiality,0,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Environmental Reporting - Materiality,0,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),20,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),20,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Packaging Commitment,50,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Packaging Commitment,50,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Sustainability Reporting Assurance,5,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Sustainability Reporting Assurance,5,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Waste Disposal,17,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Waste Disposal,17,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Water Use,18,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Water Use,18,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Analysis of Customer Value,32,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Analysis of Customer Value,32,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Analysis of Risks,0,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Analysis of Risks,0,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Audit Conflict of Interest,100,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Audit Conflict of Interest,100,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Board Effectiveness,60,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Board Effectiveness,60,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Board Gender Diversity,41,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Board Gender Diversity,41,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Board Type,100,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Board Type,100,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Brand Metrics Used,18,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Brand Metrics Used,18,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Branding Strategies,16,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Branding Strategies,16,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Codes of Conduct,88,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Codes of Conduct,88,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Codes of Conduct: Coverage,25,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Codes of Conduct: Coverage,25,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Corporate Governance Policy,80,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Corporate Governance Policy,80,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Corruption & Bribery,20,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Corruption & Bribery,20,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Critical Supplier Identification,21,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Critical Supplier Identification,21,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Customer Feedback Process,40,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Customer Feedback Process,40,,,"Amazon.com Inc., Investment Arm"
3001792,2013-09-12,Question,Customer Satisfaction Measurement,26,064768,AMZN,"Amazon.com, Inc."
3001792,2013-09-12,Question,Customer Satisfaction Measurement,26,,,"Amazon.com Inc., Investment Arm"
