institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4970981,2018-02-01,S&P Global ESG Score,S&P Global ESG Score,26,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Dimension,Economic Governance Dimension,35,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Dimension,Environmental Dimension,18,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Dimension,Social Dimension,20,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,S&P Global ESG Score,S&P Global ESG Score,17,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Alternative Substances to PVC,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Climate Risk Management,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Climate Strategy - CDP Alignment,,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Climate Strategy Impacts,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Climate-Related Management Incentives,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Coverage of Environmental Management Policy,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Direct Greenhouse Gas Emissions (Scope 1),0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,EMS: Certification/ Audit/ Verification,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Emissions Reduction Targets,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,End of Life Cycle Responsibility,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Energy Consumption,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Environmental Labels & Declarations,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Environmental Reporting - Coverage,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Environmental Reporting - Quantitative Data,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Environmental Violations,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Exposure to Hazardous Substances,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Financial Opportunities Arising from Climate Change,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Financial Risks of Climate Change,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Hazardous Substances Commitment,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Indirect Greenhouse Gas Emissions (Scope 3),0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Life Cycle Assessment,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Low-Carbon Products,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Management,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,PVC Usage Reduction Targets,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Product Design Criteria,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Resource Efficiency Benefits of Products,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Revenues From Products Containing Heavy Metals,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Sustainability Reporting Assurance,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Use of PVC,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Volatile Organic Compounds Emissions,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Waste Disposal,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Water Consumption,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Anti-Competitive Practices,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Board Average Tenure,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Board Diversity Policy,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Board Effectiveness,48,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Board Gender Diversity,41,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Board Industry Experience,50,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Board Type,76,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Breaches of Customer Privacy: Complaints,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Business Programs for Social Needs,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,CEO Compensation - Success Metrics,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,CEO-to-Employee Pay Ratio,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Codes of Conduct,100,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Codes of Conduct: Coverage,20,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Codes of Conduct: Systems/ Procedures,56,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Conflict Minerals,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Contributions & Other Spending,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Corruption & Bribery,40,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Corruption & Bribery Cases,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Critical Supplier Identification,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Customer Privacy Information,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Customer Satisfaction Measurement,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,ESG Integration in SCM Strategy,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Emerging Risks,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Environmental Innovation,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Impact Valuation,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Incentives for Distribution Networks,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Largest Contributions & Expenditures,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Management Ownership Requirements,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Material Issues for Enterprise Value Creation,0,020748,ANET,"Arista Networks, Inc."
4970981,2018-02-01,Question,Materiality Analysis,0,020748,ANET,"Arista Networks, Inc."
