institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4097536,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,43,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Climate Change Governance,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Climate Risk Management,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Climate Strategy Impacts,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Climate-Related Management Incentives,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Corporate Environmental Policy,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Corporate Environmental Policy: Areas,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,EMS: Certification/ Audit/ Verification,31,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,EP - Electricity Purchased,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Emissions Reduction Targets,47,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Energy Use,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Environmental Reporting - Coverage,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Environmental Reporting - Materiality,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Financial Opportunities Arising from Climate Change,0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Financial Risks of Climate Change,15,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,063080,ANSS,"ANSYS, Inc."
4097536,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),0,063080,ANSS,"ANSYS, Inc."
