institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
103317,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,39,003221,AON,Aon plc
103317,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,39,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Corporate Environmental Policy: Areas,67,003221,AON,Aon plc
103317,2013-09-12,Question,Corporate Environmental Policy: Areas,67,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),20,003221,AON,Aon plc
103317,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),20,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,EMS: Certification/ Audit/ Verification,25,003221,AON,Aon plc
103317,2013-09-12,Question,EMS: Certification/ Audit/ Verification,25,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Early Detection of Risks in Product Development,26,003221,AON,Aon plc
103317,2013-09-12,Question,Early Detection of Risks in Product Development,26,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Emissions from Business Travel,12,003221,AON,Aon plc
103317,2013-09-12,Question,Emissions from Business Travel,12,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Energy Use,25,003221,AON,Aon plc
103317,2013-09-12,Question,Energy Use,25,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,40,003221,AON,Aon plc
103317,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,40,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Environmental Management Systems Database / Information S,13,003221,AON,Aon plc
103317,2013-09-12,Question,Environmental Management Systems Database / Information S,13,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Environmental Reporting - Coverage,0,003221,AON,Aon plc
103317,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Environmental Reporting - Materiality,0,003221,AON,Aon plc
103317,2013-09-12,Question,Environmental Reporting - Materiality,0,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,003221,AON,Aon plc
103317,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),20,003221,AON,Aon plc
103317,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),20,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Investments,23,003221,AON,Aon plc
103317,2013-09-12,Question,Investments,23,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Products / Services,38,003221,AON,Aon plc
103317,2013-09-12,Question,Products / Services,38,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Responsible Environmental Business Practices,33,003221,AON,Aon plc
103317,2013-09-12,Question,Responsible Environmental Business Practices,33,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Risk Training,23,003221,AON,Aon plc
103317,2013-09-12,Question,Risk Training,23,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Sustainability Reporting Assurance,25,003221,AON,Aon plc
103317,2013-09-12,Question,Sustainability Reporting Assurance,25,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Waste Disposal,15,003221,AON,Aon plc
103317,2013-09-12,Question,Waste Disposal,15,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Water Use,13,003221,AON,Aon plc
103317,2013-09-12,Question,Water Use,13,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Audit Conflict of Interest,100,003221,AON,Aon plc
103317,2013-09-12,Question,Audit Conflict of Interest,100,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Board Effectiveness,60,003221,AON,Aon plc
103317,2013-09-12,Question,Board Effectiveness,60,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Board Gender Diversity,58,003221,AON,Aon plc
103317,2013-09-12,Question,Board Gender Diversity,58,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Board Type,100,003221,AON,Aon plc
103317,2013-09-12,Question,Board Type,100,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Brand Evaluation,37,003221,AON,Aon plc
103317,2013-09-12,Question,Brand Evaluation,37,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Brand Management Approach,7,003221,AON,Aon plc
103317,2013-09-12,Question,Brand Management Approach,7,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Brand Metrics Used,21,003221,AON,Aon plc
103317,2013-09-12,Question,Brand Metrics Used,21,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,003221,AON,Aon plc
103317,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Codes of Conduct,100,003221,AON,Aon plc
103317,2013-09-12,Question,Codes of Conduct,100,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Codes of Conduct: Coverage,75,003221,AON,Aon plc
103317,2013-09-12,Question,Codes of Conduct: Coverage,75,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,003221,AON,Aon plc
103317,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Corporate Governance Policy,88,003221,AON,Aon plc
103317,2013-09-12,Question,Corporate Governance Policy,88,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Corruption & Bribery,60,003221,AON,Aon plc
103317,2013-09-12,Question,Corruption & Bribery,60,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Customer Data Security & Data Privacy,25,003221,AON,Aon plc
103317,2013-09-12,Question,Customer Data Security & Data Privacy,25,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Customer Feedback Process,20,003221,AON,Aon plc
103317,2013-09-12,Question,Customer Feedback Process,20,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Customer Satisfaction Measurement,26,003221,AON,Aon plc
103317,2013-09-12,Question,Customer Satisfaction Measurement,26,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Digital Strategy,48,003221,AON,Aon plc
103317,2013-09-12,Question,Digital Strategy,48,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,003221,AON,Aon plc
103317,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Online Financial Services: Success,10,003221,AON,Aon plc
103317,2013-09-12,Question,Online Financial Services: Success,10,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Opportunities,19,003221,AON,Aon plc
103317,2013-09-12,Question,Opportunities,19,,,"Aon plc, Asset Management Arm"
103317,2013-09-12,Question,Reporting on breaches,0,003221,AON,Aon plc
103317,2013-09-12,Question,Reporting on breaches,0,,,"Aon plc, Asset Management Arm"
