institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4020605,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,009771,AOS,A. O. Smith Corporation
4020605,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,022242,AOS,A. O. Smith Corporation
4020605,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,,,"Smith Investment Co., Asset Management Arm"
4020605,2013-09-12,Question,Approach Towards Biodiversity: Assurance,25,009771,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Approach Towards Biodiversity: Assurance,25,022242,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Approach Towards Biodiversity: Assurance,25,,,"Smith Investment Co., Asset Management Arm"
4020605,2013-09-12,Question,Approach Towards Biodiversity: Reporting,26,009771,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Approach Towards Biodiversity: Reporting,26,022242,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Approach Towards Biodiversity: Reporting,26,,,"Smith Investment Co., Asset Management Arm"
4020605,2013-09-12,Question,Biodiversity Commitment,16,009771,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Biodiversity Commitment,16,022242,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Biodiversity Commitment,16,,,"Smith Investment Co., Asset Management Arm"
4020605,2013-09-12,Question,Centralized Data Collection System,8,009771,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Centralized Data Collection System,8,022242,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Centralized Data Collection System,8,,,"Smith Investment Co., Asset Management Arm"
4020605,2013-09-12,Question,Climate Change Governance,36,009771,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Climate Change Governance,36,022242,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Climate Change Governance,36,,,"Smith Investment Co., Asset Management Arm"
4020605,2013-09-12,Question,Climate Risk Management,24,009771,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Climate Risk Management,24,022242,AOS,A. O. Smith Corporation
4020605,2013-09-12,Question,Climate Risk Management,24,,,"Smith Investment Co., Asset Management Arm"
4020605,2013-09-12,Question,Climate Strategy Impacts,20,009771,AOS,A. O. Smith Corporation
