institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4010203,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,49,001678,APA,APA Corporation
4010203,2013-09-12,Question,Approach Towards Biodiversity: Assurance,35,001678,APA,APA Corporation
4010203,2013-09-12,Question,Approach Towards Biodiversity: Reporting,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Biodiversity Commitment,51,001678,APA,APA Corporation
4010203,2013-09-12,Question,Climate Change Governance,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Climate Risk Management,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Climate Strategy Impacts,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Climate-Related Management Incentives,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Coverage of Environmental Management Policy,56,001678,APA,APA Corporation
4010203,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),60,001678,APA,APA Corporation
4010203,2013-09-12,Question,EMS: Certification/ Audit/ Verification,,001678,APA,APA Corporation
4010203,2013-09-12,Question,EP - Electricity Purchased,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Emissions Reduction Targets,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Energy Use,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Environmental Reporting - Coverage,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Environmental Reporting - Materiality,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,001678,APA,APA Corporation
4010203,2013-09-12,Question,Environmental and Social Impact Assessments,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Exposure to Hazardous Substances,31,001678,APA,APA Corporation
4010203,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,001678,APA,APA Corporation
4010203,2013-09-12,Question,Financial Risks of Climate Change,20,001678,APA,APA Corporation
4010203,2013-09-12,Question,Follow up EIA / SIA,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Hydrocarbon Spills,50,001678,APA,APA Corporation
4010203,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,001678,APA,APA Corporation
4010203,2013-09-12,Question,Low-Carbon Products,30,001678,APA,APA Corporation
4010203,2013-09-12,Question,Methane Emissions,19,001678,APA,APA Corporation
4010203,2013-09-12,Question,NOx Emissions,22,001678,APA,APA Corporation
4010203,2013-09-12,Question,Natural Gas Leakage and Flaring,,001678,APA,APA Corporation
4010203,2013-09-12,Question,Oil Sands & Fossil Fuel Exposure,19,001678,APA,APA Corporation
4010203,2013-09-12,Question,Public Availability of Results,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Responsibility,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,SOx Emissions,28,001678,APA,APA Corporation
4010203,2013-09-12,Question,Sustainability Reporting Assurance,25,001678,APA,APA Corporation
4010203,2013-09-12,Question,Tools / Processes / Systems / Standards / Frameworks used,6,001678,APA,APA Corporation
4010203,2013-09-12,Question,Volatile Organic Compounds Emissions,23,001678,APA,APA Corporation
4010203,2013-09-12,Question,Waste Disposal,19,001678,APA,APA Corporation
4010203,2013-09-12,Question,Water Consumption,60,001678,APA,APA Corporation
4010203,2013-09-12,Question,Analysis of Risks,80,001678,APA,APA Corporation
4010203,2013-09-12,Question,Audit Conflict of Interest,96,001678,APA,APA Corporation
4010203,2013-09-12,Question,Board Effectiveness,70,001678,APA,APA Corporation
4010203,2013-09-12,Question,Board Gender Diversity,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Board Type,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,CO2 Emissions from Oil Production,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Codes of Conduct,78,001678,APA,APA Corporation
4010203,2013-09-12,Question,Codes of Conduct: Coverage,50,001678,APA,APA Corporation
4010203,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,001678,APA,APA Corporation
4010203,2013-09-12,Question,Corporate Governance Policy,88,001678,APA,APA Corporation
4010203,2013-09-12,Question,Corruption & Bribery,20,001678,APA,APA Corporation
4010203,2013-09-12,Question,Crisis Preparedness,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Critical Supplier Identification,27,001678,APA,APA Corporation
4010203,2013-09-12,Question,ESG Integration in SCM Strategy,24,001678,APA,APA Corporation
4010203,2013-09-12,Question,Finding & Development Costs & Production Costs,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,LNG Capacity,27,001678,APA,APA Corporation
4010203,2013-09-12,Question,Natural Gas Bias,75,001678,APA,APA Corporation
4010203,2013-09-12,Question,Natural Gas Production,50,001678,APA,APA Corporation
4010203,2013-09-12,Question,Natural Gas Reserve Life,50,001678,APA,APA Corporation
4010203,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,001678,APA,APA Corporation
4010203,2013-09-12,Question,Oil & Gas Reserves,50,001678,APA,APA Corporation
4010203,2013-09-12,Question,Opportunities,27,001678,APA,APA Corporation
4010203,2013-09-12,Question,Public Endorsement,38,001678,APA,APA Corporation
4010203,2013-09-12,Question,Reporting on breaches,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Reserve Replacement,80,001678,APA,APA Corporation
4010203,2013-09-12,Question,Responsibilities and Committees,75,001678,APA,APA Corporation
4010203,2013-09-12,Question,Responsibility Risk & Crisis Management (including Climat,60,001678,APA,APA Corporation
4010203,2013-09-12,Question,Risk Response Strategy,80,001678,APA,APA Corporation
4010203,2013-09-12,Question,Risks Correlation,44,001678,APA,APA Corporation
4010203,2013-09-12,Question,Sensitivity Analysis & Stress Testing,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Supplier Risk Management Measures,4,001678,APA,APA Corporation
4010203,2013-09-12,Question,Supply Chain Risk Exposure,30,001678,APA,APA Corporation
4010203,2013-09-12,Question,Supply Chain Transparency & Reporting,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Transparency of Executive Compensation,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,20,001678,APA,APA Corporation
4010203,2013-09-12,Question,Business and Human Rights,20,001678,APA,APA Corporation
4010203,2013-09-12,Question,CEO Compensation - Success Metrics,80,001678,APA,APA Corporation
4010203,2013-09-12,Question,Contractor / Service Providers in non-OECD Countries: Com,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Contractor / Service Providers in non-OECD Countries: Lan,55,001678,APA,APA Corporation
4010203,2013-09-12,Question,Corporate Citizenship Strategy,70,001678,APA,APA Corporation
4010203,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,58,001678,APA,APA Corporation
4010203,2013-09-12,Question,Employee Turnover Rate,38,001678,APA,APA Corporation
4010203,2013-09-12,Question,Fatalities,31,001678,APA,APA Corporation
4010203,2013-09-12,Question,Free Prior Informed Consent,42,001678,APA,APA Corporation
4010203,2013-09-12,Question,Human Capital Performance Indicators,22,001678,APA,APA Corporation
4010203,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,31,001678,APA,APA Corporation
4010203,2013-09-12,Question,Lost-Time Injury Frequency Rate (LTIFR) - Contractors,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Lost-Time Injury Frequency Rate (LTIFR) - Employees,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Measuring Benefits,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Occupational Illness Frequency Rate (OIFR) - Employees,55,001678,APA,APA Corporation
4010203,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Percentage of Performance Related Compensation for each E,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Personal and Organizational Learning and Development,15,001678,APA,APA Corporation
4010203,2013-09-12,Question,Philanthropic Contributions,31,001678,APA,APA Corporation
4010203,2013-09-12,Question,Relocation Programs,38,001678,APA,APA Corporation
4010203,2013-09-12,Question,Social Reporting - Assurance,25,001678,APA,APA Corporation
4010203,2013-09-12,Question,Social Reporting - Coverage,100,001678,APA,APA Corporation
4010203,2013-09-12,Question,Social Reporting - Materiality,0,001678,APA,APA Corporation
4010203,2013-09-12,Question,Social Reporting - Quantitative Data,22,001678,APA,APA Corporation
4010203,2013-09-12,Question,Stakeholder Engagement Governance,24,001678,APA,APA Corporation
4010203,2013-09-12,Question,Stakeholder Engagement Implementation,27,001678,APA,APA Corporation
4010203,2013-09-12,Question,Stakeholder Engagement Review,33,001678,APA,APA Corporation
4010203,2013-09-12,Question,Treatment for HIV/Aids/Malaria/Tuberculosis,25,001678,APA,APA Corporation
4010203,2013-09-12,Question,Trend of Employee Wellbeing,17,001678,APA,APA Corporation
4010203,2013-09-12,Question,Type of Performance Appraisal,27,001678,APA,APA Corporation
4010203,2013-09-12,Question,Type of Philanthropic Activities,55,001678,APA,APA Corporation
