institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4014726,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,76,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Chemical Oxygen Demand,70,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Climate Change Governance,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Climate Risk Management,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Climate Strategy Impacts,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Climate-Related Management Incentives,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Coverage of Environmental Management Policy,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),71,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,EMS: Certification/ Audit/ Verification,6,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,EP - Electricity Purchased,46,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Emissions Reduction Targets,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Energy Use,63,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Environmental Reporting - Coverage,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Environmental Reporting - Materiality,56,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Exposure,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Financial Opportunities Arising from Climate Change,70,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Financial Risks of Climate Change,,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Hazardous Substances Commitment,30,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),27,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),84,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Life Cycle Assessment,78,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Life Cycle Research Projects,80,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Low-Carbon Products,70,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,NOx Emissions,70,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Product Design Criteria,60,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Renewable Raw Materials,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,Responsibilities and Management System,100,001209,APD,"Air Products and Chemicals, Inc."
4014726,2013-09-12,Question,SOx Emissions,70,001209,APD,"Air Products and Chemicals, Inc."
