institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4122605,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,34,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Centralized Data Collection System,0,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Climate Change Governance,34,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Climate Risk Management,22,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Climate Strategy Impacts,19,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Climate-Related Management Incentives,37,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Coverage of Environmental Management Policy,11,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),11,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,EMS: Certification/ Audit/ Verification,,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,EP - Electricity Purchased,11,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Elements of Assurance Provision,20,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Emissions Reduction Targets,31,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,End of Life Cycle Responsibility,20,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Energy Use,15,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Environmental Labels & Declarations,19,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Environmental Reporting - Coverage,0,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Environmental Reporting - Materiality,0,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Financial Opportunities Arising from Climate Change,13,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Financial Risks of Climate Change,13,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Hazardous Waste,17,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),18,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),14,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Life Cycle Assessment,19,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Life Cycle Research Projects,37,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Low-Carbon Products,13,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Process Allowing Assurance Provision,37,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Product Design Criteria,18,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Responsibilities and Management System,24,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Scope of Assurance Provision,28,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Sustainability Reporting Assurance,0,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Tools / Processes / Systems / Standards / Frameworks used,0,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Volatile Organic Compounds Emissions,21,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Waste Disposal,13,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Water Consumption,13,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Access to Medicine Strategy Reporting,0,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Analysis of Risks,0,014282,APH,Amphenol Corporation
4122605,2013-09-12,Question,Anti-Competitive Practices,0,014282,APH,Amphenol Corporation
