institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4306801,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,58,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Climate Change Governance,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Climate Risk Management,70,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Climate Strategy Impacts,75,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Climate-Related Management Incentives,40,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Coverage of Environmental Management Policy,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),70,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,EMS: Certification/ Audit/ Verification,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Emissions Reduction Targets,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,End of Life Cycle Responsibility,19,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Energy Use,70,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Environmental Labels & Declarations,59,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Environmental Reporting - Coverage,0,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Environmental Reporting - Materiality,18,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Environmental Reporting - Quantitative Data,50,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Financial Risks of Climate Change,45,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),70,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),67,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Life Cycle Assessment,62,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Life Cycle Research Projects,0,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Low-Carbon Products,90,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Product Design Criteria,60,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Responsibilities and Management System,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Sustainability Reporting Assurance,25,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Waste Disposal,70,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Water Use,70,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Analysis of Risks,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Audit Conflict of Interest,21,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Board Effectiveness,60,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Board Gender Diversity,0,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Board Type,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,CEO-to-Employee Pay Ratio,87,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Codes of Conduct,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Codes of Conduct: Coverage,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Corporate Governance Policy,80,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Corruption & Bribery,60,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Crisis Preparedness,31,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Critical Supplier Identification,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,ESG Integration in SCM Strategy,81,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Environmental Impact from Transportation,15,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Open Innovation,53,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Opportunities,60,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,R&D Spending,40,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Reporting on breaches,0,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Responsibilities and Committees,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Responsibility Risk & Crisis Management (including Water,70,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Risk Response Strategy,80,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Risks Correlation,80,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Sensitivity Analysis & Stress Testing,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Supplier Risk Management Measures,40,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Supply Chain Risk Exposure,83,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Supply Chain Transparency & Reporting,10,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Transparency of Executive Compensation,100,118122,APTV,Aptiv PLC
4306801,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,19,118122,APTV,Aptiv PLC
