institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
111908,2015-03-13,S&P Global ESG Score,S&P Global ESG Score,30,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Approach Towards Biodiversity: Assurance,16,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Approach Towards Biodiversity: Reporting,16,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Biodiversity Commitment,15,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Building Certification & Benchmarking,20,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Centralized Data Collection System,6,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Certified Wood,16,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Climate Change Governance,32,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Climate Risk Management,32,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Climate Strategy Impacts,32,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Climate-Related Management Incentives,32,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Construction Waste Management,17,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Direct Greenhouse Gas Emissions (Scope 1),12,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,EMS: Certification/ Audit/ Verification,17,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,EP - Electricity Purchased,17,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Energy Efficiency Programs for Real Estate Portfolio,0,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Energy Ratings & Benchmarking,15,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Energy Use,15,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Environmental Reporting - Coverage,0,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Environmental Reporting - Materiality,0,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Environmental Reporting - Quantitative Data,0,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Financial Opportunities Arising from Climate Change,15,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Financial Risks of Climate Change,14,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Impact of Current Operations,32,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Impact of Proposed Operations,23,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Indirect Greenhouse Gas Emissions (Scope 2),17,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Low-Carbon Products,12,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,On-site Energy Generation,4,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Quality of Building Materials,35,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Renewable Energy Consumption,3,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Responsibility,0,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Scope of Corporate Environmental Requirements/ Guidelines,44,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Sustainability Reporting Assurance,0,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Waste Disposal,12,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Water Efficiency Programs for Real Estate Portfolio,0,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Water Use,14,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Access to Medicine Strategy Reporting,0,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Analysis of Risks,19,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Anti-Competitive Practices,0,064821,ARE,"Alexandria Real Estate Equities, Inc."
111908,2015-03-13,Question,Antitrust Compliance,16,064821,ARE,"Alexandria Real Estate Equities, Inc."
