institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4057157,2014-03-18,S&P Global ESG Score,S&P Global ESG Score,35,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Approach Towards Biodiversity: Assurance,26,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Approach Towards Biodiversity: Reporting,27,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Biodiversity Commitment,23,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,CO2 Emissions from Operations Covered under the EU Tradin,,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Climate Change Governance,38,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Climate Risk Management,25,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Climate Strategy Impacts,21,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Climate-Related Management Incentives,42,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Coverage of Environmental Management Policy,4,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Direct Greenhouse Gas Emissions (Scope 1),6,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,EMS: Certification/ Audit/ Verification,32,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Emissions Reduction Targets,31,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Environmental Reporting - Coverage,12,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Environmental Reporting - Materiality,0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Environmental Reporting - Quantitative Data,0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Financial Opportunities Arising from Climate Change,12,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Financial Risks of Climate Change,8,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Follow up EIA / SIA,42,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Former Gas Manufacturing Sites Owned,,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Frequency of Environmental Performance Reviews,42,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Gas Leakage Rate,19,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Impact of Current Operations,0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Impact of Proposed Operations,30,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),10,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 3),17,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Low-Carbon Products,33,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,NOx Emissions,9,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Near-Miss Reporting,42,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Public availability of EIA/ SIA results,42,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Responsibility,13,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,SOx Emissions,26,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Site Investigation Conducted,,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Sustainability Reporting Assurance,14,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Waste Disposal,17,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Water Use,13,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Access to Medicine Strategy Reporting,0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Analysis of Customer Value,11,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Analysis of Risks,0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Anti-Competitive Practices,0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Antitrust Compliance,25,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Antitrust Policy,85,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Audit Conflict of Interest,100,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Board Effectiveness,60,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Board Gender Diversity,0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Board Type,100,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,CEO-to-Employee Pay Ratio,60,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Codes of Conduct,100,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Codes of Conduct: Coverage,25,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Codes of Conduct: Systems/ Procedures,56,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Corporate Governance Policy,100,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Corruption & Bribery,40,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Coverage of Antitrust Policy,35,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Crisis Preparedness,21,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Critical Supplier Identification,20,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Current Investment Budget (Electricity & Multi-Utilities),0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Customer Feedback Process,10,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Customer Satisfaction Measurement,29,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,DSM: Energy Efficiency,32,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,ESG Integration in SCM Strategy,24,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Energy Procurement Attributes,45,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Gas Contracts,42,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Non-Executive Chairperson/ Lead Director,0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Online Services (Utilities),0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Opportunities,16,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Reporting on breaches,0,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Responsibilities and Committees,75,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Responsibility Risk & Crisis Management (including Water,23,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Risk Response Strategy,80,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Risks Correlation,34,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Scorecard: Perspectives,32,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Scorecard: Systems,24,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Sensitivity Analysis & Stress Testing (including Water an,60,004383,ATO,Atmos Energy Corporation
4057157,2014-03-18,Question,Supplier Risk Management Measures,8,004383,ATO,Atmos Energy Corporation
