institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
103145,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,35,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Approach Towards Biodiversity: Assurance,20,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Approach Towards Biodiversity: Reporting,27,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Biodiversity Commitment,21,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Centralized Data Collection System,14,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Certified Wood,42,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Climate Change Governance,38,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Climate Risk Management,25,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Climate Strategy Impacts,21,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Climate-Related Management Incentives,42,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Construction Waste Management,21,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),12,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,EMS: Certification/ Audit/ Verification,26,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,EP - Electricity Purchased,17,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Energy Efficiency Programs for Real Estate Portfolio,70,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Energy Use,15,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Environmental Reporting - Coverage,0,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Environmental Reporting - Materiality,0,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Financial Opportunities Arising from Climate Change,15,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Financial Risks of Climate Change,12,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Impact of Current Operations,0,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Impact of Proposed Operations,30,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),15,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Low-Carbon Products,13,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Quality of Building Materials,17,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Renewable Energy Consumption,4,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Responsibility,13,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Scope of Corporate Environmental Requirements/ Guidelines,44,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Share of Low-Energy Buildings,25,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Sustainability Reporting Assurance,25,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Waste Disposal,14,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Water Use,12,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Water-Saving Devices,48,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Access to Medicine Strategy Reporting,0,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Analysis of Risks,0,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Anti-Competitive Practices,0,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Antitrust Compliance,42,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Antitrust Policy,31,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Audit Conflict of Interest,100,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Board Effectiveness,60,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Board Gender Diversity,0,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Board Type,100,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Codes of Conduct,100,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Codes of Conduct: Coverage,25,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Corporate Governance Policy,88,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Corruption & Bribery,40,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Coverage of Antitrust Policy,21,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Critical Supplier Identification,13,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,ESG Integration in SCM Strategy,16,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Opportunities,13,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Reporting on breaches,0,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Responsibilities and Committees,75,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Responsibility Risk & Crisis Management,42,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Risk Response Strategy,80,029875,AVB,"AvalonBay Communities, Inc."
103145,2013-09-12,Question,Sensitivity Analysis & Stress Testing,70,029875,AVB,"AvalonBay Communities, Inc."
