institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4970473,2014-03-18,S&P Global ESG Score,S&P Global ESG Score,36,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Centralized Data Collection System,6,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Climate Change Governance,37,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Climate Risk Management,25,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Climate Strategy Impacts,20,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Climate-Related Management Incentives,41,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Coverage of Environmental Management Policy,33,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Direct Greenhouse Gas Emissions (Scope 1),14,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,EMS: Certification/ Audit/ Verification,20,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,EP - Electricity Purchased,16,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Elements of Assurance Provision,22,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Emissions Reduction Targets,37,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Energy Use,16,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Environmental Reporting - Coverage,0,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Environmental Reporting - Materiality,0,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Environmental Reporting - Quantitative Data,0,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Financial Opportunities Arising from Climate Change,8,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Financial Risks of Climate Change,8,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Hazardous Waste,15,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),13,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 3),17,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Life Cycle Assessment,22,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Life Cycle Research Projects,41,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Low-Carbon Products,14,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,PFC Exhausts,41,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Perfluorocarbons Emissions,29,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Perfluorooctane Sulfonate (PFOS) Replacement,20,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Process Allowing Assurance Provision,41,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Product Design Criteria,60,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Responsibilities and Management System,19,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Scope of Assurance Provision,31,180711,AVGO,Broadcom Inc.
4970473,2014-03-18,Question,Solvents,41,180711,AVGO,Broadcom Inc.
