institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
3001622,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,49,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Centralized Data Collection System,0,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Climate Change Governance,100,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Climate Risk Management,100,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Climate Strategy Impacts,100,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Climate-Related Management Incentives,0,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Corporate Environmental Policy: Areas,34,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Coverage of Environmental Management Policy,22,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),60,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,EMS: Certification/ Audit/ Verification,20,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Emissions Reduction Targets,100,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Energy Use,60,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Environmental Reporting - Coverage,100,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Environmental Reporting - Materiality,44,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Financial Opportunities Arising from Climate Change,18,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Financial Risks of Climate Change,18,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),60,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),33,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Low-Carbon Products,30,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Sustainability Reporting Assurance,25,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Waste Disposal,0,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Water Use,0,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Analysis of Risks,80,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Audit Conflict of Interest,100,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Board Effectiveness,60,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Board Gender Diversity,22,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Board Type,100,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Codes of Conduct,100,001913,AVY,Avery Dennison Corporation
3001622,2013-09-12,Question,Codes of Conduct: Coverage,50,001913,AVY,Avery Dennison Corporation
