institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4142027,2020-01-17,S&P Global ESG Score,S&P Global ESG Score,18,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Climate Risk Management,35,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Climate Strategy Impacts,,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Climate-Related Management Incentives,,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Coverage of Environmental Management Policy,0,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Direct Greenhouse Gas Emissions (Scope 1),12,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,EMS: Certification/ Audit/ Verification,23,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Emissions Reduction Targets,28,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,End of Life Cycle Responsibility,9,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Energy Consumption,9,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Environmental Labels & Declarations,,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Environmental Reporting - Coverage,0,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Environmental Reporting - Quantitative Data,0,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Environmental Violations,18,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Exposure to Hazardous Substances,17,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Financial Opportunities Arising from Climate Change,,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Financial Risks of Climate Change,,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Hazardous Substances Commitment,12,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Hazardous Waste,7,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Indirect Greenhouse Gas Emissions (Scope 2),14,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Indirect Greenhouse Gas Emissions (Scope 3),25,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Internal Carbon Pricing,,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Life Cycle Assessment,15,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Low-Carbon Products,,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Product Design Criteria,15,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Resource Efficiency Benefits of Products,,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Scenario Analysis,,143912,AXON,"Axon Enterprise, Inc."
4142027,2020-01-17,Question,Sustainability Reporting Assurance,0,143912,AXON,"Axon Enterprise, Inc."
