institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
102700,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,46,001447,AXP,American Express Company
102700,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,46,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Business Risks: Policies,,001447,AXP,American Express Company
102700,2013-09-12,Question,Business Risks: Policies,,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Climate Change Governance,90,001447,AXP,American Express Company
102700,2013-09-12,Question,Climate Change Governance,90,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Climate Risk Management,70,001447,AXP,American Express Company
102700,2013-09-12,Question,Climate Risk Management,70,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Climate Strategy Impacts,100,001447,AXP,American Express Company
102700,2013-09-12,Question,Climate Strategy Impacts,100,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Climate-Related Management Incentives,40,001447,AXP,American Express Company
102700,2013-09-12,Question,Climate-Related Management Incentives,40,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),15,001447,AXP,American Express Company
102700,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),15,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,EMS: Certification/ Audit/ Verification,30,001447,AXP,American Express Company
102700,2013-09-12,Question,EMS: Certification/ Audit/ Verification,30,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,ESG Products and Services (Financial Services),10,001447,AXP,American Express Company
102700,2013-09-12,Question,ESG Products and Services (Financial Services),10,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Emissions from Business Travel,60,001447,AXP,American Express Company
102700,2013-09-12,Question,Emissions from Business Travel,60,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Energy Use,60,001447,AXP,American Express Company
102700,2013-09-12,Question,Energy Use,60,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Environmental Management Systems Database / Information S,25,001447,AXP,American Express Company
102700,2013-09-12,Question,Environmental Management Systems Database / Information S,25,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Environmental Reporting - Coverage,0,001447,AXP,American Express Company
102700,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Environmental Reporting - Materiality,6,001447,AXP,American Express Company
102700,2013-09-12,Question,Environmental Reporting - Materiality,6,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,001447,AXP,American Express Company
102700,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Environmental Risk Management,18,001447,AXP,American Express Company
102700,2013-09-12,Question,Environmental Risk Management,18,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,001447,AXP,American Express Company
102700,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Financial Risks of Climate Change,20,001447,AXP,American Express Company
102700,2013-09-12,Question,Financial Risks of Climate Change,20,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,,001447,AXP,American Express Company
102700,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),23,001447,AXP,American Express Company
102700,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),23,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Low-Carbon Products,30,001447,AXP,American Express Company
102700,2013-09-12,Question,Low-Carbon Products,30,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Responsible Environmental Business Practices,22,001447,AXP,American Express Company
102700,2013-09-12,Question,Responsible Environmental Business Practices,22,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Sustainability Reporting Assurance,13,001447,AXP,American Express Company
102700,2013-09-12,Question,Sustainability Reporting Assurance,13,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Waste Disposal,27,001447,AXP,American Express Company
102700,2013-09-12,Question,Waste Disposal,27,,,"American Express Company, Asset Management Arm"
102700,2013-09-12,Question,Water Use,20,001447,AXP,American Express Company
