institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4344582,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,35,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Corporate Environmental Policy: Areas,0,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),15,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,EMS: Certification/ Audit/ Verification,21,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Energy Use,15,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Environmental Reporting - Coverage,0,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Environmental Reporting - Materiality,0,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),18,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Packaging Commitment,19,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Sustainability Reporting Assurance,3,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Waste Disposal,15,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Water Use,16,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Analysis of Customer Value,30,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Analysis of Risks,0,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Audit Conflict of Interest,100,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Board Effectiveness,70,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Board Gender Diversity,4,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Board Type,100,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Brand Metrics Used,17,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,Branding Strategies,14,023809,AZO,"AutoZone, Inc."
4344582,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,023809,AZO,"AutoZone, Inc."
