institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
100369,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,73,007647,BAC,Bank of America Corporation
100369,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,73,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,73,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Business Risks: Policies,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Business Risks: Policies,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Business Risks: Policies,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Climate Change Governance,90,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Climate Change Governance,90,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Climate Change Governance,90,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Climate Risk Management,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Climate Risk Management,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Climate Risk Management,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Climate Strategy Impacts,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Climate Strategy Impacts,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Climate Strategy Impacts,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Climate-Related Management Incentives,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Climate-Related Management Incentives,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Climate-Related Management Incentives,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,ESG Products and Services (Financial Services),23,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,ESG Products and Services (Financial Services),23,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,ESG Products and Services (Financial Services),23,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Emissions from Business Travel,80,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Emissions from Business Travel,80,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Emissions from Business Travel,80,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Energy Use,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Energy Use,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Energy Use,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Environmental Management Systems Database / Information S,75,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Environmental Management Systems Database / Information S,75,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Environmental Management Systems Database / Information S,75,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Environmental Reporting - Coverage,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Environmental Reporting - Coverage,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Environmental Reporting - Coverage,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Environmental Reporting - Materiality,68,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Environmental Reporting - Materiality,68,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Environmental Reporting - Materiality,68,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Environmental Risk Management,88,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Environmental Risk Management,88,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Environmental Risk Management,88,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Financial Risks of Climate Change,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Financial Risks of Climate Change,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Financial Risks of Climate Change,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,37,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,37,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,37,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Low-Carbon Products,0,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Low-Carbon Products,0,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Low-Carbon Products,0,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Responsible Environmental Business Practices,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Responsible Environmental Business Practices,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Responsible Environmental Business Practices,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Sustainability Reporting Assurance,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Sustainability Reporting Assurance,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Sustainability Reporting Assurance,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Waste Disposal,20,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Waste Disposal,20,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Waste Disposal,20,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Water Use,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Water Use,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Water Use,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Audit Conflict of Interest,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Audit Conflict of Interest,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Audit Conflict of Interest,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Board Effectiveness,48,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Board Effectiveness,48,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Board Effectiveness,48,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Board Gender Diversity,69,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Board Gender Diversity,69,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Board Gender Diversity,69,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Board Type,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Board Type,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Board Type,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Brand Evaluation,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Brand Evaluation,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Brand Evaluation,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Brand Management Approach,61,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Brand Management Approach,61,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Brand Management Approach,61,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Brand Metrics Used,35,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Brand Metrics Used,35,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Brand Metrics Used,35,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Codes of Conduct,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Codes of Conduct,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Codes of Conduct,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Codes of Conduct: Coverage,50,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Codes of Conduct: Coverage,50,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Codes of Conduct: Coverage,50,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Corporate Governance Policy,88,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Corporate Governance Policy,88,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Corporate Governance Policy,88,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Corruption & Bribery,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Corruption & Bribery,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Corruption & Bribery,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Crime Prevention: Business Policy/ Procedures,66,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Crime Prevention: Business Policy/ Procedures,66,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Crime Prevention: Business Policy/ Procedures,66,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Crime Prevention: Provision of Training,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Crime Prevention: Provision of Training,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Crime Prevention: Provision of Training,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Crime Prevention: Transaction Monitoring,56,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Crime Prevention: Transaction Monitoring,56,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Crime Prevention: Transaction Monitoring,56,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Crisis State Aid,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Crisis State Aid,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Crisis State Aid,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Customer Data Security & Data Privacy,25,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Customer Data Security & Data Privacy,25,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Customer Data Security & Data Privacy,25,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Customer Feedback Process,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Customer Feedback Process,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Customer Feedback Process,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Customer Satisfaction Measurement,68,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Customer Satisfaction Measurement,68,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Customer Satisfaction Measurement,68,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Global Systemically Important Banks,35,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Global Systemically Important Banks,35,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Global Systemically Important Banks,35,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Involvement of Stakeholders in Product Development,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Involvement of Stakeholders in Product Development,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Involvement of Stakeholders in Product Development,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Online Financial Services: Success,64,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Online Financial Services: Success,64,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Online Financial Services: Success,64,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Opportunities,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Opportunities,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Opportunities,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Reporting on breaches,0,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Reporting on breaches,0,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Reporting on breaches,0,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Responsibilities and Committees,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Responsibilities and Committees,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Responsibilities and Committees,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Risk Governance,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Risk Governance,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Risk Governance,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Risk Map,46,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Risk Map,46,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Risk Map,46,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Risk Optimization,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Risk Optimization,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Risk Optimization,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Risk Review,66,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Risk Review,66,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Risk Review,66,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Risk Strategy,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Risk Strategy,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Risk Strategy,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Supplier Risk Management Measures,31,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Supplier Risk Management Measures,31,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Supplier Risk Management Measures,31,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Supply Chain Risk Exposure,65,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Supply Chain Risk Exposure,65,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Supply Chain Risk Exposure,65,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Supply Chain Transparency & Reporting,18,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Supply Chain Transparency & Reporting,18,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Supply Chain Transparency & Reporting,18,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Transparency of Executive Compensation,100,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Transparency of Executive Compensation,100,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Transparency of Executive Compensation,100,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Absentee Rate,30,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Absentee Rate,30,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Absentee Rate,30,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Absenteeism: Work-Related Stress,27,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Absenteeism: Work-Related Stress,27,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Absenteeism: Work-Related Stress,27,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,27,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,27,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,27,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Business and Human Rights,0,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Business and Human Rights,0,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Business and Human Rights,0,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,CEO Compensation - Success Metrics,60,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,CEO Compensation - Success Metrics,60,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,CEO Compensation - Success Metrics,60,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Controversial Issues: Dilemmas Guidelines,67,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Controversial Issues: Dilemmas Guidelines,67,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Controversial Issues: Dilemmas Guidelines,67,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Controversial Issues: Dilemmas Implementation,0,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Controversial Issues: Dilemmas Implementation,0,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Controversial Issues: Dilemmas Implementation,0,,,"Bank of America Corporation, Investment Arm"
100369,2013-09-12,Question,Corporate Citizenship Strategy,90,007647,BAC,Bank of America Corporation
100369,2013-09-12,Question,Corporate Citizenship Strategy,90,,,"Bank of America Corporation, Asset Management Arm"
100369,2013-09-12,Question,Corporate Citizenship Strategy,90,,,"Bank of America Corporation, Investment Arm"
