institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4014079,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,81,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Centralized Data Collection System,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Climate Change Governance,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Climate Risk Management,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Climate Strategy Impacts,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Climate-Related Management Incentives,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Coverage of Environmental Management Policy,89,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),80,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,EMS: Certification/ Audit/ Verification,64,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,EP - Electricity Purchased,80,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Emissions Reduction Targets,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Energy Use,80,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Environmental Reporting - Coverage,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Environmental Reporting - Materiality,56,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Financial Opportunities Arising from Climate Change,70,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Financial Risks of Climate Change,45,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Fostering Proper Use and Recycling,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),80,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Life Cycle Assessment,94,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Life Cycle Research Projects,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Low-Carbon Products,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Product Design Criteria,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Responsibilities and Management System,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Sustainability Reporting Assurance,25,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Use of Recycled & Sustainably Sourced Materials,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Waste Disposal,59,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Water Use,52,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Access to Medicine Strategy Reporting,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Analysis of Risks,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Anti-Competitive Practices,,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Antitrust Compliance,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Antitrust Policy,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Audit Conflict of Interest,99,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Board Effectiveness,75,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Board Gender Diversity,33,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Board Type,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Codes of Conduct,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Codes of Conduct: Coverage,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Corporate Governance Policy,92,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Corruption & Bribery,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Coverage of Antitrust Policy,50,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Critical Supplier Identification,82,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Customer Feedback Process,80,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Customer Satisfaction Measurement,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,ESG Integration in SCM Strategy,44,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Opportunities,80,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Reporting on breaches,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Responsibilities and Committees,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Responsibility Risk & Crisis Management (including Water,100,001988,BALL,Ball Corporation
4014079,2013-09-12,Question,Risk Response Strategy,80,001988,BALL,Ball Corporation
