institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4081442,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,65,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Climate Change Governance,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Climate Risk Management,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Climate Strategy Impacts,0,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Climate-Related Management Incentives,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Coverage of Environmental Management Policy,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),76,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,EMS: Certification/ Audit/ Verification,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,EP - Biological Oxygen Demand,,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,EP - Electricity Purchased,80,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Emissions Reduction Targets,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Energy Use,73,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Environmental Reporting - Coverage,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Environmental Reporting - Materiality,56,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Financial Risks of Climate Change,20,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Hazardous Waste,80,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),80,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),50,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Low-Carbon Products,30,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Sustainability Reporting Assurance,85,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Volatile Organic Compounds Emissions,67,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Waste Disposal,80,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Water Use,75,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Analysis of Risks,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Audit Conflict of Interest,87,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Board Effectiveness,70,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Board Gender Diversity,44,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Board Type,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Codes of Conduct,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Codes of Conduct: Coverage,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Corporate Governance Policy,80,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Corruption & Bribery,60,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Critical Supplier Identification,55,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Customer Feedback Process,100,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Customer Satisfaction Measurement,68,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Direct-to-Consumer Marketing,,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Direct-to-Consumer Marketing: Policies,,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,ESG Integration in SCM Strategy,69,002086,BAX,Baxter International Inc.
4081442,2013-09-12,Question,Environmental Innovation,0,002086,BAX,Baxter International Inc.
