institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4004086,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,50,002285,BA,The Boeing Company
4004086,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,50,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Centralized Data Collection System,0,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Centralized Data Collection System,0,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Climate Change Governance,100,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Climate Change Governance,100,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Climate Risk Management,100,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Climate Risk Management,100,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Climate Strategy Impacts,100,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Climate Strategy Impacts,100,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Climate-Related Management Incentives,100,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Climate-Related Management Incentives,100,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Coverage of Environmental Management Policy,67,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Coverage of Environmental Management Policy,67,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,002285,BA,The Boeing Company
4004086,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,EP - Electricity Purchased,0,002285,BA,The Boeing Company
4004086,2013-09-12,Question,EP - Electricity Purchased,0,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Elements of Assurance Provision,35,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Elements of Assurance Provision,35,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Emissions Reduction Targets,100,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Emissions Reduction Targets,100,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,End of Life Cycle Responsibility,1,002285,BA,The Boeing Company
4004086,2013-09-12,Question,End of Life Cycle Responsibility,1,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Energy Use,0,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Energy Use,0,,,"Boeing Co., Asset Management Arm"
4004086,2013-09-12,Question,Environmental Labels & Declarations,36,002285,BA,The Boeing Company
4004086,2013-09-12,Question,Environmental Labels & Declarations,36,,,"Boeing Co., Asset Management Arm"
