institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4069317,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,41,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Corporate Environmental Policy: Areas,67,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),21,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,EMS: Certification/ Audit/ Verification,27,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Energy Use,21,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Environmental Reporting - Coverage,0,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Environmental Reporting - Materiality,0,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),25,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Packaging Commitment,50,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Sustainability Reporting Assurance,10,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Waste Disposal,21,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Water Use,21,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Analysis of Customer Value,38,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Analysis of Risks,0,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Audit Conflict of Interest,100,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Board Effectiveness,60,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Board Gender Diversity,27,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Board Type,100,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Brand Metrics Used,21,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Branding Strategies,25,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Codes of Conduct,100,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Codes of Conduct: Coverage,25,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Corporate Governance Policy,88,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Corruption & Bribery,60,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Critical Supplier Identification,25,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Customer Feedback Process,40,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Customer Satisfaction Measurement,31,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,ESG Integration in SCM Strategy,34,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Emerging Market Exposure & Strategy,0,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Green Factor Analysis,24,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Knowledge Transfer,,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Measuring Purchasing Power,,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Online Services: Success,19,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Opportunities,15,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Pricing Strategy & Responsibility,,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Product Adaptation for Emerging Markets (B2C),,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Product Innovations,25,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,R&D Core or Basic Research,33,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,R&D Development Stages,22,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,R&D Ideation or Applied Research,33,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,R&D Launch,33,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,R&D Post-Launch,24,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,R&D Spending,24,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Reporting on breaches,0,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Responsibilities and Committees,75,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Responsibility Risk & Crisis Management,47,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Risk Response Strategy,80,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Sensitivity Analysis & Stress Testing,100,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Stakeholder Perception Analysis,19,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Supplier Risk Management Measures,17,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Supply Chain Risk Exposure,24,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Supply Chain Transparency & Reporting,30,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Total Brand-Related Expenses,50,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Transparency of Executive Compensation,100,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,19,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Business and Human Rights,17,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,CEO Compensation - Success Metrics,60,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Corporate Citizenship Strategy,70,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Employee Turnover Rate,35,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Human Capital Performance Indicators,19,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,23,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Measuring Benefits,47,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Percentage of Performance Related Compensation for each E,0,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Personal and Organizational Learning and Development,13,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Philanthropic Contributions,26,006733,BBWI,"Bath & Body Works, Inc."
4069317,2013-09-12,Question,Social Reporting - Assurance,13,006733,BBWI,"Bath & Body Works, Inc."
