institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4095864,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,61,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Corporate Environmental Policy: Areas,100,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),79,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,EMS: Certification/ Audit/ Verification,70,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Energy Use,79,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Environmental Reporting - Coverage,100,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Environmental Reporting - Materiality,24,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Environmental Reporting - Quantitative Data,33,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),79,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Packaging Commitment,100,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Sustainability Reporting Assurance,25,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Waste Disposal,40,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Water Use,7,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Analysis of Customer Value,58,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Analysis of Risks,40,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Audit Conflict of Interest,100,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Board Effectiveness,75,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Board Gender Diversity,41,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Board Type,100,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Brand Metrics Used,29,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Branding Strategies,50,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Codes of Conduct,89,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Codes of Conduct: Coverage,50,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Corporate Governance Policy,88,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Corruption & Bribery,60,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Critical Supplier Identification,40,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Customer Feedback Process,60,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Customer Satisfaction Measurement,84,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,ESG Integration in SCM Strategy,48,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Emerging Market Exposure & Strategy,60,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Green Factor Analysis,32,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Knowledge Transfer,13,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Measuring Purchasing Power,0,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,80,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Online Services: Success,36,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Opportunities,50,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Pricing Strategy & Responsibility,60,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Product Adaptation for Emerging Markets (B2C),10,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Product Innovations,32,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,R&D Core or Basic Research,,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,R&D Development Stages,,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,R&D Ideation or Applied Research,,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,R&D Launch,,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,R&D Post-Launch,,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,R&D Spending,43,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Reporting on breaches,0,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Responsibilities and Committees,100,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Responsibility Risk & Crisis Management,100,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Risk Response Strategy,80,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Sensitivity Analysis & Stress Testing,70,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Stakeholder Perception Analysis,10,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Supplier Risk Management Measures,49,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Supply Chain Risk Exposure,63,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Supply Chain Transparency & Reporting,41,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Total Brand-Related Expenses,50,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Transparency of Executive Compensation,100,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,23,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,Business and Human Rights,10,002184,BBY,"Best Buy Co., Inc."
4095864,2013-09-12,Question,CEO Compensation - Success Metrics,40,002184,BBY,"Best Buy Co., Inc."
