institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4133271,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,59,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,59,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,Climate Change Governance,90,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,Climate Change Governance,90,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,Climate Risk Management,100,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,Climate Risk Management,100,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,Climate Strategy Impacts,25,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,Climate Strategy Impacts,25,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,Climate-Related Management Incentives,0,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,Climate-Related Management Incentives,0,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,Coverage of Environmental Management Policy,100,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,Coverage of Environmental Management Policy,100,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),70,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),70,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,EMS: Certification/ Audit/ Verification,38,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,EMS: Certification/ Audit/ Verification,38,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,EP - Biological Oxygen Demand,0,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,EP - Biological Oxygen Demand,0,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,EP - Electricity Purchased,69,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,EP - Electricity Purchased,69,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,Emissions Reduction Targets,100,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,Emissions Reduction Targets,100,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,Energy Use,70,002111,BDX,"Becton, Dickinson and Company"
4133271,2013-09-12,Question,Energy Use,70,,,"Becton, Dickinson and Company., Asset Management Arm"
4133271,2013-09-12,Question,Environmental Reporting - Coverage,100,002111,BDX,"Becton, Dickinson and Company"
